command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	1206	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-0-c/testcases/000/240/293/CWE416_Use_After_Free__malloc_free_int64_t_11.c								
ANR	1207	Function	CWE416_Use_After_Free__malloc_free_int64_t_11_bad	24:0:671:1426							
ANR	1208	FunctionDef	CWE416_Use_After_Free__malloc_free_int64_t_11_bad ()		1207	0					
ANR	1209	CompoundStatement		25:0:729:1426	1207	0					
ANR	1210	IdentifierDeclStatement	int64_t * data ;	26:4:736:750	1207	0	True				
ANR	1211	IdentifierDecl	* data		1207	0					
ANR	1212	IdentifierDeclType	int64_t *		1207	0					
ANR	1213	Identifier	data		1207	1					
ANR	1214	ExpressionStatement	data = NULL	28:4:784:795	1207	1	True				
ANR	1215	AssignmentExpression	data = NULL		1207	0		=			
ANR	1216	Identifier	data		1207	0					
ANR	1217	Identifier	NULL		1207	1					
ANR	1218	IfStatement	if ( globalReturnsTrue ( ) )		1207	2					
ANR	1219	Condition	globalReturnsTrue ( )	29:7:805:823	1207	0	True				
ANR	1220	CallExpression	globalReturnsTrue ( )		1207	0					
ANR	1221	Callee	globalReturnsTrue		1207	0					
ANR	1222	Identifier	globalReturnsTrue		1207	0					
ANR	1223	ArgumentList			1207	1					
ANR	1224	CompoundStatement		6:4:101:101	1207	1					
ANR	1225	ExpressionStatement	data = ( int64_t * ) malloc ( 100 * sizeof ( int64_t ) )	31:8:842:887	1207	0	True				
ANR	1226	AssignmentExpression	data = ( int64_t * ) malloc ( 100 * sizeof ( int64_t ) )		1207	0		=			
ANR	1227	Identifier	data		1207	0					
ANR	1228	CastExpression	( int64_t * ) malloc ( 100 * sizeof ( int64_t ) )		1207	1					
ANR	1229	CastTarget	int64_t *		1207	0					
ANR	1230	CallExpression	malloc ( 100 * sizeof ( int64_t ) )		1207	1					
ANR	1231	Callee	malloc		1207	0					
ANR	1232	Identifier	malloc		1207	0					
ANR	1233	ArgumentList	100 * sizeof ( int64_t )		1207	1					
ANR	1234	Argument	100 * sizeof ( int64_t )		1207	0					
ANR	1235	MultiplicativeExpression	100 * sizeof ( int64_t )		1207	0		*			
ANR	1236	PrimaryExpression	100		1207	0					
ANR	1237	SizeofExpression	sizeof ( int64_t )		1207	1					
ANR	1238	Sizeof	sizeof		1207	0					
ANR	1239	SizeofOperand	int64_t		1207	1					
ANR	1240	IfStatement	if ( data == NULL )		1207	1					
