command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	19144	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-0-c/testcases/000/240/329/CWE416_Use_After_Free__malloc_free_long_07.c								
ANR	19145	DeclStmt									
ANR	19146	Decl							int	int	staticFive
ANR	19147	Function	CWE416_Use_After_Free__malloc_free_long_07_bad	29:0:878:1604							
ANR	19148	FunctionDef	CWE416_Use_After_Free__malloc_free_long_07_bad ()		19147	0					
ANR	19149	CompoundStatement		30:0:933:1604	19147	0					
ANR	19150	IdentifierDeclStatement	long * data ;	31:4:940:951	19147	0	True				
ANR	19151	IdentifierDecl	* data		19147	0					
ANR	19152	IdentifierDeclType	long *		19147	0					
ANR	19153	Identifier	data		19147	1					
ANR	19154	ExpressionStatement	data = NULL	33:4:985:996	19147	1	True				
ANR	19155	AssignmentExpression	data = NULL		19147	0		=			
ANR	19156	Identifier	data		19147	0					
ANR	19157	Identifier	NULL		19147	1					
ANR	19158	IfStatement	if ( staticFive == 5 )		19147	2					
ANR	19159	Condition	staticFive == 5	34:7:1006:1018	19147	0	True				
ANR	19160	EqualityExpression	staticFive == 5		19147	0		==			
ANR	19161	Identifier	staticFive		19147	0					
ANR	19162	PrimaryExpression	5		19147	1					
ANR	19163	CompoundStatement		6:4:92:92	19147	1					
ANR	19164	ExpressionStatement	data = ( long * ) malloc ( 100 * sizeof ( long ) )	36:8:1037:1076	19147	0	True				
ANR	19165	AssignmentExpression	data = ( long * ) malloc ( 100 * sizeof ( long ) )		19147	0		=			
ANR	19166	Identifier	data		19147	0					
ANR	19167	CastExpression	( long * ) malloc ( 100 * sizeof ( long ) )		19147	1					
ANR	19168	CastTarget	long *		19147	0					
ANR	19169	CallExpression	malloc ( 100 * sizeof ( long ) )		19147	1					
ANR	19170	Callee	malloc		19147	0					
ANR	19171	Identifier	malloc		19147	0					
ANR	19172	ArgumentList	100 * sizeof ( long )		19147	1					
ANR	19173	Argument	100 * sizeof ( long )		19147	0					
ANR	19174	MultiplicativeExpression	100 * sizeof ( long )		19147	0		*			
ANR	19175	PrimaryExpression	100		19147	0					
ANR	19176	SizeofExpression	sizeof ( long )		19147	1					
ANR	19177	Sizeof	sizeof		19147	0					
ANR	19178	SizeofOperand	long		19147	1					
ANR	19179	IfStatement	if ( data == NULL )		19147	1					
ANR	19180	Condition	data == NULL	37:12:1091:1102	19147	0	True				
ANR	19181	EqualityExpression	data == NULL		19147	0		==			
ANR	19182	Identifier	data		19147	0					
ANR	19183	Identifier	NULL		19147	1					
ANR	19184	CompoundStatement		8:26:171:171	19147	1					
