command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	31095	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-0-c/testcases/000/240/351/CWE416_Use_After_Free__malloc_free_struct_09.c								
ANR	31096	Function	CWE416_Use_After_Free__malloc_free_struct_09_bad	24:0:666:1475							
ANR	31097	FunctionDef	CWE416_Use_After_Free__malloc_free_struct_09_bad ()		31096	0					
ANR	31098	CompoundStatement		25:0:723:1475	31096	0					
ANR	31099	IdentifierDeclStatement	twoIntsStruct * data ;	26:4:730:750	31096	0	True				
ANR	31100	IdentifierDecl	* data		31096	0					
ANR	31101	IdentifierDeclType	twoIntsStruct *		31096	0					
ANR	31102	Identifier	data		31096	1					
ANR	31103	ExpressionStatement	data = NULL	28:4:784:795	31096	1	True				
ANR	31104	AssignmentExpression	data = NULL		31096	0		=			
ANR	31105	Identifier	data		31096	0					
ANR	31106	Identifier	NULL		31096	1					
ANR	31107	IfStatement	if ( GLOBAL_CONST_TRUE )		31096	2					
ANR	31108	Condition	GLOBAL_CONST_TRUE	29:7:805:821	31096	0	True				
ANR	31109	Identifier	GLOBAL_CONST_TRUE		31096	0					
ANR	31110	CompoundStatement		6:4:105:105	31096	1					
ANR	31111	ExpressionStatement	data = ( twoIntsStruct * ) malloc ( 100 * sizeof ( twoIntsStruct ) )	31:8:840:897	31096	0	True				
ANR	31112	AssignmentExpression	data = ( twoIntsStruct * ) malloc ( 100 * sizeof ( twoIntsStruct ) )		31096	0		=			
ANR	31113	Identifier	data		31096	0					
ANR	31114	CastExpression	( twoIntsStruct * ) malloc ( 100 * sizeof ( twoIntsStruct ) )		31096	1					
ANR	31115	CastTarget	twoIntsStruct *		31096	0					
ANR	31116	CallExpression	malloc ( 100 * sizeof ( twoIntsStruct ) )		31096	1					
ANR	31117	Callee	malloc		31096	0					
ANR	31118	Identifier	malloc		31096	0					
ANR	31119	ArgumentList	100 * sizeof ( twoIntsStruct )		31096	1					
ANR	31120	Argument	100 * sizeof ( twoIntsStruct )		31096	0					
ANR	31121	MultiplicativeExpression	100 * sizeof ( twoIntsStruct )		31096	0		*			
ANR	31122	PrimaryExpression	100		31096	0					
ANR	31123	SizeofExpression	sizeof ( twoIntsStruct )		31096	1					
ANR	31124	Sizeof	sizeof		31096	0					
ANR	31125	SizeofOperand	twoIntsStruct		31096	1					
ANR	31126	IfStatement	if ( data == NULL )		31096	1					
ANR	31127	Condition	data == NULL	32:12:912:923	31096	0	True				
