command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	41016	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-0-c/testcases/000/240/370/CWE416_Use_After_Free__malloc_free_wchar_t_08.c								
ANR	41017	Function	staticReturnsTrue	25:0:819:869							
ANR	41018	FunctionDef	staticReturnsTrue ()		41017	0					
ANR	41019	CompoundStatement		26:0:851:869	41017	0					
ANR	41020	ReturnStatement	return 1 ;	27:4:858:866	41017	0	True				
ANR	41021	PrimaryExpression	1		41017	0					
ANR	41022	ReturnType	static int		41017	1					
ANR	41023	Identifier	staticReturnsTrue		41017	2					
ANR	41024	ParameterList			41017	3					
ANR	41025	CFGEntryNode	ENTRY		41017		True				
ANR	41026	CFGExitNode	EXIT		41017		True				
ANR	41027	Function	staticReturnsFalse	30:0:874:925							
ANR	41028	FunctionDef	staticReturnsFalse ()		41027	0					
ANR	41029	CompoundStatement		31:0:907:925	41027	0					
ANR	41030	ReturnStatement	return 0 ;	32:4:914:922	41027	0	True				
ANR	41031	PrimaryExpression	0		41027	0					
ANR	41032	ReturnType	static int		41027	1					
ANR	41033	Identifier	staticReturnsFalse		41027	2					
ANR	41034	ParameterList			41027	3					
ANR	41035	CFGEntryNode	ENTRY		41027		True				
ANR	41036	CFGExitNode	EXIT		41027		True				
ANR	41037	Function	CWE416_Use_After_Free__malloc_free_wchar_t_08_bad	37:0:949:1616							
ANR	41038	FunctionDef	CWE416_Use_After_Free__malloc_free_wchar_t_08_bad ()		41037	0					
ANR	41039	CompoundStatement		38:0:1007:1616	41037	0					
ANR	41040	IdentifierDeclStatement	wchar_t * data ;	39:4:1014:1028	41037	0	True				
ANR	41041	IdentifierDecl	* data		41037	0					
ANR	41042	IdentifierDeclType	wchar_t *		41037	0					
ANR	41043	Identifier	data		41037	1					
ANR	41044	ExpressionStatement	data = NULL	41:4:1062:1073	41037	1	True				
ANR	41045	AssignmentExpression	data = NULL		41037	0		=			
ANR	41046	Identifier	data		41037	0					
ANR	41047	Identifier	NULL		41037	1					
ANR	41048	IfStatement	if ( staticReturnsTrue ( ) )		41037	2					
ANR	41049	Condition	staticReturnsTrue ( )	42:7:1083:1101	41037	0	True				
ANR	41050	CallExpression	staticReturnsTrue ( )		41037	0					
ANR	41051	Callee	staticReturnsTrue		41037	0					
ANR	41052	Identifier	staticReturnsTrue		41037	0					
ANR	41053	ArgumentList			41037	1					
ANR	41054	CompoundStatement		6:4:101:101	41037	1					
ANR	41055	ExpressionStatement	data = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )	44:8:1120:1165	41037	0	True				
ANR	41056	AssignmentExpression	data = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		41037	0		=			
ANR	41057	Identifier	data		41037	0					
ANR	41058	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		41037	1					
ANR	41059	CastTarget	wchar_t *		41037	0					
ANR	41060	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		41037	1					
ANR	41061	Callee	malloc		41037	0					
ANR	41062	Identifier	malloc		41037	0					
ANR	41063	ArgumentList	100 * sizeof ( wchar_t )		41037	1					
ANR	41064	Argument	100 * sizeof ( wchar_t )		41037	0					
ANR	41065	MultiplicativeExpression	100 * sizeof ( wchar_t )		41037	0		*			
ANR	41066	PrimaryExpression	100		41037	0					
ANR	41067	SizeofExpression	sizeof ( wchar_t )		41037	1					
ANR	41068	Sizeof	sizeof		41037	0					
ANR	41069	SizeofOperand	wchar_t		41037	1					
ANR	41070	IfStatement	if ( data == NULL )		41037	1					
ANR	41071	Condition	data == NULL	45:12:1180:1191	41037	0	True				
ANR	41072	EqualityExpression	data == NULL		41037	0		==			
ANR	41073	Identifier	data		41037	0					
ANR	41074	Identifier	NULL		41037	1					
ANR	41075	CompoundStatement		8:26:186:186	41037	1					
ANR	41076	ExpressionStatement	exit ( - 1 )	45:27:1195:1203	41037	0	True				
ANR	41077	CallExpression	exit ( - 1 )		41037	0					
ANR	41078	Callee	exit		41037	0					
ANR	41079	Identifier	exit		41037	0					
ANR	41080	ArgumentList	- 1		41037	1					
ANR	41081	Argument	- 1		41037	0					
ANR	41082	UnaryOperationExpression	- 1		41037	0					
ANR	41083	UnaryOperator	-		41037	0					
ANR	41084	PrimaryExpression	1		41037	1					
ANR	41085	Statement	wmemset	46:8:1214:1220	41037	2	True				
ANR	41086	Statement	(	46:15:1221:1221	41037	3	True				
ANR	41087	Statement	data	46:16:1222:1225	41037	4	True				
ANR	41088	Statement	","	46:20:1226:1226	41037	5	True				
ANR	41089	Statement	L	46:22:1228:1228	41037	6	True				
ANR	41090	Statement	'A'	46:23:1229:1231	41037	7	True				
ANR	41091	Statement	","	46:26:1232:1232	41037	8	True				
ANR	41092	Statement	100	46:28:1234:1236	41037	9	True				
ANR	41093	Statement	-	46:31:1237:1237	41037	10	True				
ANR	41094	Statement	1	46:32:1238:1238	41037	11	True				
ANR	41095	Statement	)	46:33:1239:1239	41037	12	True				
ANR	41096	ExpressionStatement		46:34:1240:1240	41037	13	True				
ANR	41097	Statement	data	47:8:1251:1254	41037	14	True				
ANR	41098	Statement	[	47:12:1255:1255	41037	15	True				
ANR	41099	Statement	100	47:13:1256:1258	41037	16	True				
ANR	41100	Statement	-	47:16:1259:1259	41037	17	True				
ANR	41101	Statement	1	47:17:1260:1260	41037	18	True				
ANR	41102	Statement	]	47:18:1261:1261	41037	19	True				
ANR	41103	Statement	=	47:20:1263:1263	41037	20	True				
ANR	41104	Statement	L	47:22:1265:1265	41037	21	True				
ANR	41105	ExpressionStatement	'\\0'	47:23:1266:1270	41037	22	True				
ANR	41106	PrimaryExpression	'\\0'		41037	0					
ANR	41107	ExpressionStatement	free ( data )	49:8:1372:1382	41037	23	True				
ANR	41108	CallExpression	free ( data )		41037	0					
ANR	41109	Callee	free		41037	0					
ANR	41110	Identifier	free		41037	0					
ANR	41111	ArgumentList	data		41037	1					
ANR	41112	Argument	data		41037	0					
ANR	41113	Identifier	data		41037	0					
ANR	41114	IfStatement	if ( staticReturnsTrue ( ) )		41037	3					
ANR	41115	Condition	staticReturnsTrue ( )	51:7:1399:1417	41037	0	True				
ANR	41116	CallExpression	staticReturnsTrue ( )		41037	0					
