start	end	type	var
47312	47313	IS_AST_PARENT	
47312	47314	IS_AST_PARENT	
47315	47316	IS_AST_PARENT	
47315	47317	IS_AST_PARENT	
47312	47315	IS_AST_PARENT	
47311	47312	IS_AST_PARENT	
47310	47311	IS_AST_PARENT	
47319	47320	IS_AST_PARENT	
47319	47321	IS_AST_PARENT	
47318	47319	IS_AST_PARENT	
47310	47318	IS_AST_PARENT	
47323	47324	IS_AST_PARENT	
47323	47325	IS_AST_PARENT	
47326	47327	IS_AST_PARENT	
47326	47328	IS_AST_PARENT	
47323	47326	IS_AST_PARENT	
47322	47323	IS_AST_PARENT	
47310	47322	IS_AST_PARENT	
47331	47332	IS_AST_PARENT	
47331	47333	IS_AST_PARENT	
47330	47331	IS_AST_PARENT	
47329	47330	IS_AST_PARENT	
47336	47337	IS_AST_PARENT	
47339	47340	IS_AST_PARENT	
47338	47339	IS_AST_PARENT	
47342	47343	IS_AST_PARENT	
47341	47342	IS_AST_PARENT	
47338	47341	IS_AST_PARENT	
47336	47338	IS_AST_PARENT	
47335	47336	IS_AST_PARENT	
47334	47335	IS_AST_PARENT	
47345	47346	IS_AST_PARENT	
47347	47348	IS_AST_PARENT	
47350	47351	IS_AST_PARENT	
47349	47350	IS_AST_PARENT	
47354	47355	IS_AST_PARENT	
47354	47356	IS_AST_PARENT	
47353	47354	IS_AST_PARENT	
47352	47353	IS_AST_PARENT	
47349	47352	IS_AST_PARENT	
47347	47349	IS_AST_PARENT	
47345	47347	IS_AST_PARENT	
47344	47345	IS_AST_PARENT	
47334	47344	IS_AST_PARENT	
47359	47360	IS_AST_PARENT	
47359	47361	IS_AST_PARENT	
47358	47359	IS_AST_PARENT	
47357	47358	IS_AST_PARENT	
47365	47366	IS_AST_PARENT	
47364	47365	IS_AST_PARENT	
47369	47370	IS_AST_PARENT	
47369	47371	IS_AST_PARENT	
47368	47369	IS_AST_PARENT	
47367	47368	IS_AST_PARENT	
47364	47367	IS_AST_PARENT	
47363	47364	IS_AST_PARENT	
47362	47363	IS_AST_PARENT	
47357	47362	IS_AST_PARENT	
47334	47357	IS_AST_PARENT	
47374	47375	IS_AST_PARENT	
47374	47376	IS_AST_PARENT	
47373	47374	IS_AST_PARENT	
47372	47373	IS_AST_PARENT	
47378	47379	IS_AST_PARENT	
