command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	52354	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-0-c/testcases/000/240/395/CWE416_Use_After_Free__return_freed_ptr_13.c								
ANR	52355	Function	helperBad	18:0:551:1171							
ANR	52356	FunctionDef	helperBad (char * aString)		52355	0					
ANR	52357	CompoundStatement		19:0:592:1171	52355	0					
ANR	52358	IdentifierDeclStatement	size_t i = 0 ;	20:4:599:611	52355	0	True				
ANR	52359	IdentifierDecl	i = 0		52355	0					
ANR	52360	IdentifierDeclType	size_t		52355	0					
ANR	52361	Identifier	i		52355	1					
ANR	52362	AssignmentExpression	i = 0		52355	2		=			
ANR	52363	Identifier	i		52355	0					
ANR	52364	PrimaryExpression	0		52355	1					
ANR	52365	IdentifierDeclStatement	size_t j ;	21:4:618:626	52355	1	True				
ANR	52366	IdentifierDecl	j		52355	0					
ANR	52367	IdentifierDeclType	size_t		52355	0					
ANR	52368	Identifier	j		52355	1					
ANR	52369	IdentifierDeclStatement	char * reversedString = NULL ;	22:4:633:661	52355	2	True				
ANR	52370	IdentifierDecl	* reversedString = NULL		52355	0					
ANR	52371	IdentifierDeclType	char *		52355	0					
ANR	52372	Identifier	reversedString		52355	1					
ANR	52373	AssignmentExpression	* reversedString = NULL		52355	2		=			
ANR	52374	Identifier	NULL		52355	0					
ANR	52375	Identifier	NULL		52355	1					
ANR	52376	IfStatement	if ( aString != NULL )		52355	3					
ANR	52377	Condition	aString != NULL	23:8:672:686	52355	0	True				
ANR	52378	EqualityExpression	aString != NULL		52355	0		!=			
ANR	52379	Identifier	aString		52355	0					
ANR	52380	Identifier	NULL		52355	1					
ANR	52381	CompoundStatement		6:4:101:101	52355	1					
ANR	52382	ExpressionStatement	i = strlen ( aString )	25:8:705:724	52355	0	True				
ANR	52383	AssignmentExpression	i = strlen ( aString )		52355	0		=			
ANR	52384	Identifier	i		52355	0					
ANR	52385	CallExpression	strlen ( aString )		52355	1					
ANR	52386	Callee	strlen		52355	0					
ANR	52387	Identifier	strlen		52355	0					
ANR	52388	ArgumentList	aString		52355	1					
ANR	52389	Argument	aString		52355	0					
ANR	52390	Identifier	aString		52355	0					
ANR	52391	ExpressionStatement	reversedString = ( char * ) malloc ( i + 1 )	26:8:735:772	52355	1	True				
ANR	52392	AssignmentExpression	reversedString = ( char * ) malloc ( i + 1 )		52355	0		=			
ANR	52393	Identifier	reversedString		52355	0					
ANR	52394	CastExpression	( char * ) malloc ( i + 1 )		52355	1					
ANR	52395	CastTarget	char *		52355	0					
ANR	52396	CallExpression	malloc ( i + 1 )		52355	1					
ANR	52397	Callee	malloc		52355	0					
ANR	52398	Identifier	malloc		52355	0					
ANR	52399	ArgumentList	i + 1		52355	1					
ANR	52400	Argument	i + 1		52355	0					
ANR	52401	AdditiveExpression	i + 1		52355	0		+			
ANR	52402	Identifier	i		52355	0					
ANR	52403	PrimaryExpression	1		52355	1					
ANR	52404	IfStatement	if ( reversedString == NULL )		52355	2					
ANR	52405	Condition	reversedString == NULL	27:12:787:808	52355	0	True				
ANR	52406	EqualityExpression	reversedString == NULL		52355	0		==			
ANR	52407	Identifier	reversedString		52355	0					
ANR	52408	Identifier	NULL		52355	1					
ANR	52409	CompoundStatement		9:36:218:218	52355	1					
ANR	52410	ExpressionStatement	exit ( - 1 )	27:37:812:820	52355	0	True				
ANR	52411	CallExpression	exit ( - 1 )		52355	0					
ANR	52412	Callee	exit		52355	0					
ANR	52413	Identifier	exit		52355	0					
ANR	52414	ArgumentList	- 1		52355	1					
ANR	52415	Argument	- 1		52355	0					
ANR	52416	UnaryOperationExpression	- 1		52355	0					
ANR	52417	UnaryOperator	-		52355	0					
ANR	52418	PrimaryExpression	1		52355	1					
ANR	52419	ForStatement	for ( j = 0 ; j < i ; j ++ )		52355	3					
ANR	52420	ForInit	j = 0 ;	28:13:836:841	52355	0	True				
ANR	52421	AssignmentExpression	j = 0		52355	0		=			
ANR	52422	Identifier	j		52355	0					
ANR	52423	PrimaryExpression	0		52355	1					
ANR	52424	Condition	j < i	28:20:843:847	52355	1	True				
ANR	52425	RelationalExpression	j < i		52355	0		<			
ANR	52426	Identifier	j		52355	0					
ANR	52427	Identifier	i		52355	1					
ANR	52428	PostIncDecOperationExpression	j ++	28:27:850:852	52355	2	True				
ANR	52429	Identifier	j		52355	0					
ANR	52430	IncDec	++		52355	1					
ANR	52431	CompoundStatement		11:8:271:271	52355	3					
ANR	52432	ExpressionStatement	reversedString [ j ] = aString [ i - j - 1 ]	30:12:879:913	52355	0	True				
ANR	52433	AssignmentExpression	reversedString [ j ] = aString [ i - j - 1 ]		52355	0		=			
ANR	52434	ArrayIndexing	reversedString [ j ]		52355	0					
ANR	52435	Identifier	reversedString		52355	0					
ANR	52436	Identifier	j		52355	1					
ANR	52437	ArrayIndexing	aString [ i - j - 1 ]		52355	1					
ANR	52438	Identifier	aString		52355	0					
ANR	52439	AdditiveExpression	i - j - 1		52355	1		-			
ANR	52440	Identifier	i		52355	0					
ANR	52441	AdditiveExpression	j - 1		52355	1		-			
ANR	52442	Identifier	j		52355	0					
ANR	52443	PrimaryExpression	1		52355	1					
ANR	52444	ExpressionStatement	reversedString [ i ] = '\\0'	32:8:935:959	52355	4	True				
ANR	52445	AssignmentExpression	reversedString [ i ] = '\\0'		52355	0		=			
ANR	52446	ArrayIndexing	reversedString [ i ]		52355	0					
ANR	52447	Identifier	reversedString		52355	0					
ANR	52448	Identifier	i		52355	1					
ANR	52449	PrimaryExpression	'\\0'		52355	1					
ANR	52450	ExpressionStatement	free ( reversedString )	34:8:1063:1083	52355	5	True				
ANR	52451	CallExpression	free ( reversedString )		52355	0					
ANR	52452	Callee	free		52355	0					
ANR	52453	Identifier	free		52355	0					
ANR	52454	ArgumentList	reversedString		52355	1					
ANR	52455	Argument	reversedString		52355	0					
ANR	52456	Identifier	reversedString		52355	0					
ANR	52457	ReturnStatement	return reversedString ;	35:8:1094:1115	52355	6	True				
ANR	52458	Identifier	reversedString		52355	0					
ANR	52459	ElseStatement	else		52355	0					
ANR	52460	CompoundStatement		20:4:546:546	52355	0					
ANR	52461	ReturnStatement	return NULL ;	39:8:1150:1161	52355	0	True				
ANR	52462	Identifier	NULL		52355	0					
ANR	52463	ReturnType	static char *		52355	1					
ANR	52464	Identifier	helperBad		52355	2					
ANR	52465	ParameterList	char * aString		52355	3					
ANR	52466	Parameter	char * aString	18:24:575:588	52355	0	True				
ANR	52467	ParameterType	char *		52355	0					
ANR	52468	Identifier	aString		52355	1					
ANR	52469	CFGEntryNode	ENTRY		52355		True				
ANR	52470	CFGExitNode	EXIT		52355		True				
ANR	52471	Symbol	strlen		52355						
ANR	52472	Symbol	malloc		52355						
ANR	52473	Symbol	NULL		52355						
ANR	52474	Symbol	* i		52355						
ANR	52475	Symbol	aString		52355						
ANR	52476	Symbol	* j		52355						
ANR	52477	Symbol	reversedString		52355						
ANR	52478	Symbol	i		52355						
ANR	52479	Symbol	* reversedString		52355						
ANR	52480	Symbol	j		52355						
ANR	52481	Symbol	* aString		52355						
ANR	52482	Function	helperGood	43:0:1176:1733							
ANR	52483	FunctionDef	helperGood (char * aString)		52482	0					
ANR	52484	CompoundStatement		44:0:1218:1733	52482	0					
ANR	52485	IdentifierDeclStatement	size_t i = 0 ;	45:4:1225:1237	52482	0	True				
ANR	52486	IdentifierDecl	i = 0		52482	0					
ANR	52487	IdentifierDeclType	size_t		52482	0					
ANR	52488	Identifier	i		52482	1					
ANR	52489	AssignmentExpression	i = 0		52482	2		=			
ANR	52490	Identifier	i		52482	0					
ANR	52491	PrimaryExpression	0		52482	1					
ANR	52492	IdentifierDeclStatement	size_t j ;	46:4:1244:1252	52482	1	True				
