command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	55801	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-0-c/testcases/shared/108/std_testcase_io.h								
ANR	55802	DeclStmt									
ANR	55803	Decl							void	void ( const char * line )	printLine
ANR	55804	DeclStmt									
ANR	55805	Decl							void	void ( const wchar_t * line )	printWLine
ANR	55806	DeclStmt									
ANR	55807	Decl							void	void ( int intNumber )	printIntLine
ANR	55808	DeclStmt									
ANR	55809	Decl							void	void ( short shortNumber )	printShortLine
ANR	55810	DeclStmt									
ANR	55811	Decl							void	void ( float floatNumber )	printFloatLine
ANR	55812	DeclStmt									
ANR	55813	Decl							void	void ( long longNumber )	printLongLine
ANR	55814	DeclStmt									
ANR	55815	Decl							void	void ( int64_t longLongIntNumber )	printLongLongLine
ANR	55816	DeclStmt									
ANR	55817	Decl							void	void ( size_t sizeTNumber )	printSizeTLine
ANR	55818	DeclStmt									
ANR	55819	Decl							void	void ( char charHex )	printHexCharLine
ANR	55820	DeclStmt									
ANR	55821	Decl							void	void ( wchar_t wideChar )	printWcharLine
ANR	55822	DeclStmt									
ANR	55823	Decl							void	void ( unsigned unsignedNumber )	printUnsignedLine
ANR	55824	DeclStmt									
ANR	55825	Decl							void	void ( unsigned char unsignedCharacter )	printHexUnsignedCharLine
ANR	55826	DeclStmt									
ANR	55827	Decl							void	void ( double doubleNumber )	printDoubleLine
ANR	55828	DeclStmt									
ANR	55829	Decl							void	void ( const twoIntsStruct * structTwoIntsStruct )	printStructLine
ANR	55830	DeclStmt									
ANR	55831	Decl							void	"void ( const unsigned char * bytes , size_t numBytes )"	printBytesLine
ANR	55832	DeclStmt									
ANR	55833	Decl							size_t	"size_t ( unsigned char * bytes , size_t numBytes , const char * hex )"	decodeHexChars
ANR	55834	DeclStmt									
ANR	55835	Decl							size_t	"size_t ( unsigned char * bytes , size_t numBytes , const wchar_t * hex )"	decodeHexWChars
ANR	55836	DeclStmt									
ANR	55837	Decl							int	int ( )	globalReturnsTrue
ANR	55838	DeclStmt									
ANR	55839	Decl							int	int ( )	globalReturnsFalse
ANR	55840	DeclStmt									
ANR	55841	Decl							int	int ( )	globalReturnsTrueOrFalse
ANR	55842	DeclStmt									
ANR	55843	Decl							extern int	extern int	globalArgc
ANR	55844	DeclStmt									
ANR	55845	Decl							extern char	extern char * *	globalArgv
