command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	58186	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-100-c/testcases/000/240/179/CWE415_Double_Free__malloc_free_long_13.c								
ANR	58187	Function	CWE415_Double_Free__malloc_free_long_13_bad	24:0:626:1112							
ANR	58188	FunctionDef	CWE415_Double_Free__malloc_free_long_13_bad ()		58187	0					
ANR	58189	CompoundStatement		25:0:678:1112	58187	0					
ANR	58190	IdentifierDeclStatement	long * data ;	26:4:685:696	58187	0	True				
ANR	58191	IdentifierDecl	* data		58187	0					
ANR	58192	IdentifierDeclType	long *		58187	0					
ANR	58193	Identifier	data		58187	1					
ANR	58194	ExpressionStatement	data = NULL	28:4:730:741	58187	1	True				
ANR	58195	AssignmentExpression	data = NULL		58187	0		=			
ANR	58196	Identifier	data		58187	0					
ANR	58197	Identifier	NULL		58187	1					
ANR	58198	IfStatement	if ( GLOBAL_CONST_FIVE == 5 )		58187	2					
ANR	58199	Condition	GLOBAL_CONST_FIVE == 5	29:7:751:770	58187	0	True				
ANR	58200	EqualityExpression	GLOBAL_CONST_FIVE == 5		58187	0		==			
ANR	58201	Identifier	GLOBAL_CONST_FIVE		58187	0					
ANR	58202	PrimaryExpression	5		58187	1					
ANR	58203	CompoundStatement		6:4:99:99	58187	1					
ANR	58204	ExpressionStatement	data = ( long * ) malloc ( 100 * sizeof ( long ) )	31:8:789:828	58187	0	True				
ANR	58205	AssignmentExpression	data = ( long * ) malloc ( 100 * sizeof ( long ) )		58187	0		=			
ANR	58206	Identifier	data		58187	0					
ANR	58207	CastExpression	( long * ) malloc ( 100 * sizeof ( long ) )		58187	1					
ANR	58208	CastTarget	long *		58187	0					
ANR	58209	CallExpression	malloc ( 100 * sizeof ( long ) )		58187	1					
ANR	58210	Callee	malloc		58187	0					
ANR	58211	Identifier	malloc		58187	0					
ANR	58212	ArgumentList	100 * sizeof ( long )		58187	1					
ANR	58213	Argument	100 * sizeof ( long )		58187	0					
ANR	58214	MultiplicativeExpression	100 * sizeof ( long )		58187	0		*			
ANR	58215	PrimaryExpression	100		58187	0					
ANR	58216	SizeofExpression	sizeof ( long )		58187	1					
ANR	58217	Sizeof	sizeof		58187	0					
ANR	58218	SizeofOperand	long		58187	1					
ANR	58219	IfStatement	if ( data == NULL )		58187	1					
ANR	58220	Condition	data == NULL	32:12:843:854	58187	0	True				
ANR	58221	EqualityExpression	data == NULL		58187	0		==			
ANR	58222	Identifier	data		58187	0					
ANR	58223	Identifier	NULL		58187	1					
ANR	58224	CompoundStatement		8:26:178:178	58187	1					
ANR	58225	ExpressionStatement	exit ( - 1 )	32:27:858:866	58187	0	True				
ANR	58226	CallExpression	exit ( - 1 )		58187	0					
ANR	58227	Callee	exit		58187	0					
ANR	58228	Identifier	exit		58187	0					
ANR	58229	ArgumentList	- 1		58187	1					
ANR	58230	Argument	- 1		58187	0					
ANR	58231	UnaryOperationExpression	- 1		58187	0					
ANR	58232	UnaryOperator	-		58187	0					
ANR	58233	PrimaryExpression	1		58187	1					
ANR	58234	ExpressionStatement	free ( data )	34:8:966:976	58187	2	True				
ANR	58235	CallExpression	free ( data )		58187	0					
ANR	58236	Callee	free		58187	0					
ANR	58237	Identifier	free		58187	0					
ANR	58238	ArgumentList	data		58187	1					
ANR	58239	Argument	data		58187	0					
ANR	58240	Identifier	data		58187	0					
ANR	58241	IfStatement	if ( GLOBAL_CONST_FIVE == 5 )		58187	3					
ANR	58242	Condition	GLOBAL_CONST_FIVE == 5	36:7:993:1012	58187	0	True				
ANR	58243	EqualityExpression	GLOBAL_CONST_FIVE == 5		58187	0		==			
ANR	58244	Identifier	GLOBAL_CONST_FIVE		58187	0					
ANR	58245	PrimaryExpression	5		58187	1					
ANR	58246	CompoundStatement		13:4:341:341	58187	1					
ANR	58247	ExpressionStatement	free ( data )	39:8:1092:1102	58187	0	True				
ANR	58248	CallExpression	free ( data )		58187	0					
ANR	58249	Callee	free		58187	0					
ANR	58250	Identifier	free		58187	0					
ANR	58251	ArgumentList	data		58187	1					
ANR	58252	Argument	data		58187	0					
ANR	58253	Identifier	data		58187	0					
ANR	58254	ReturnType	void		58187	1					
ANR	58255	Identifier	CWE415_Double_Free__malloc_free_long_13_bad		58187	2					
ANR	58256	ParameterList			58187	3					
ANR	58257	CFGEntryNode	ENTRY		58187		True				
ANR	58258	CFGExitNode	EXIT		58187		True				
ANR	58259	Symbol	malloc		58187						
ANR	58260	Symbol	GLOBAL_CONST_FIVE		58187						
ANR	58261	Symbol	NULL		58187						
ANR	58262	Symbol	data		58187						
ANR	58263	Function	goodB2G1	48:0:1276:1938							
ANR	58264	FunctionDef	goodB2G1 ()		58263	0					
ANR	58265	CompoundStatement		49:0:1300:1938	58263	0					
ANR	58266	IdentifierDeclStatement	long * data ;	50:4:1307:1318	58263	0	True				
ANR	58267	IdentifierDecl	* data		58263	0					
ANR	58268	IdentifierDeclType	long *		58263	0					
ANR	58269	Identifier	data		58263	1					
ANR	58270	ExpressionStatement	data = NULL	52:4:1352:1363	58263	1	True				
ANR	58271	AssignmentExpression	data = NULL		58263	0		=			
ANR	58272	Identifier	data		58263	0					
ANR	58273	Identifier	NULL		58263	1					
ANR	58274	IfStatement	if ( GLOBAL_CONST_FIVE == 5 )		58263	2					
ANR	58275	Condition	GLOBAL_CONST_FIVE == 5	53:7:1373:1392	58263	0	True				
ANR	58276	EqualityExpression	GLOBAL_CONST_FIVE == 5		58263	0		==			
ANR	58277	Identifier	GLOBAL_CONST_FIVE		58263	0					
ANR	58278	PrimaryExpression	5		58263	1					
ANR	58279	CompoundStatement		6:4:99:99	58263	1					
ANR	58280	ExpressionStatement	data = ( long * ) malloc ( 100 * sizeof ( long ) )	55:8:1411:1450	58263	0	True				
