command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	63757	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-100-c/testcases/000/240/195/CWE415_Double_Free__malloc_free_long_61b.c								
ANR	63758	Function	CWE415_Double_Free__malloc_free_long_61b_badSource	24:0:640:915							
ANR	63759	FunctionDef	CWE415_Double_Free__malloc_free_long_61b_badSource (long * data)		63758	0					
ANR	63760	CompoundStatement		25:0:712:915	63758	0					
ANR	63761	ExpressionStatement	data = ( long * ) malloc ( 100 * sizeof ( long ) )	26:4:719:758	63758	0	True				
ANR	63762	AssignmentExpression	data = ( long * ) malloc ( 100 * sizeof ( long ) )		63758	0		=			
ANR	63763	Identifier	data		63758	0					
ANR	63764	CastExpression	( long * ) malloc ( 100 * sizeof ( long ) )		63758	1					
ANR	63765	CastTarget	long *		63758	0					
ANR	63766	CallExpression	malloc ( 100 * sizeof ( long ) )		63758	1					
ANR	63767	Callee	malloc		63758	0					
ANR	63768	Identifier	malloc		63758	0					
ANR	63769	ArgumentList	100 * sizeof ( long )		63758	1					
ANR	63770	Argument	100 * sizeof ( long )		63758	0					
ANR	63771	MultiplicativeExpression	100 * sizeof ( long )		63758	0		*			
ANR	63772	PrimaryExpression	100		63758	0					
ANR	63773	SizeofExpression	sizeof ( long )		63758	1					
ANR	63774	Sizeof	sizeof		63758	0					
ANR	63775	SizeofOperand	long		63758	1					
ANR	63776	IfStatement	if ( data == NULL )		63758	1					
ANR	63777	Condition	data == NULL	27:8:769:780	63758	0	True				
ANR	63778	EqualityExpression	data == NULL		63758	0		==			
ANR	63779	Identifier	data		63758	0					
ANR	63780	Identifier	NULL		63758	1					
ANR	63781	CompoundStatement		3:22:70:70	63758	1					
ANR	63782	ExpressionStatement	exit ( - 1 )	27:23:784:792	63758	0	True				
ANR	63783	CallExpression	exit ( - 1 )		63758	0					
ANR	63784	Callee	exit		63758	0					
ANR	63785	Identifier	exit		63758	0					
ANR	63786	ArgumentList	- 1		63758	1					
ANR	63787	Argument	- 1		63758	0					
ANR	63788	UnaryOperationExpression	- 1		63758	0					
ANR	63789	UnaryOperator	-		63758	0					
ANR	63790	PrimaryExpression	1		63758	1					
ANR	63791	ExpressionStatement	free ( data )	29:4:884:894	63758	2	True				
ANR	63792	CallExpression	free ( data )		63758	0					
ANR	63793	Callee	free		63758	0					
ANR	63794	Identifier	free		63758	0					
ANR	63795	ArgumentList	data		63758	1					
ANR	63796	Argument	data		63758	0					
ANR	63797	Identifier	data		63758	0					
ANR	63798	ReturnStatement	return data ;	30:4:901:912	63758	3	True				
ANR	63799	Identifier	data		63758	0					
ANR	63800	ReturnType	long *		63758	1					
ANR	63801	Identifier	CWE415_Double_Free__malloc_free_long_61b_badSource		63758	2					
ANR	63802	ParameterList	long * data		63758	3					
ANR	63803	Parameter	long * data	24:58:698:708	63758	0	True				
ANR	63804	ParameterType	long *		63758	0					
ANR	63805	Identifier	data		63758	1					
ANR	63806	CFGEntryNode	ENTRY		63758		True				
ANR	63807	CFGExitNode	EXIT		63758		True				
ANR	63808	Symbol	malloc		63758						
ANR	63809	Symbol	NULL		63758						
ANR	63810	Symbol	data		63758						
ANR	63811	Function	CWE415_Double_Free__malloc_free_long_61b_goodG2BSource	38:0:1018:1268							
ANR	63812	FunctionDef	CWE415_Double_Free__malloc_free_long_61b_goodG2BSource (long * data)		63811	0					
ANR	63813	CompoundStatement		39:0:1094:1268	63811	0					
ANR	63814	ExpressionStatement	data = ( long * ) malloc ( 100 * sizeof ( long ) )	40:4:1101:1140	63811	0	True				
ANR	63815	AssignmentExpression	data = ( long * ) malloc ( 100 * sizeof ( long ) )		63811	0		=			
ANR	63816	Identifier	data		63811	0					
ANR	63817	CastExpression	( long * ) malloc ( 100 * sizeof ( long ) )		63811	1					
ANR	63818	CastTarget	long *		63811	0					
ANR	63819	CallExpression	malloc ( 100 * sizeof ( long ) )		63811	1					
ANR	63820	Callee	malloc		63811	0					
ANR	63821	Identifier	malloc		63811	0					
ANR	63822	ArgumentList	100 * sizeof ( long )		63811	1					
ANR	63823	Argument	100 * sizeof ( long )		63811	0					
ANR	63824	MultiplicativeExpression	100 * sizeof ( long )		63811	0		*			
ANR	63825	PrimaryExpression	100		63811	0					
ANR	63826	SizeofExpression	sizeof ( long )		63811	1					
ANR	63827	Sizeof	sizeof		63811	0					
ANR	63828	SizeofOperand	long		63811	1					
ANR	63829	IfStatement	if ( data == NULL )		63811	1					
