command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	72960	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-100-c/testcases/000/240/221/CWE415_Double_Free__malloc_free_struct_34.c								
ANR	72961	ClassDef	<unnamed>	22:8:652:782							
ANR	72962	DeclStmt									
ANR	72963	Decl							twoIntsStruct	twoIntsStruct *	unionFirst
ANR	72964	DeclStmt									
ANR	72965	Decl							twoIntsStruct	twoIntsStruct *	unionSecond
ANR	72966	DeclStmt									
ANR	72967	Decl									CWE415_Double_Free__malloc_free_struct_34_unionType
ANR	72968	Function	CWE415_Double_Free__malloc_free_struct_34_bad	30:0:806:1382							
ANR	72969	FunctionDef	CWE415_Double_Free__malloc_free_struct_34_bad ()		72968	0					
ANR	72970	CompoundStatement		31:0:860:1382	72968	0					
ANR	72971	IdentifierDeclStatement	twoIntsStruct * data ;	32:4:867:887	72968	0	True				
ANR	72972	IdentifierDecl	* data		72968	0					
ANR	72973	IdentifierDeclType	twoIntsStruct *		72968	0					
ANR	72974	Identifier	data		72968	1					
ANR	72975	IdentifierDeclStatement	CWE415_Double_Free__malloc_free_struct_34_unionType myUnion ;	33:4:894:953	72968	1	True				
ANR	72976	IdentifierDecl	myUnion		72968	0					
ANR	72977	IdentifierDeclType	CWE415_Double_Free__malloc_free_struct_34_unionType		72968	0					
ANR	72978	Identifier	myUnion		72968	1					
ANR	72979	ExpressionStatement	data = NULL	35:4:987:998	72968	2	True				
ANR	72980	AssignmentExpression	data = NULL		72968	0		=			
ANR	72981	Identifier	data		72968	0					
ANR	72982	Identifier	NULL		72968	1					
ANR	72983	ExpressionStatement	data = ( twoIntsStruct * ) malloc ( 100 * sizeof ( twoIntsStruct ) )	36:4:1005:1062	72968	3	True				
ANR	72984	AssignmentExpression	data = ( twoIntsStruct * ) malloc ( 100 * sizeof ( twoIntsStruct ) )		72968	0		=			
ANR	72985	Identifier	data		72968	0					
ANR	72986	CastExpression	( twoIntsStruct * ) malloc ( 100 * sizeof ( twoIntsStruct ) )		72968	1					
ANR	72987	CastTarget	twoIntsStruct *		72968	0					
ANR	72988	CallExpression	malloc ( 100 * sizeof ( twoIntsStruct ) )		72968	1					
ANR	72989	Callee	malloc		72968	0					
ANR	72990	Identifier	malloc		72968	0					
ANR	72991	ArgumentList	100 * sizeof ( twoIntsStruct )		72968	1					
