command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	74875	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-100-c/testcases/000/240/227/CWE415_Double_Free__malloc_free_struct_61b.c								
ANR	74876	Function	CWE415_Double_Free__malloc_free_struct_61b_badSource	24:0:642:955							
ANR	74877	FunctionDef	CWE415_Double_Free__malloc_free_struct_61b_badSource (twoIntsStruct * data)		74876	0					
ANR	74878	CompoundStatement		25:0:734:955	74876	0					
ANR	74879	ExpressionStatement	data = ( twoIntsStruct * ) malloc ( 100 * sizeof ( twoIntsStruct ) )	26:4:741:798	74876	0	True				
ANR	74880	AssignmentExpression	data = ( twoIntsStruct * ) malloc ( 100 * sizeof ( twoIntsStruct ) )		74876	0		=			
ANR	74881	Identifier	data		74876	0					
ANR	74882	CastExpression	( twoIntsStruct * ) malloc ( 100 * sizeof ( twoIntsStruct ) )		74876	1					
ANR	74883	CastTarget	twoIntsStruct *		74876	0					
ANR	74884	CallExpression	malloc ( 100 * sizeof ( twoIntsStruct ) )		74876	1					
ANR	74885	Callee	malloc		74876	0					
ANR	74886	Identifier	malloc		74876	0					
ANR	74887	ArgumentList	100 * sizeof ( twoIntsStruct )		74876	1					
ANR	74888	Argument	100 * sizeof ( twoIntsStruct )		74876	0					
ANR	74889	MultiplicativeExpression	100 * sizeof ( twoIntsStruct )		74876	0		*			
ANR	74890	PrimaryExpression	100		74876	0					
ANR	74891	SizeofExpression	sizeof ( twoIntsStruct )		74876	1					
ANR	74892	Sizeof	sizeof		74876	0					
ANR	74893	SizeofOperand	twoIntsStruct		74876	1					
ANR	74894	IfStatement	if ( data == NULL )		74876	1					
ANR	74895	Condition	data == NULL	27:8:809:820	74876	0	True				
ANR	74896	EqualityExpression	data == NULL		74876	0		==			
ANR	74897	Identifier	data		74876	0					
ANR	74898	Identifier	NULL		74876	1					
ANR	74899	CompoundStatement		3:22:88:88	74876	1					
ANR	74900	ExpressionStatement	exit ( - 1 )	27:23:824:832	74876	0	True				
ANR	74901	CallExpression	exit ( - 1 )		74876	0					
ANR	74902	Callee	exit		74876	0					
ANR	74903	Identifier	exit		74876	0					
ANR	74904	ArgumentList	- 1		74876	1					
ANR	74905	Argument	- 1		74876	0					
ANR	74906	UnaryOperationExpression	- 1		74876	0					
ANR	74907	UnaryOperator	-		74876	0					
ANR	74908	PrimaryExpression	1		74876	1					
ANR	74909	ExpressionStatement	free ( data )	29:4:924:934	74876	2	True				
ANR	74910	CallExpression	free ( data )		74876	0					
ANR	74911	Callee	free		74876	0					
ANR	74912	Identifier	free		74876	0					
