command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	76675	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-100-c/testcases/000/240/235/CWE415_Double_Free__malloc_free_wchar_t_05.c								
ANR	76676	DeclStmt									
ANR	76677	Decl							int	int	staticTrue
ANR	76678	DeclStmt									
ANR	76679	Decl							int	int	staticFalse
ANR	76680	Function	CWE415_Double_Free__malloc_free_wchar_t_05_bad	30:0:901:1379							
ANR	76681	FunctionDef	CWE415_Double_Free__malloc_free_wchar_t_05_bad ()		76680	0					
ANR	76682	CompoundStatement		31:0:956:1379	76680	0					
ANR	76683	IdentifierDeclStatement	wchar_t * data ;	32:4:963:977	76680	0	True				
ANR	76684	IdentifierDecl	* data		76680	0					
ANR	76685	IdentifierDeclType	wchar_t *		76680	0					
ANR	76686	Identifier	data		76680	1					
ANR	76687	ExpressionStatement	data = NULL	34:4:1011:1022	76680	1	True				
ANR	76688	AssignmentExpression	data = NULL		76680	0		=			
ANR	76689	Identifier	data		76680	0					
ANR	76690	Identifier	NULL		76680	1					
ANR	76691	IfStatement	if ( staticTrue )		76680	2					
ANR	76692	Condition	staticTrue	35:7:1032:1041	76680	0	True				
ANR	76693	Identifier	staticTrue		76680	0					
ANR	76694	CompoundStatement		6:4:92:92	76680	1					
ANR	76695	ExpressionStatement	data = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )	37:8:1060:1105	76680	0	True				
ANR	76696	AssignmentExpression	data = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		76680	0		=			
ANR	76697	Identifier	data		76680	0					
ANR	76698	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		76680	1					
ANR	76699	CastTarget	wchar_t *		76680	0					
ANR	76700	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		76680	1					
ANR	76701	Callee	malloc		76680	0					
ANR	76702	Identifier	malloc		76680	0					
ANR	76703	ArgumentList	100 * sizeof ( wchar_t )		76680	1					
ANR	76704	Argument	100 * sizeof ( wchar_t )		76680	0					
ANR	76705	MultiplicativeExpression	100 * sizeof ( wchar_t )		76680	0		*			
ANR	76706	PrimaryExpression	100		76680	0					
ANR	76707	SizeofExpression	sizeof ( wchar_t )		76680	1					
