start	end	type	var
81926	81927	IS_AST_PARENT	
81926	81928	IS_AST_PARENT	
81925	81926	IS_AST_PARENT	
81924	81925	IS_AST_PARENT	
81930	81931	IS_AST_PARENT	
81930	81932	IS_AST_PARENT	
81929	81930	IS_AST_PARENT	
81924	81929	IS_AST_PARENT	
81934	81935	IS_AST_PARENT	
81933	81934	IS_AST_PARENT	
81938	81939	IS_AST_PARENT	
81940	81941	IS_AST_PARENT	
81943	81944	IS_AST_PARENT	
81942	81943	IS_AST_PARENT	
81947	81948	IS_AST_PARENT	
81949	81950	IS_AST_PARENT	
81949	81951	IS_AST_PARENT	
81947	81949	IS_AST_PARENT	
81946	81947	IS_AST_PARENT	
81945	81946	IS_AST_PARENT	
81942	81945	IS_AST_PARENT	
81940	81942	IS_AST_PARENT	
81938	81940	IS_AST_PARENT	
81937	81938	IS_AST_PARENT	
81936	81937	IS_AST_PARENT	
81954	81955	IS_AST_PARENT	
81954	81956	IS_AST_PARENT	
81953	81954	IS_AST_PARENT	
81952	81953	IS_AST_PARENT	
81960	81961	IS_AST_PARENT	
81959	81960	IS_AST_PARENT	
81964	81965	IS_AST_PARENT	
81964	81966	IS_AST_PARENT	
81963	81964	IS_AST_PARENT	
81962	81963	IS_AST_PARENT	
81959	81962	IS_AST_PARENT	
81958	81959	IS_AST_PARENT	
81957	81958	IS_AST_PARENT	
81952	81957	IS_AST_PARENT	
81936	81952	IS_AST_PARENT	
81969	81970	IS_AST_PARENT	
81968	81969	IS_AST_PARENT	
81972	81973	IS_AST_PARENT	
81971	81972	IS_AST_PARENT	
81968	81971	IS_AST_PARENT	
81967	81968	IS_AST_PARENT	
81936	81967	IS_AST_PARENT	
81936	81974	IS_AST_PARENT	
81933	81936	IS_AST_PARENT	
81924	81933	IS_AST_PARENT	
81976	81977	IS_AST_PARENT	
81975	81976	IS_AST_PARENT	
81981	81982	IS_AST_PARENT	
81980	81981	IS_AST_PARENT	
81984	81985	IS_AST_PARENT	
81983	81984	IS_AST_PARENT	
81980	81983	IS_AST_PARENT	
81979	81980	IS_AST_PARENT	
81978	81979	IS_AST_PARENT	
81978	81986	IS_AST_PARENT	
81975	81978	IS_AST_PARENT	
81924	81975	IS_AST_PARENT	
81923	81924	IS_AST_PARENT	
81923	81987	IS_AST_PARENT	
81923	81988	IS_AST_PARENT	
81923	81989	IS_AST_PARENT	
81990	81925	FLOWS_TO	
81925	81929	FLOWS_TO	
81929	81934	FLOWS_TO	
81934	81937	FLOWS_TO	
81934	81976	FLOWS_TO	
81937	81953	FLOWS_TO	
81953	81958	FLOWS_TO	
81953	81967	FLOWS_TO	
81958	81967	FLOWS_TO	
81967	81974	FLOWS_TO	
81974	81976	FLOWS_TO	
81976	81979	FLOWS_TO	
81976	81991	FLOWS_TO	
81979	81986	FLOWS_TO	
81986	81991	FLOWS_TO	
81937	81992	USE	
81938	81992	USE	
81929	81993	USE	
81930	81993	USE	
81953	81993	USE	
81925	81994	DEF	
81926	81994	DEF	
81929	81994	DEF	
81930	81994	DEF	
81937	81994	DEF	
81938	81994	DEF	
81953	81994	USE	
81967	81994	USE	
81972	81994	USE	
81979	81994	USE	
81984	81994	USE	
81937	81953	REACHES	data
81937	81967	REACHES	data
81937	81979	REACHES	data
81929	81979	REACHES	data
81990	81925	CONTROLS	
81990	81929	CONTROLS	
81990	81934	CONTROLS	
81990	81976	CONTROLS	
81934	81937	CONTROLS	
81934	81953	CONTROLS	
81934	81967	CONTROLS	
81934	81974	CONTROLS	
81953	81958	CONTROLS	
81976	81979	CONTROLS	
81976	81986	CONTROLS	
81967	81974	DOM	
81925	81929	DOM	
81934	81976	DOM	
81929	81934	DOM	
81990	81990	DOM	
81937	81953	DOM	
81979	81986	DOM	
81976	81979	DOM	
81976	81991	DOM	
81953	81967	DOM	
81934	81937	DOM	
81953	81958	DOM	
