command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	87040	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-100-c/testcases/000/240/265/CWE416_Use_After_Free__malloc_free_char_03.c								
ANR	87041	Function	CWE416_Use_After_Free__malloc_free_char_03_bad	24:0:637:1258							
ANR	87042	FunctionDef	CWE416_Use_After_Free__malloc_free_char_03_bad ()		87041	0					
ANR	87043	CompoundStatement		25:0:692:1258	87041	0					
ANR	87044	IdentifierDeclStatement	char * data ;	26:4:699:710	87041	0	True				
ANR	87045	IdentifierDecl	* data		87041	0					
ANR	87046	IdentifierDeclType	char *		87041	0					
ANR	87047	Identifier	data		87041	1					
ANR	87048	ExpressionStatement	data = NULL	28:4:744:755	87041	1	True				
ANR	87049	AssignmentExpression	data = NULL		87041	0		=			
ANR	87050	Identifier	data		87041	0					
ANR	87051	Identifier	NULL		87041	1					
ANR	87052	IfStatement	if ( 5 == 5 )		87041	2					
ANR	87053	Condition	5 == 5	29:7:765:768	87041	0	True				
ANR	87054	EqualityExpression	5 == 5		87041	0		==			
ANR	87055	PrimaryExpression	5		87041	0					
ANR	87056	PrimaryExpression	5		87041	1					
ANR	87057	CompoundStatement		6:4:83:83	87041	1					
ANR	87058	ExpressionStatement	data = ( char * ) malloc ( 100 * sizeof ( char ) )	31:8:787:826	87041	0	True				
ANR	87059	AssignmentExpression	data = ( char * ) malloc ( 100 * sizeof ( char ) )		87041	0		=			
ANR	87060	Identifier	data		87041	0					
ANR	87061	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		87041	1					
ANR	87062	CastTarget	char *		87041	0					
ANR	87063	CallExpression	malloc ( 100 * sizeof ( char ) )		87041	1					
ANR	87064	Callee	malloc		87041	0					
ANR	87065	Identifier	malloc		87041	0					
ANR	87066	ArgumentList	100 * sizeof ( char )		87041	1					
ANR	87067	Argument	100 * sizeof ( char )		87041	0					
ANR	87068	MultiplicativeExpression	100 * sizeof ( char )		87041	0		*			
ANR	87069	PrimaryExpression	100		87041	0					
ANR	87070	SizeofExpression	sizeof ( char )		87041	1					
ANR	87071	Sizeof	sizeof		87041	0					
ANR	87072	SizeofOperand	char		87041	1					
ANR	87073	IfStatement	if ( data == NULL )		87041	1					
ANR	87074	Condition	data == NULL	32:12:841:852	87041	0	True				
ANR	87075	EqualityExpression	data == NULL		87041	0		==			
ANR	87076	Identifier	data		87041	0					
ANR	87077	Identifier	NULL		87041	1					
ANR	87078	CompoundStatement		8:26:162:162	87041	1					
ANR	87079	ExpressionStatement	exit ( - 1 )	32:27:856:864	87041	0	True				
ANR	87080	CallExpression	exit ( - 1 )		87041	0					
ANR	87081	Callee	exit		87041	0					
ANR	87082	Identifier	exit		87041	0					
ANR	87083	ArgumentList	- 1		87041	1					
ANR	87084	Argument	- 1		87041	0					
ANR	87085	UnaryOperationExpression	- 1		87041	0					
ANR	87086	UnaryOperator	-		87041	0					
ANR	87087	PrimaryExpression	1		87041	1					
ANR	87088	ExpressionStatement	"memset ( data , 'A' , 100 - 1 )"	33:8:875:899	87041	2	True				
ANR	87089	CallExpression	"memset ( data , 'A' , 100 - 1 )"		87041	0					
ANR	87090	Callee	memset		87041	0					
ANR	87091	Identifier	memset		87041	0					
ANR	87092	ArgumentList	data		87041	1					
ANR	87093	Argument	data		87041	0					
ANR	87094	Identifier	data		87041	0					
ANR	87095	Argument	'A'		87041	1					
ANR	87096	PrimaryExpression	'A'		87041	0					
ANR	87097	Argument	100 - 1		87041	2					
ANR	87098	AdditiveExpression	100 - 1		87041	0		-			
ANR	87099	PrimaryExpression	100		87041	0					
ANR	87100	PrimaryExpression	1		87041	1					
ANR	87101	ExpressionStatement	data [ 100 - 1 ] = '\\0'	34:8:910:928	87041	3	True				
ANR	87102	AssignmentExpression	data [ 100 - 1 ] = '\\0'		87041	0		=			
ANR	87103	ArrayIndexing	data [ 100 - 1 ]		87041	0					
ANR	87104	Identifier	data		87041	0					
ANR	87105	AdditiveExpression	100 - 1		87041	1		-			
ANR	87106	PrimaryExpression	100		87041	0					
ANR	87107	PrimaryExpression	1		87041	1					
ANR	87108	PrimaryExpression	'\\0'		87041	1					
ANR	87109	ExpressionStatement	free ( data )	36:8:1030:1040	87041	4	True				
ANR	87110	CallExpression	free ( data )		87041	0					
ANR	87111	Callee	free		87041	0					
ANR	87112	Identifier	free		87041	0					
ANR	87113	ArgumentList	data		87041	1					
ANR	87114	Argument	data		87041	0					
ANR	87115	Identifier	data		87041	0					
ANR	87116	IfStatement	if ( 5 == 5 )		87041	3					
ANR	87117	Condition	5 == 5	38:7:1057:1060	87041	0	True				
ANR	87118	EqualityExpression	5 == 5		87041	0		==			
ANR	87119	PrimaryExpression	5		87041	0					
ANR	87120	PrimaryExpression	5		87041	1					
ANR	87121	CompoundStatement		15:4:375:375	87041	1					
ANR	87122	ExpressionStatement	printLine ( data )	41:8:1147:1162	87041	0	True				
ANR	87123	CallExpression	printLine ( data )		87041	0					
ANR	87124	Callee	printLine		87041	0					
ANR	87125	Identifier	printLine		87041	0					
ANR	87126	ArgumentList	data		87041	1					
ANR	87127	Argument	data		87041	0					
ANR	87128	Identifier	data		87041	0					
ANR	87129	ReturnType	void		87041	1					
ANR	87130	Identifier	CWE416_Use_After_Free__malloc_free_char_03_bad		87041	2					
ANR	87131	ParameterList			87041	3					
ANR	87132	CFGEntryNode	ENTRY		87041		True				
ANR	87133	CFGExitNode	EXIT		87041		True				
ANR	87134	Symbol	malloc		87041						
ANR	87135	Symbol	NULL		87041						
ANR	87136	Symbol	data		87041						
ANR	87137	Symbol	* data		87041						
ANR	87138	Function	goodB2G1	51:0:1390:2187							
ANR	87139	FunctionDef	goodB2G1 ()		87138	0					
ANR	87140	CompoundStatement		52:0:1414:2187	87138	0					
ANR	87141	IdentifierDeclStatement	char * data ;	53:4:1421:1432	87138	0	True				
ANR	87142	IdentifierDecl	* data		87138	0					
ANR	87143	IdentifierDeclType	char *		87138	0					
ANR	87144	Identifier	data		87138	1					
ANR	87145	ExpressionStatement	data = NULL	55:4:1466:1477	87138	1	True				
ANR	87146	AssignmentExpression	data = NULL		87138	0		=			
ANR	87147	Identifier	data		87138	0					
ANR	87148	Identifier	NULL		87138	1					
ANR	87149	IfStatement	if ( 5 == 5 )		87138	2					
ANR	87150	Condition	5 == 5	56:7:1487:1490	87138	0	True				
ANR	87151	EqualityExpression	5 == 5		87138	0		==			
ANR	87152	PrimaryExpression	5		87138	0					
ANR	87153	PrimaryExpression	5		87138	1					
ANR	87154	CompoundStatement		6:4:83:83	87138	1					
ANR	87155	ExpressionStatement	data = ( char * ) malloc ( 100 * sizeof ( char ) )	58:8:1509:1548	87138	0	True				
ANR	87156	AssignmentExpression	data = ( char * ) malloc ( 100 * sizeof ( char ) )		87138	0		=			
ANR	87157	Identifier	data		87138	0					
ANR	87158	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		87138	1					
ANR	87159	CastTarget	char *		87138	0					
ANR	87160	CallExpression	malloc ( 100 * sizeof ( char ) )		87138	1					
ANR	87161	Callee	malloc		87138	0					
ANR	87162	Identifier	malloc		87138	0					
ANR	87163	ArgumentList	100 * sizeof ( char )		87138	1					
ANR	87164	Argument	100 * sizeof ( char )		87138	0					
ANR	87165	MultiplicativeExpression	100 * sizeof ( char )		87138	0		*			
ANR	87166	PrimaryExpression	100		87138	0					
ANR	87167	SizeofExpression	sizeof ( char )		87138	1					
ANR	87168	Sizeof	sizeof		87138	0					
ANR	87169	SizeofOperand	char		87138	1					
ANR	87170	IfStatement	if ( data == NULL )		87138	1					
ANR	87171	Condition	data == NULL	59:12:1563:1574	87138	0	True				
ANR	87172	EqualityExpression	data == NULL		87138	0		==			
ANR	87173	Identifier	data		87138	0					
ANR	87174	Identifier	NULL		87138	1					
ANR	87175	CompoundStatement		8:26:162:162	87138	1					
ANR	87176	ExpressionStatement	exit ( - 1 )	59:27:1578:1586	87138	0	True				
