start	end	type	var
91118	91119	IS_AST_PARENT	
91118	91120	IS_AST_PARENT	
91117	91118	IS_AST_PARENT	
91116	91117	IS_AST_PARENT	
91122	91123	IS_AST_PARENT	
91122	91124	IS_AST_PARENT	
91121	91122	IS_AST_PARENT	
91116	91121	IS_AST_PARENT	
91126	91127	IS_AST_PARENT	
91125	91126	IS_AST_PARENT	
91130	91131	IS_AST_PARENT	
91132	91133	IS_AST_PARENT	
91135	91136	IS_AST_PARENT	
91134	91135	IS_AST_PARENT	
91139	91140	IS_AST_PARENT	
91141	91142	IS_AST_PARENT	
91141	91143	IS_AST_PARENT	
91139	91141	IS_AST_PARENT	
91138	91139	IS_AST_PARENT	
91137	91138	IS_AST_PARENT	
91134	91137	IS_AST_PARENT	
91132	91134	IS_AST_PARENT	
91130	91132	IS_AST_PARENT	
91129	91130	IS_AST_PARENT	
91128	91129	IS_AST_PARENT	
91146	91147	IS_AST_PARENT	
91146	91148	IS_AST_PARENT	
91145	91146	IS_AST_PARENT	
91144	91145	IS_AST_PARENT	
91152	91153	IS_AST_PARENT	
91151	91152	IS_AST_PARENT	
91156	91157	IS_AST_PARENT	
91156	91158	IS_AST_PARENT	
91155	91156	IS_AST_PARENT	
91154	91155	IS_AST_PARENT	
91151	91154	IS_AST_PARENT	
91150	91151	IS_AST_PARENT	
91149	91150	IS_AST_PARENT	
91144	91149	IS_AST_PARENT	
91128	91144	IS_AST_PARENT	
91161	91162	IS_AST_PARENT	
91160	91161	IS_AST_PARENT	
91164	91165	IS_AST_PARENT	
91163	91164	IS_AST_PARENT	
91166	91167	IS_AST_PARENT	
91163	91166	IS_AST_PARENT	
91169	91170	IS_AST_PARENT	
91169	91171	IS_AST_PARENT	
91168	91169	IS_AST_PARENT	
91163	91168	IS_AST_PARENT	
91160	91163	IS_AST_PARENT	
91159	91160	IS_AST_PARENT	
91128	91159	IS_AST_PARENT	
91174	91175	IS_AST_PARENT	
91176	91177	IS_AST_PARENT	
91176	91178	IS_AST_PARENT	
91174	91176	IS_AST_PARENT	
91173	91174	IS_AST_PARENT	
91173	91179	IS_AST_PARENT	
91172	91173	IS_AST_PARENT	
91128	91172	IS_AST_PARENT	
91182	91183	IS_AST_PARENT	
91181	91182	IS_AST_PARENT	
91185	91186	IS_AST_PARENT	
91184	91185	IS_AST_PARENT	
91181	91184	IS_AST_PARENT	
91180	91181	IS_AST_PARENT	
91128	91180	IS_AST_PARENT	
91125	91128	IS_AST_PARENT	
91116	91125	IS_AST_PARENT	
91188	91189	IS_AST_PARENT	
91187	91188	IS_AST_PARENT	
91193	91194	IS_AST_PARENT	
91192	91193	IS_AST_PARENT	
91196	91197	IS_AST_PARENT	
91195	91196	IS_AST_PARENT	
91192	91195	IS_AST_PARENT	
91191	91192	IS_AST_PARENT	
91190	91191	IS_AST_PARENT	
91187	91190	IS_AST_PARENT	
91116	91187	IS_AST_PARENT	
91115	91116	IS_AST_PARENT	
91115	91198	IS_AST_PARENT	
91115	91199	IS_AST_PARENT	
91115	91200	IS_AST_PARENT	
91201	91117	FLOWS_TO	
91117	91121	FLOWS_TO	
91121	91126	FLOWS_TO	
91126	91129	FLOWS_TO	
91126	91188	FLOWS_TO	
91129	91145	FLOWS_TO	
91145	91150	FLOWS_TO	
91145	91159	FLOWS_TO	
91150	91159	FLOWS_TO	
91159	91172	FLOWS_TO	
91172	91180	FLOWS_TO	
