command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	100485	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-100-c/testcases/shared/108/io.c								
ANR	100486	Function	printLine	11:0:174:281							
ANR	100487	FunctionDef	printLine (const char * line)		100486	0					
ANR	100488	CompoundStatement		12:0:210:281	100486	0					
ANR	100489	IfStatement	if ( line != NULL )		100486	0					
ANR	100490	Condition	line != NULL	13:7:220:231	100486	0	True				
ANR	100491	EqualityExpression	line != NULL		100486	0		!=			
ANR	100492	Identifier	line		100486	0					
ANR	100493	Identifier	NULL		100486	1					
ANR	100494	CompoundStatement		3:4:29:29	100486	1					
ANR	100495	ExpressionStatement	"printf ( ""%s\\n"" , line )"	15:8:251:271	100486	0	True				
ANR	100496	CallExpression	"printf ( ""%s\\n"" , line )"		100486	0					
ANR	100497	Callee	printf		100486	0					
ANR	100498	Identifier	printf		100486	0					
ANR	100499	ArgumentList	"""%s\\n"""		100486	1					
ANR	100500	Argument	"""%s\\n"""		100486	0					
ANR	100501	PrimaryExpression	"""%s\\n"""		100486	0					
ANR	100502	Argument	line		100486	1					
ANR	100503	Identifier	line		100486	0					
ANR	100504	ReturnType	void		100486	1					
ANR	100505	Identifier	printLine		100486	2					
ANR	100506	ParameterList	const char * line		100486	3					
ANR	100507	Parameter	const char * line	11:16:190:206	100486	0	True				
ANR	100508	ParameterType	const char *		100486	0					
ANR	100509	Identifier	line		100486	1					
ANR	100510	CFGEntryNode	ENTRY		100486		True				
ANR	100511	CFGExitNode	EXIT		100486		True				
ANR	100512	Symbol	NULL		100486						
ANR	100513	Symbol	line		100486						
ANR	100514	Function	printWLine	19:0:286:400							
ANR	100515	FunctionDef	printWLine (const wchar_t * line)		100514	0					
ANR	100516	CompoundStatement		20:0:326:400	100514	0					
ANR	100517	IfStatement	if ( line != NULL )		100514	0					
ANR	100518	Condition	line != NULL	21:7:336:347	100514	0	True				
ANR	100519	EqualityExpression	line != NULL		100514	0		!=			
ANR	100520	Identifier	line		100514	0					
ANR	100521	Identifier	NULL		100514	1					
ANR	100522	CompoundStatement		3:4:29:29	100514	1					
ANR	100523	Statement	wprintf	23:8:367:373	100514	0	True				
ANR	100524	Statement	(	23:15:374:374	100514	1	True				
ANR	100525	Statement	L	23:16:375:375	100514	2	True				
ANR	100526	Statement	"""%ls\\n"""	23:17:376:382	100514	3	True				
ANR	100527	Statement	","	23:24:383:383	100514	4	True				
ANR	100528	Statement	line	23:26:385:388	100514	5	True				
ANR	100529	Statement	)	23:30:389:389	100514	6	True				
ANR	100530	ExpressionStatement		23:31:390:390	100514	7	True				
ANR	100531	ReturnType	void		100514	1					
ANR	100532	Identifier	printWLine		100514	2					
ANR	100533	ParameterList	const wchar_t * line		100514	3					
ANR	100534	Parameter	const wchar_t * line	19:17:303:322	100514	0	True				
ANR	100535	ParameterType	const wchar_t *		100514	0					
ANR	100536	Identifier	line		100514	1					
ANR	100537	CFGEntryNode	ENTRY		100514		True				
ANR	100538	CFGExitNode	EXIT		100514		True				
ANR	100539	Symbol	NULL		100514						
ANR	100540	Symbol	line		100514						
ANR	100541	Function	printIntLine	27:0:405:475							
ANR	100542	FunctionDef	printIntLine (int intNumber)		100541	0					
ANR	100543	CompoundStatement		28:0:440:475	100541	0					
ANR	100544	ExpressionStatement	"printf ( ""%d\\n"" , intNumber )"	29:4:447:472	100541	0	True				
ANR	100545	CallExpression	"printf ( ""%d\\n"" , intNumber )"		100541	0					
ANR	100546	Callee	printf		100541	0					
ANR	100547	Identifier	printf		100541	0					
ANR	100548	ArgumentList	"""%d\\n"""		100541	1					
ANR	100549	Argument	"""%d\\n"""		100541	0					
ANR	100550	PrimaryExpression	"""%d\\n"""		100541	0					
ANR	100551	Argument	intNumber		100541	1					
ANR	100552	Identifier	intNumber		100541	0					
ANR	100553	ReturnType	void		100541	1					
ANR	100554	Identifier	printIntLine		100541	2					
ANR	100555	ParameterList	int intNumber		100541	3					
ANR	100556	Parameter	int intNumber	27:19:424:436	100541	0	True				
ANR	100557	ParameterType	int		100541	0					
ANR	100558	Identifier	intNumber		100541	1					
ANR	100559	CFGEntryNode	ENTRY		100541		True				
ANR	100560	CFGExitNode	EXIT		100541		True				
ANR	100561	Symbol	intNumber		100541						
ANR	100562	Function	printShortLine	32:0:480:559							
ANR	100563	FunctionDef	printShortLine (short shortNumber)		100562	0					
ANR	100564	CompoundStatement		33:0:521:559	100562	0					
ANR	100565	ExpressionStatement	"printf ( ""%hd\\n"" , shortNumber )"	34:4:528:556	100562	0	True				
ANR	100566	CallExpression	"printf ( ""%hd\\n"" , shortNumber )"		100562	0					
ANR	100567	Callee	printf		100562	0					
ANR	100568	Identifier	printf		100562	0					
ANR	100569	ArgumentList	"""%hd\\n"""		100562	1					
ANR	100570	Argument	"""%hd\\n"""		100562	0					
ANR	100571	PrimaryExpression	"""%hd\\n"""		100562	0					
ANR	100572	Argument	shortNumber		100562	1					
ANR	100573	Identifier	shortNumber		100562	0					
ANR	100574	ReturnType	void		100562	1					
ANR	100575	Identifier	printShortLine		100562	2					
ANR	100576	ParameterList	short shortNumber		100562	3					
ANR	100577	Parameter	short shortNumber	32:21:501:517	100562	0	True				
ANR	100578	ParameterType	short		100562	0					
ANR	100579	Identifier	shortNumber		100562	1					
ANR	100580	CFGEntryNode	ENTRY		100562		True				
ANR	100581	CFGExitNode	EXIT		100562		True				
ANR	100582	Symbol	shortNumber		100562						
ANR	100583	Function	printFloatLine	37:0:564:642							
ANR	100584	FunctionDef	printFloatLine (float floatNumber)		100583	0					
ANR	100585	CompoundStatement		38:0:605:642	100583	0					
ANR	100586	ExpressionStatement	"printf ( ""%f\\n"" , floatNumber )"	39:4:612:639	100583	0	True				
ANR	100587	CallExpression	"printf ( ""%f\\n"" , floatNumber )"		100583	0					
ANR	100588	Callee	printf		100583	0					
ANR	100589	Identifier	printf		100583	0					
ANR	100590	ArgumentList	"""%f\\n"""		100583	1					
ANR	100591	Argument	"""%f\\n"""		100583	0					
ANR	100592	PrimaryExpression	"""%f\\n"""		100583	0					
ANR	100593	Argument	floatNumber		100583	1					
ANR	100594	Identifier	floatNumber		100583	0					
ANR	100595	ReturnType	void		100583	1					
ANR	100596	Identifier	printFloatLine		100583	2					
ANR	100597	ParameterList	float floatNumber		100583	3					
ANR	100598	Parameter	float floatNumber	37:21:585:601	100583	0	True				
ANR	100599	ParameterType	float		100583	0					
ANR	100600	Identifier	floatNumber		100583	1					
