command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	101272	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-100-c/testcases/shared/108/std_testcase.h								
ANR	101273	ClassDef	TwoIntsClass	61:0:1804:1930							
ANR	101274	DeclStmt									
ANR	101275	Decl							int	int	intOne
ANR	101276	DeclStmt									
ANR	101277	Decl							int	int	intTwo
ANR	101278	ClassDef	OneIntClass	68:0:1936:2040							
ANR	101279	DeclStmt									
ANR	101280	Decl							int	int	intOne
ANR	101281	ClassDef	_twoIntsStruct	96:8:3191:3266							
ANR	101282	DeclStmt									
ANR	101283	Decl							int	int	intOne
ANR	101284	DeclStmt									
ANR	101285	Decl							int	int	intTwo
ANR	101286	DeclStmt									
ANR	101287	Decl							_twoIntsStruct	_twoIntsStruct	twoIntsStruct
ANR	101288	DeclStmt									
ANR	101289	Decl							const int	const int	GLOBAL_CONST_TRUE
ANR	101290	DeclStmt									
ANR	101291	Decl							const int	const int	GLOBAL_CONST_FALSE
ANR	101292	DeclStmt									
ANR	101293	Decl							const int	const int	GLOBAL_CONST_FIVE
ANR	101294	DeclStmt									
ANR	101295	Decl							extern int	extern int	globalTrue
ANR	101296	DeclStmt									
ANR	101297	Decl							extern int	extern int	globalFalse
ANR	101298	DeclStmt									
ANR	101299	Decl							extern int	extern int	globalFive
