command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	101350	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1000-c/testcases/000/234/179/CWE122_Heap_Based_Buffer_Overflow__sizeof_int64_t_09.c								
ANR	101351	Function	CWE122_Heap_Based_Buffer_Overflow__sizeof_int64_t_09_bad	21:0:632:1215							
ANR	101352	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__sizeof_int64_t_09_bad ()		101351	0					
ANR	101353	CompoundStatement		22:0:697:1215	101351	0					
ANR	101354	IdentifierDeclStatement	int64_t * data ;	23:4:704:718	101351	0	True				
ANR	101355	IdentifierDecl	* data		101351	0					
ANR	101356	IdentifierDeclType	int64_t *		101351	0					
ANR	101357	Identifier	data		101351	1					
ANR	101358	ExpressionStatement	data = NULL	25:4:752:763	101351	1	True				
ANR	101359	AssignmentExpression	data = NULL		101351	0		=			
ANR	101360	Identifier	data		101351	0					
ANR	101361	Identifier	NULL		101351	1					
ANR	101362	IfStatement	if ( GLOBAL_CONST_TRUE )		101351	2					
ANR	101363	Condition	GLOBAL_CONST_TRUE	26:7:773:789	101351	0	True				
ANR	101364	Identifier	GLOBAL_CONST_TRUE		101351	0					
ANR	101365	CompoundStatement		6:4:99:99	101351	1					
ANR	101366	ExpressionStatement	data = ( int64_t * ) malloc ( sizeof ( data ) )	30:8:959:997	101351	0	True				
ANR	101367	AssignmentExpression	data = ( int64_t * ) malloc ( sizeof ( data ) )		101351	0		=			
ANR	101368	Identifier	data		101351	0					
ANR	101369	CastExpression	( int64_t * ) malloc ( sizeof ( data ) )		101351	1					
ANR	101370	CastTarget	int64_t *		101351	0					
ANR	101371	CallExpression	malloc ( sizeof ( data ) )		101351	1					
ANR	101372	Callee	malloc		101351	0					
ANR	101373	Identifier	malloc		101351	0					
ANR	101374	ArgumentList	sizeof ( data )		101351	1					
ANR	101375	Argument	sizeof ( data )		101351	0					
ANR	101376	SizeofExpression	sizeof ( data )		101351	0					
ANR	101377	Sizeof	sizeof		101351	0					
ANR	101378	SizeofOperand	data		101351	1					
ANR	101379	IfStatement	if ( data == NULL )		101351	1					
ANR	101380	Condition	data == NULL	31:12:1012:1023	101351	0	True				
ANR	101381	EqualityExpression	data == NULL		101351	0		==			
ANR	101382	Identifier	data		101351	0					
ANR	101383	Identifier	NULL		101351	1					
ANR	101384	CompoundStatement		10:26:328:328	101351	1					
ANR	101385	ExpressionStatement	exit ( - 1 )	31:27:1027:1035	101351	0	True				
ANR	101386	CallExpression	exit ( - 1 )		101351	0					
ANR	101387	Callee	exit		101351	0					
ANR	101388	Identifier	exit		101351	0					
ANR	101389	ArgumentList	- 1		101351	1					
ANR	101390	Argument	- 1		101351	0					
ANR	101391	UnaryOperationExpression	- 1		101351	0					
ANR	101392	UnaryOperator	-		101351	0					
ANR	101393	PrimaryExpression	1		101351	1					
ANR	101394	Statement	*	32:8:1046:1046	101351	2	True				
ANR	101395	Statement	data	32:9:1047:1050	101351	3	True				
ANR	101396	Statement	=	32:14:1052:1052	101351	4	True				
ANR	101397	Statement	2147483643L	32:16:1054:1064	101351	5	True				
ANR	101398	ExpressionStatement	L	32:27:1065:1066	101351	6	True				
ANR	101399	Identifier	L		101351	0					
ANR	101400	ExpressionStatement	printLongLongLine ( * data )	35:4:1171:1195	101351	3	True				
ANR	101401	CallExpression	printLongLongLine ( * data )		101351	0					
ANR	101402	Callee	printLongLongLine		101351	0					
ANR	101403	Identifier	printLongLongLine		101351	0					
ANR	101404	ArgumentList	* data		101351	1					
ANR	101405	Argument	* data		101351	0					
ANR	101406	UnaryOperationExpression	* data		101351	0					
ANR	101407	UnaryOperator	*		101351	0					
ANR	101408	Identifier	data		101351	1					
ANR	101409	ExpressionStatement	free ( data )	36:4:1202:1212	101351	4	True				
ANR	101410	CallExpression	free ( data )		101351	0					
