start	end	type	var
103011	103012	IS_AST_PARENT	
103011	103013	IS_AST_PARENT	
103010	103011	IS_AST_PARENT	
103009	103010	IS_AST_PARENT	
103015	103016	IS_AST_PARENT	
103015	103017	IS_AST_PARENT	
103014	103015	IS_AST_PARENT	
103009	103014	IS_AST_PARENT	
103020	103021	IS_AST_PARENT	
103020	103022	IS_AST_PARENT	
103019	103020	IS_AST_PARENT	
103018	103019	IS_AST_PARENT	
103025	103026	IS_AST_PARENT	
103027	103028	IS_AST_PARENT	
103030	103031	IS_AST_PARENT	
103029	103030	IS_AST_PARENT	
103034	103035	IS_AST_PARENT	
103034	103036	IS_AST_PARENT	
103033	103034	IS_AST_PARENT	
103032	103033	IS_AST_PARENT	
103029	103032	IS_AST_PARENT	
103027	103029	IS_AST_PARENT	
103025	103027	IS_AST_PARENT	
103024	103025	IS_AST_PARENT	
103023	103024	IS_AST_PARENT	
103039	103040	IS_AST_PARENT	
103039	103041	IS_AST_PARENT	
103038	103039	IS_AST_PARENT	
103037	103038	IS_AST_PARENT	
103045	103046	IS_AST_PARENT	
103044	103045	IS_AST_PARENT	
103049	103050	IS_AST_PARENT	
103049	103051	IS_AST_PARENT	
103048	103049	IS_AST_PARENT	
103047	103048	IS_AST_PARENT	
103044	103047	IS_AST_PARENT	
103043	103044	IS_AST_PARENT	
103042	103043	IS_AST_PARENT	
103037	103042	IS_AST_PARENT	
103023	103037	IS_AST_PARENT	
103023	103052	IS_AST_PARENT	
103023	103053	IS_AST_PARENT	
103023	103054	IS_AST_PARENT	
103023	103055	IS_AST_PARENT	
103056	103057	IS_AST_PARENT	
103023	103056	IS_AST_PARENT	
103018	103023	IS_AST_PARENT	
103009	103018	IS_AST_PARENT	
103060	103061	IS_AST_PARENT	
103059	103060	IS_AST_PARENT	
103064	103065	IS_AST_PARENT	
103064	103066	IS_AST_PARENT	
103063	103064	IS_AST_PARENT	
103062	103063	IS_AST_PARENT	
103059	103062	IS_AST_PARENT	
103058	103059	IS_AST_PARENT	
103009	103058	IS_AST_PARENT	
103069	103070	IS_AST_PARENT	
103068	103069	IS_AST_PARENT	
103072	103073	IS_AST_PARENT	
103071	103072	IS_AST_PARENT	
103068	103071	IS_AST_PARENT	
103067	103068	IS_AST_PARENT	
103009	103067	IS_AST_PARENT	
103008	103009	IS_AST_PARENT	
103008	103074	IS_AST_PARENT	
103008	103075	IS_AST_PARENT	
103008	103076	IS_AST_PARENT	
103077	103010	FLOWS_TO	
103010	103014	FLOWS_TO	
103014	103019	FLOWS_TO	
