command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	104865	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1000-c/testcases/000/234/190/CWE122_Heap_Based_Buffer_Overflow__sizeof_int64_t_22a.c								
ANR	104866	DeclStmt									
ANR	104867	Decl							int	int	CWE122_Heap_Based_Buffer_Overflow__sizeof_int64_t_22_badGlobal
ANR	104868	DeclStmt									
ANR	104869	Decl							int64_t	int64_t * ( int64_t * data )	CWE122_Heap_Based_Buffer_Overflow__sizeof_int64_t_22_badSource
ANR	104870	Function	CWE122_Heap_Based_Buffer_Overflow__sizeof_int64_t_22_bad	26:0:938:1377							
ANR	104871	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__sizeof_int64_t_22_bad ()		104870	0					
ANR	104872	CompoundStatement		27:0:1003:1377	104870	0					
ANR	104873	IdentifierDeclStatement	int64_t * data ;	28:4:1010:1024	104870	0	True				
ANR	104874	IdentifierDecl	* data		104870	0					
ANR	104875	IdentifierDeclType	int64_t *		104870	0					
ANR	104876	Identifier	data		104870	1					
ANR	104877	ExpressionStatement	data = NULL	30:4:1058:1069	104870	1	True				
ANR	104878	AssignmentExpression	data = NULL		104870	0		=			
ANR	104879	Identifier	data		104870	0					
ANR	104880	Identifier	NULL		104870	1					
ANR	104881	ExpressionStatement	CWE122_Heap_Based_Buffer_Overflow__sizeof_int64_t_22_badGlobal = 1	31:4:1076:1142	104870	2	True				
ANR	104882	AssignmentExpression	CWE122_Heap_Based_Buffer_Overflow__sizeof_int64_t_22_badGlobal = 1		104870	0		=			
ANR	104883	Identifier	CWE122_Heap_Based_Buffer_Overflow__sizeof_int64_t_22_badGlobal		104870	0					
ANR	104884	PrimaryExpression	1		104870	1					
ANR	104885	ExpressionStatement	data = CWE122_Heap_Based_Buffer_Overflow__sizeof_int64_t_22_badSource ( data )	32:4:1160:1235	104870	3	True				
ANR	104886	AssignmentExpression	data = CWE122_Heap_Based_Buffer_Overflow__sizeof_int64_t_22_badSource ( data )		104870	0		=			
ANR	104887	Identifier	data		104870	0					
ANR	104888	CallExpression	CWE122_Heap_Based_Buffer_Overflow__sizeof_int64_t_22_badSource ( data )		104870	1					
