command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	110661	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1000-c/testcases/000/234/213/CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_10.c								
ANR	110662	Function	CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_10_bad	21:0:617:1224							
ANR	110663	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_10_bad ()		110662	0					
ANR	110664	CompoundStatement		22:0:681:1224	110662	0					
ANR	110665	IdentifierDeclStatement	twoIntsStruct * data ;	23:4:688:708	110662	0	True				
ANR	110666	IdentifierDecl	* data		110662	0					
ANR	110667	IdentifierDeclType	twoIntsStruct *		110662	0					
ANR	110668	Identifier	data		110662	1					
ANR	110669	ExpressionStatement	data = NULL	25:4:742:753	110662	1	True				
ANR	110670	AssignmentExpression	data = NULL		110662	0		=			
ANR	110671	Identifier	data		110662	0					
ANR	110672	Identifier	NULL		110662	1					
ANR	110673	IfStatement	if ( globalTrue )		110662	2					
ANR	110674	Condition	globalTrue	26:7:763:772	110662	0	True				
ANR	110675	Identifier	globalTrue		110662	0					
ANR	110676	CompoundStatement		6:4:98:98	110662	1					
ANR	110677	ExpressionStatement	data = ( twoIntsStruct * ) malloc ( sizeof ( data ) )	30:8:942:986	110662	0	True				
ANR	110678	AssignmentExpression	data = ( twoIntsStruct * ) malloc ( sizeof ( data ) )		110662	0		=			
ANR	110679	Identifier	data		110662	0					
ANR	110680	CastExpression	( twoIntsStruct * ) malloc ( sizeof ( data ) )		110662	1					
ANR	110681	CastTarget	twoIntsStruct *		110662	0					
ANR	110682	CallExpression	malloc ( sizeof ( data ) )		110662	1					
ANR	110683	Callee	malloc		110662	0					
ANR	110684	Identifier	malloc		110662	0					
ANR	110685	ArgumentList	sizeof ( data )		110662	1					
ANR	110686	Argument	sizeof ( data )		110662	0					
ANR	110687	SizeofExpression	sizeof ( data )		110662	0					
ANR	110688	Sizeof	sizeof		110662	0					
ANR	110689	SizeofOperand	data		110662	1					
ANR	110690	IfStatement	if ( data == NULL )		110662	1					
ANR	110691	Condition	data == NULL	31:12:1001:1012	110662	0	True				
ANR	110692	EqualityExpression	data == NULL		110662	0		==			
ANR	110693	Identifier	data		110662	0					
ANR	110694	Identifier	NULL		110662	1					
ANR	110695	CompoundStatement		10:26:333:333	110662	1					
ANR	110696	ExpressionStatement	exit ( - 1 )	31:27:1016:1024	110662	0	True				
ANR	110697	CallExpression	exit ( - 1 )		110662	0					
ANR	110698	Callee	exit		110662	0					
ANR	110699	Identifier	exit		110662	0					
ANR	110700	ArgumentList	- 1		110662	1					
ANR	110701	Argument	- 1		110662	0					
ANR	110702	UnaryOperationExpression	- 1		110662	0					
ANR	110703	UnaryOperator	-		110662	0					
ANR	110704	PrimaryExpression	1		110662	1					
ANR	110705	ExpressionStatement	data -> intOne = 1	32:8:1035:1051	110662	2	True				
ANR	110706	AssignmentExpression	data -> intOne = 1		110662	0		=			
ANR	110707	PtrMemberAccess	data -> intOne		110662	0					
ANR	110708	Identifier	data		110662	0					
ANR	110709	Identifier	intOne		110662	1					
ANR	110710	PrimaryExpression	1		110662	1					
ANR	110711	ExpressionStatement	data -> intTwo = 2	33:8:1062:1078	110662	3	True				
ANR	110712	AssignmentExpression	data -> intTwo = 2		110662	0		=			
