command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	114256	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1000-c/testcases/000/234/223/CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_22b.c								
ANR	114257	DeclStmt									
ANR	114258	Decl							extern int	extern int	CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_22_badGlobal
ANR	114259	Function	CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_22_badSource	24:0:846:1351							
ANR	114260	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_22_badSource (twoIntsStruct * data)		114259	0					
ANR	114261	CompoundStatement		25:0:947:1351	114259	0					
ANR	114262	IfStatement	if ( CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_22_badGlobal )		114259	0					
ANR	114263	Condition	CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_22_badGlobal	26:7:957:1017	114259	0	True				
ANR	114264	Identifier	CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_22_badGlobal		114259	0					
ANR	114265	CompoundStatement		3:4:77:77	114259	1					
ANR	114266	ExpressionStatement	data = ( twoIntsStruct * ) malloc ( sizeof ( data ) )	30:8:1187:1231	114259	0	True				
ANR	114267	AssignmentExpression	data = ( twoIntsStruct * ) malloc ( sizeof ( data ) )		114259	0		=			
ANR	114268	Identifier	data		114259	0					
ANR	114269	CastExpression	( twoIntsStruct * ) malloc ( sizeof ( data ) )		114259	1					
ANR	114270	CastTarget	twoIntsStruct *		114259	0					
ANR	114271	CallExpression	malloc ( sizeof ( data ) )		114259	1					
ANR	114272	Callee	malloc		114259	0					
ANR	114273	Identifier	malloc		114259	0					
ANR	114274	ArgumentList	sizeof ( data )		114259	1					
ANR	114275	Argument	sizeof ( data )		114259	0					
ANR	114276	SizeofExpression	sizeof ( data )		114259	0					
ANR	114277	Sizeof	sizeof		114259	0					
ANR	114278	SizeofOperand	data		114259	1					
ANR	114279	IfStatement	if ( data == NULL )		114259	1					
ANR	114280	Condition	data == NULL	31:12:1246:1257	114259	0	True				
ANR	114281	EqualityExpression	data == NULL		114259	0		==			
ANR	114282	Identifier	data		114259	0					
ANR	114283	Identifier	NULL		114259	1					
ANR	114284	CompoundStatement		7:26:312:312	114259	1					
ANR	114285	ExpressionStatement	exit ( - 1 )	31:27:1261:1269	114259	0	True				
ANR	114286	CallExpression	exit ( - 1 )		114259	0					
ANR	114287	Callee	exit		114259	0					
ANR	114288	Identifier	exit		114259	0					
ANR	114289	ArgumentList	- 1		114259	1					
ANR	114290	Argument	- 1		114259	0					
ANR	114291	UnaryOperationExpression	- 1		114259	0					
ANR	114292	UnaryOperator	-		114259	0					
ANR	114293	PrimaryExpression	1		114259	1					
ANR	114294	ExpressionStatement	data -> intOne = 1	32:8:1280:1296	114259	2	True				
ANR	114295	AssignmentExpression	data -> intOne = 1		114259	0		=			
ANR	114296	PtrMemberAccess	data -> intOne		114259	0					
ANR	114297	Identifier	data		114259	0					
ANR	114298	Identifier	intOne		114259	1					
ANR	114299	PrimaryExpression	1		114259	1					
ANR	114300	ExpressionStatement	data -> intTwo = 2	33:8:1307:1323	114259	3	True				
ANR	114301	AssignmentExpression	data -> intTwo = 2		114259	0		=			
ANR	114302	PtrMemberAccess	data -> intTwo		114259	0					
ANR	114303	Identifier	data		114259	0					
ANR	114304	Identifier	intTwo		114259	1					
ANR	114305	PrimaryExpression	2		114259	1					
ANR	114306	ReturnStatement	return data ;	35:4:1337:1348	114259	1	True				
ANR	114307	Identifier	data		114259	0					
ANR	114308	ReturnType	twoIntsStruct *		114259	1					
ANR	114309	Identifier	CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_22_badSource		114259	2					
ANR	114310	ParameterList	twoIntsStruct * data		114259	3					
ANR	114311	Parameter	twoIntsStruct * data	24:78:924:943	114259	0	True				
ANR	114312	ParameterType	twoIntsStruct *		114259	0					
ANR	114313	Identifier	data		114259	1					
ANR	114314	CFGEntryNode	ENTRY		114259		True				
ANR	114315	CFGExitNode	EXIT		114259		True				
ANR	114316	Symbol	malloc		114259						
ANR	114317	Symbol	NULL		114259						
ANR	114318	Symbol	data -> intTwo		114259						
ANR	114319	Symbol	data		114259						
ANR	114320	Symbol	data -> intOne		114259						
ANR	114321	Symbol	CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_22_badGlobal		114259						
ANR	114322	Symbol	* data		114259						
ANR	114323	DeclStmt									
ANR	114324	Decl							extern int	extern int	CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_22_goodG2B1Global
ANR	114325	DeclStmt									
ANR	114326	Decl							extern int	extern int	CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_22_goodG2B2Global
ANR	114327	Function	CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_22_goodG2B1Source	47:0:1755:2323							
ANR	114328	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_22_goodG2B1Source (twoIntsStruct * data)		114327	0					
ANR	114329	CompoundStatement		48:0:1861:2323	114327	0					
ANR	114330	IfStatement	if ( CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_22_goodG2B1Global )		114327	0					
ANR	114331	Condition	CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_22_goodG2B1Global	49:7:1871:1936	114327	0	True				
