command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	116541	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1000-c/testcases/000/234/233/CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_61a.c								
ANR	116542	DeclStmt									
ANR	116543	Decl							twoIntsStruct	twoIntsStruct * ( twoIntsStruct * data )	CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_61b_badSource
ANR	116544	Function	CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_61_bad	24:0:788:1145							
ANR	116545	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_61_bad ()		116544	0					
ANR	116546	CompoundStatement		25:0:852:1145	116544	0					
ANR	116547	IdentifierDeclStatement	twoIntsStruct * data ;	26:4:859:879	116544	0	True				
ANR	116548	IdentifierDecl	* data		116544	0					
ANR	116549	IdentifierDeclType	twoIntsStruct *		116544	0					
ANR	116550	Identifier	data		116544	1					
ANR	116551	ExpressionStatement	data = NULL	28:4:913:924	116544	1	True				
ANR	116552	AssignmentExpression	data = NULL		116544	0		=			
ANR	116553	Identifier	data		116544	0					
ANR	116554	Identifier	NULL		116544	1					
ANR	116555	ExpressionStatement	data = CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_61b_badSource ( data )	29:4:931:1006	116544	2	True				
ANR	116556	AssignmentExpression	data = CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_61b_badSource ( data )		116544	0		=			
ANR	116557	Identifier	data		116544	0					
ANR	116558	CallExpression	CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_61b_badSource ( data )		116544	1					
ANR	116559	Callee	CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_61b_badSource		116544	0					
ANR	116560	Identifier	CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_61b_badSource		116544	0					
ANR	116561	ArgumentList	data		116544	1					
ANR	116562	Argument	data		116544	0					
ANR	116563	Identifier	data		116544	0					
ANR	116564	ExpressionStatement	printStructLine ( data )	31:4:1104:1125	116544	3	True				
ANR	116565	CallExpression	printStructLine ( data )		116544	0					
ANR	116566	Callee	printStructLine		116544	0					
ANR	116567	Identifier	printStructLine		116544	0					
ANR	116568	ArgumentList	data		116544	1					
ANR	116569	Argument	data		116544	0					
ANR	116570	Identifier	data		116544	0					
ANR	116571	ExpressionStatement	free ( data )	32:4:1132:1142	116544	4	True				
ANR	116572	CallExpression	free ( data )		116544	0					
ANR	116573	Callee	free		116544	0					
ANR	116574	Identifier	free		116544	0					
ANR	116575	ArgumentList	data		116544	1					
ANR	116576	Argument	data		116544	0					
ANR	116577	Identifier	data		116544	0					
ANR	116578	ReturnType	void		116544	1					
ANR	116579	Identifier	CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_61_bad		116544	2					
ANR	116580	ParameterList			116544	3					
ANR	116581	CFGEntryNode	ENTRY		116544		True				
ANR	116582	CFGExitNode	EXIT		116544		True				
ANR	116583	Symbol	NULL		116544						
ANR	116584	Symbol	data		116544						
ANR	116585	Symbol	CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_61b_badSource		116544						
ANR	116586	DeclStmt									
ANR	116587	Decl							twoIntsStruct	twoIntsStruct * ( twoIntsStruct * data )	CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_61b_goodG2BSource
ANR	116588	Function	goodG2B	42:0:1355:1675							
ANR	116589	FunctionDef	goodG2B ()		116588	0					
ANR	116590	CompoundStatement		43:0:1378:1675	116588	0					
ANR	116591	IdentifierDeclStatement	twoIntsStruct * data ;	44:4:1385:1405	116588	0	True				
ANR	116592	IdentifierDecl	* data		116588	0					
ANR	116593	IdentifierDeclType	twoIntsStruct *		116588	0					
ANR	116594	Identifier	data		116588	1					
ANR	116595	ExpressionStatement	data = NULL	46:4:1439:1450	116588	1	True				
ANR	116596	AssignmentExpression	data = NULL		116588	0		=			
ANR	116597	Identifier	data		116588	0					
ANR	116598	Identifier	NULL		116588	1					
ANR	116599	ExpressionStatement	data = CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_61b_goodG2BSource ( data )	47:4:1457:1536	116588	2	True				
ANR	116600	AssignmentExpression	data = CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_61b_goodG2BSource ( data )		116588	0		=			
ANR	116601	Identifier	data		116588	0					
ANR	116602	CallExpression	CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_61b_goodG2BSource ( data )		116588	1					
ANR	116603	Callee	CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_61b_goodG2BSource		116588	0					
ANR	116604	Identifier	CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_61b_goodG2BSource		116588	0					
ANR	116605	ArgumentList	data		116588	1					
ANR	116606	Argument	data		116588	0					
ANR	116607	Identifier	data		116588	0					
ANR	116608	ExpressionStatement	printStructLine ( data )	49:4:1634:1655	116588	3	True				
ANR	116609	CallExpression	printStructLine ( data )		116588	0					
ANR	116610	Callee	printStructLine		116588	0					
ANR	116611	Identifier	printStructLine		116588	0					
ANR	116612	ArgumentList	data		116588	1					
ANR	116613	Argument	data		116588	0					
ANR	116614	Identifier	data		116588	0					
ANR	116615	ExpressionStatement	free ( data )	50:4:1662:1672	116588	4	True				
ANR	116616	CallExpression	free ( data )		116588	0					
ANR	116617	Callee	free		116588	0					
ANR	116618	Identifier	free		116588	0					
ANR	116619	ArgumentList	data		116588	1					
ANR	116620	Argument	data		116588	0					
ANR	116621	Identifier	data		116588	0					
ANR	116622	ReturnType	static void		116588	1					
ANR	116623	Identifier	goodG2B		116588	2					
ANR	116624	ParameterList			116588	3					
ANR	116625	CFGEntryNode	ENTRY		116588		True				
ANR	116626	CFGExitNode	EXIT		116588		True				
ANR	116627	Symbol	NULL		116588						
ANR	116628	Symbol	data		116588						
ANR	116629	Symbol	CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_61b_goodG2BSource		116588						
ANR	116630	Function	CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_61_good	53:0:1680:1764							
