start	end	type	var
128950	128951	IS_FILE_OF	
128952	128953	DECLARES	
128951	128952	IS_CLASS_OF	
128954	128955	DECLARES	
128951	128954	IS_CLASS_OF	
128956	128957	DECLARES	
128951	128956	IS_CLASS_OF	
128958	128959	DECLARES	
128960	128961	DECLARES	
128967	128968	IS_AST_PARENT	
128967	128969	IS_AST_PARENT	
128966	128967	IS_AST_PARENT	
128965	128966	IS_AST_PARENT	
128973	128974	IS_AST_PARENT	
128973	128975	IS_AST_PARENT	
128976	128977	IS_AST_PARENT	
128978	128979	IS_AST_PARENT	
128981	128982	IS_AST_PARENT	
128980	128981	IS_AST_PARENT	
128985	128986	IS_AST_PARENT	
128985	128987	IS_AST_PARENT	
128984	128985	IS_AST_PARENT	
128983	128984	IS_AST_PARENT	
128980	128983	IS_AST_PARENT	
128978	128980	IS_AST_PARENT	
128976	128978	IS_AST_PARENT	
128973	128976	IS_AST_PARENT	
128972	128973	IS_AST_PARENT	
128971	128972	IS_AST_PARENT	
128990	128991	IS_AST_PARENT	
128990	128992	IS_AST_PARENT	
128989	128990	IS_AST_PARENT	
128988	128989	IS_AST_PARENT	
128996	128997	IS_AST_PARENT	
128995	128996	IS_AST_PARENT	
129000	129001	IS_AST_PARENT	
129000	129002	IS_AST_PARENT	
128999	129000	IS_AST_PARENT	
128998	128999	IS_AST_PARENT	
128995	128998	IS_AST_PARENT	
128994	128995	IS_AST_PARENT	
128993	128994	IS_AST_PARENT	
128988	128993	IS_AST_PARENT	
128971	128988	IS_AST_PARENT	
129005	129006	IS_AST_PARENT	
129005	129007	IS_AST_PARENT	
129004	129005	IS_AST_PARENT	
129008	129009	IS_AST_PARENT	
129008	129010	IS_AST_PARENT	
129004	129008	IS_AST_PARENT	
129003	129004	IS_AST_PARENT	
128971	129003	IS_AST_PARENT	
129013	129014	IS_AST_PARENT	
129012	129013	IS_AST_PARENT	
129017	129018	IS_AST_PARENT	
129019	129020	IS_AST_PARENT	
129019	129021	IS_AST_PARENT	
129017	129019	IS_AST_PARENT	
129016	129017	IS_AST_PARENT	
129015	129016	IS_AST_PARENT	
129012	129015	IS_AST_PARENT	
129011	129012	IS_AST_PARENT	
128971	129011	IS_AST_PARENT	
129024	129025	IS_AST_PARENT	
129023	129024	IS_AST_PARENT	
129028	129029	IS_AST_PARENT	
129028	129030	IS_AST_PARENT	
