command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	132158	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1000-c/testcases/000/234/267/CWE122_Heap_Based_Buffer_Overflow__wchar_t_type_overrun_memmove_13.c								
ANR	132159	ClassDef	_charVoid	24:8:745:851							
ANR	132160	DeclStmt									
ANR	132161	Decl							wchar_t	wchar_t [ 16 ]	charFirst
ANR	132162	DeclStmt									
ANR	132163	Decl							void	void *	voidSecond
ANR	132164	DeclStmt									
ANR	132165	Decl							void	void *	voidThird
ANR	132166	DeclStmt									
ANR	132167	Decl							_charVoid	_charVoid	charVoid
ANR	132168	Function	CWE122_Heap_Based_Buffer_Overflow__wchar_t_type_overrun_memmove_13_bad	33:0:875:1798							
ANR	132169	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__wchar_t_type_overrun_memmove_13_bad ()		132168	0					
ANR	132170	CompoundStatement		34:0:954:1798	132168	0					
ANR	132171	IfStatement	if ( GLOBAL_CONST_FIVE == 5 )		132168	0					
ANR	132172	Condition	GLOBAL_CONST_FIVE == 5	35:7:964:983	132168	0	True				
ANR	132173	EqualityExpression	GLOBAL_CONST_FIVE == 5		132168	0		==			
ANR	132174	Identifier	GLOBAL_CONST_FIVE		132168	0					
ANR	132175	PrimaryExpression	5		132168	1					
ANR	132176	CompoundStatement		3:4:36:36	132168	1					
ANR	132177	CompoundStatement		5:12:62:126	132168	0					
ANR	132178	IdentifierDeclStatement	charVoid * structCharVoid = ( charVoid * ) malloc ( sizeof ( charVoid ) ) ;	38:12:1017:1081	132168	0	True				
ANR	132179	IdentifierDecl	* structCharVoid = ( charVoid * ) malloc ( sizeof ( charVoid ) )		132168	0					
ANR	132180	IdentifierDeclType	charVoid *		132168	0					
ANR	132181	Identifier	structCharVoid		132168	1					
ANR	132182	AssignmentExpression	* structCharVoid = ( charVoid * ) malloc ( sizeof ( charVoid ) )		132168	2		=			
ANR	132183	Identifier	structCharVoid		132168	0					
ANR	132184	CastExpression	( charVoid * ) malloc ( sizeof ( charVoid ) )		132168	1					
ANR	132185	CastTarget	charVoid *		132168	0					
ANR	132186	CallExpression	malloc ( sizeof ( charVoid ) )		132168	1					
ANR	132187	Callee	malloc		132168	0					
ANR	132188	Identifier	malloc		132168	0					
ANR	132189	ArgumentList	sizeof ( charVoid )		132168	1					
ANR	132190	Argument	sizeof ( charVoid )		132168	0					
ANR	132191	SizeofExpression	sizeof ( charVoid )		132168	0					
ANR	132192	Sizeof	sizeof		132168	0					
ANR	132193	SizeofOperand	charVoid		132168	1					
ANR	132194	IfStatement	if ( structCharVoid == NULL )		132168	1					
ANR	132195	Condition	structCharVoid == NULL	39:16:1100:1121	132168	0	True				
ANR	132196	EqualityExpression	structCharVoid == NULL		132168	0		==			
ANR	132197	Identifier	structCharVoid		132168	0					
ANR	132198	Identifier	NULL		132168	1					
ANR	132199	CompoundStatement		6:40:169:169	132168	1					
ANR	132200	ExpressionStatement	exit ( - 1 )	39:41:1125:1133	132168	0	True				
ANR	132201	CallExpression	exit ( - 1 )		132168	0					
ANR	132202	Callee	exit		132168	0					
ANR	132203	Identifier	exit		132168	0					
ANR	132204	ArgumentList	- 1		132168	1					
ANR	132205	Argument	- 1		132168	0					
ANR	132206	UnaryOperationExpression	- 1		132168	0					
ANR	132207	UnaryOperator	-		132168	0					
ANR	132208	PrimaryExpression	1		132168	1					
ANR	132209	ExpressionStatement	structCharVoid -> voidSecond = ( void * ) SRC_STR	40:12:1148:1192	132168	2	True				
ANR	132210	AssignmentExpression	structCharVoid -> voidSecond = ( void * ) SRC_STR		132168	0		=			
ANR	132211	PtrMemberAccess	structCharVoid -> voidSecond		132168	0					
ANR	132212	Identifier	structCharVoid		132168	0					
ANR	132213	Identifier	voidSecond		132168	1					
ANR	132214	CastExpression	( void * ) SRC_STR		132168	1					
ANR	132215	CastTarget	void *		132168	0					
ANR	132216	Identifier	SRC_STR		132168	1					
ANR	132217	ExpressionStatement	printWLine ( ( wchar_t * ) structCharVoid -> voidSecond )	42:12:1291:1340	132168	3	True				
ANR	132218	CallExpression	printWLine ( ( wchar_t * ) structCharVoid -> voidSecond )		132168	0					
ANR	132219	Callee	printWLine		132168	0					
ANR	132220	Identifier	printWLine		132168	0					
ANR	132221	ArgumentList	( wchar_t * ) structCharVoid -> voidSecond		132168	1					
ANR	132222	Argument	( wchar_t * ) structCharVoid -> voidSecond		132168	0					
ANR	132223	CastExpression	( wchar_t * ) structCharVoid -> voidSecond		132168	0					
ANR	132224	CastTarget	wchar_t *		132168	0					
ANR	132225	PtrMemberAccess	structCharVoid -> voidSecond		132168	1					
ANR	132226	Identifier	structCharVoid		132168	0					
ANR	132227	Identifier	voidSecond		132168	1					
ANR	132228	ExpressionStatement	"memmove ( structCharVoid -> charFirst , SRC_STR , sizeof ( * structCharVoid ) )"	44:12:1447:1515	132168	4	True				
ANR	132229	CallExpression	"memmove ( structCharVoid -> charFirst , SRC_STR , sizeof ( * structCharVoid ) )"		132168	0					
ANR	132230	Callee	memmove		132168	0					
ANR	132231	Identifier	memmove		132168	0					
ANR	132232	ArgumentList	structCharVoid -> charFirst		132168	1					
ANR	132233	Argument	structCharVoid -> charFirst		132168	0					
ANR	132234	PtrMemberAccess	structCharVoid -> charFirst		132168	0					
ANR	132235	Identifier	structCharVoid		132168	0					
ANR	132236	Identifier	charFirst		132168	1					
ANR	132237	Argument	SRC_STR		132168	1					
ANR	132238	Identifier	SRC_STR		132168	0					
ANR	132239	Argument	sizeof ( * structCharVoid )		132168	2					
