command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	135675	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1000-c/testcases/000/234/275/CWE124_Buffer_Underwrite__malloc_char_cpy_03.c								
ANR	135676	Function	CWE124_Buffer_Underwrite__malloc_char_cpy_03_bad	23:0:596:1505							
ANR	135677	FunctionDef	CWE124_Buffer_Underwrite__malloc_char_cpy_03_bad ()		135676	0					
ANR	135678	CompoundStatement		24:0:653:1505	135676	0					
ANR	135679	IdentifierDeclStatement	char * data ;	25:4:660:671	135676	0	True				
ANR	135680	IdentifierDecl	* data		135676	0					
ANR	135681	IdentifierDeclType	char *		135676	0					
ANR	135682	Identifier	data		135676	1					
ANR	135683	ExpressionStatement	data = NULL	26:4:678:689	135676	1	True				
ANR	135684	AssignmentExpression	data = NULL		135676	0		=			
ANR	135685	Identifier	data		135676	0					
ANR	135686	Identifier	NULL		135676	1					
ANR	135687	IfStatement	if ( 5 == 5 )		135676	2					
ANR	135688	Condition	5 == 5	27:7:699:702	135676	0	True				
ANR	135689	EqualityExpression	5 == 5		135676	0		==			
ANR	135690	PrimaryExpression	5		135676	0					
ANR	135691	PrimaryExpression	5		135676	1					
ANR	135692	CompoundStatement		5:4:56:56	135676	1					
ANR	135693	CompoundStatement		7:12:82:134	135676	0					
ANR	135694	IdentifierDeclStatement	char * dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) ) ;	30:12:736:788	135676	0	True				
ANR	135695	IdentifierDecl	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		135676	0					
ANR	135696	IdentifierDeclType	char *		135676	0					
ANR	135697	Identifier	dataBuffer		135676	1					
ANR	135698	AssignmentExpression	* dataBuffer = ( char * ) malloc ( 100 * sizeof ( char ) )		135676	2		=			
ANR	135699	Identifier	dataBuffer		135676	0					
ANR	135700	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		135676	1					
ANR	135701	CastTarget	char *		135676	0					
ANR	135702	CallExpression	malloc ( 100 * sizeof ( char ) )		135676	1					
ANR	135703	Callee	malloc		135676	0					
ANR	135704	Identifier	malloc		135676	0					
ANR	135705	ArgumentList	100 * sizeof ( char )		135676	1					
ANR	135706	Argument	100 * sizeof ( char )		135676	0					
ANR	135707	MultiplicativeExpression	100 * sizeof ( char )		135676	0		*			
ANR	135708	PrimaryExpression	100		135676	0					
ANR	135709	SizeofExpression	sizeof ( char )		135676	1					
ANR	135710	Sizeof	sizeof		135676	0					
ANR	135711	SizeofOperand	char		135676	1					
ANR	135712	IfStatement	if ( dataBuffer == NULL )		135676	1					
ANR	135713	Condition	dataBuffer == NULL	31:16:807:824	135676	0	True				
ANR	135714	EqualityExpression	dataBuffer == NULL		135676	0		==			
ANR	135715	Identifier	dataBuffer		135676	0					
ANR	135716	Identifier	NULL		135676	1					
