command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	146617	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1100-c/testcases/000/234/038/CWE122_Heap_Based_Buffer_Overflow__c_src_char_cpy_42.c								
ANR	146618	Function	badSource	23:0:628:890							
ANR	146619	FunctionDef	badSource (char * data)		146618	0					
ANR	146620	CompoundStatement		24:0:666:890	146618	0					
ANR	146621	ExpressionStatement	"memset ( data , 'A' , 100 - 1 )"	26:4:778:802	146618	0	True				
ANR	146622	CallExpression	"memset ( data , 'A' , 100 - 1 )"		146618	0					
ANR	146623	Callee	memset		146618	0					
ANR	146624	Identifier	memset		146618	0					
ANR	146625	ArgumentList	data		146618	1					
ANR	146626	Argument	data		146618	0					
ANR	146627	Identifier	data		146618	0					
ANR	146628	Argument	'A'		146618	1					
ANR	146629	PrimaryExpression	'A'		146618	0					
ANR	146630	Argument	100 - 1		146618	2					
ANR	146631	AdditiveExpression	100 - 1		146618	0		-			
ANR	146632	PrimaryExpression	100		146618	0					
ANR	146633	PrimaryExpression	1		146618	1					
ANR	146634	ExpressionStatement	data [ 100 - 1 ] = '\\0'	27:4:830:848	146618	1	True				
ANR	146635	AssignmentExpression	data [ 100 - 1 ] = '\\0'		146618	0		=			
ANR	146636	ArrayIndexing	data [ 100 - 1 ]		146618	0					
ANR	146637	Identifier	data		146618	0					
ANR	146638	AdditiveExpression	100 - 1		146618	1		-			
ANR	146639	PrimaryExpression	100		146618	0					
ANR	146640	PrimaryExpression	1		146618	1					
ANR	146641	PrimaryExpression	'\\0'		146618	1					
ANR	146642	ReturnStatement	return data ;	28:4:876:887	146618	2	True				
ANR	146643	Identifier	data		146618	0					
ANR	146644	ReturnType	static char *		146618	1					
ANR	146645	Identifier	badSource		146618	2					
ANR	146646	ParameterList	char * data		146618	3					
ANR	146647	Parameter	char * data	23:24:652:662	146618	0	True				
ANR	146648	ParameterType	char *		146618	0					
ANR	146649	Identifier	data		146618	1					
ANR	146650	CFGEntryNode	ENTRY		146618		True				
ANR	146651	CFGExitNode	EXIT		146618		True				
ANR	146652	Symbol	data		146618						
ANR	146653	Symbol	* data		146618						
ANR	146654	Function	CWE122_Heap_Based_Buffer_Overflow__c_src_char_cpy_42_bad	31:0:895:1293							
ANR	146655	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_src_char_cpy_42_bad ()		146654	0					
ANR	146656	CompoundStatement		32:0:960:1293	146654	0					
ANR	146657	IdentifierDeclStatement	char * data ;	33:4:967:978	146654	0	True				
ANR	146658	IdentifierDecl	* data		146654	0					
ANR	146659	IdentifierDeclType	char *		146654	0					
ANR	146660	Identifier	data		146654	1					
ANR	146661	ExpressionStatement	data = ( char * ) malloc ( 100 * sizeof ( char ) )	34:4:985:1024	146654	1	True				
ANR	146662	AssignmentExpression	data = ( char * ) malloc ( 100 * sizeof ( char ) )		146654	0		=			
ANR	146663	Identifier	data		146654	0					
ANR	146664	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		146654	1					
ANR	146665	CastTarget	char *		146654	0					
ANR	146666	CallExpression	malloc ( 100 * sizeof ( char ) )		146654	1					
ANR	146667	Callee	malloc		146654	0					
ANR	146668	Identifier	malloc		146654	0					
ANR	146669	ArgumentList	100 * sizeof ( char )		146654	1					
ANR	146670	Argument	100 * sizeof ( char )		146654	0					
ANR	146671	MultiplicativeExpression	100 * sizeof ( char )		146654	0		*			
ANR	146672	PrimaryExpression	100		146654	0					
ANR	146673	SizeofExpression	sizeof ( char )		146654	1					
ANR	146674	Sizeof	sizeof		146654	0					
ANR	146675	SizeofOperand	char		146654	1					
ANR	146676	IfStatement	if ( data == NULL )		146654	2					
ANR	146677	Condition	data == NULL	35:8:1035:1046	146654	0	True				
ANR	146678	EqualityExpression	data == NULL		146654	0		==			
ANR	146679	Identifier	data		146654	0					
ANR	146680	Identifier	NULL		146654	1					
ANR	146681	CompoundStatement		4:22:88:88	146654	1					
ANR	146682	ExpressionStatement	exit ( - 1 )	35:23:1050:1058	146654	0	True				
ANR	146683	CallExpression	exit ( - 1 )		146654	0					
ANR	146684	Callee	exit		146654	0					
ANR	146685	Identifier	exit		146654	0					
ANR	146686	ArgumentList	- 1		146654	1					
ANR	146687	Argument	- 1		146654	0					
ANR	146688	UnaryOperationExpression	- 1		146654	0					
ANR	146689	UnaryOperator	-		146654	0					
ANR	146690	PrimaryExpression	1		146654	1					
ANR	146691	ExpressionStatement	data = badSource ( data )	36:4:1065:1087	146654	3	True				
ANR	146692	AssignmentExpression	data = badSource ( data )		146654	0		=			
ANR	146693	Identifier	data		146654	0					
ANR	146694	CallExpression	badSource ( data )		146654	1					
ANR	146695	Callee	badSource		146654	0					
ANR	146696	Identifier	badSource		146654	0					
ANR	146697	ArgumentList	data		146654	1					
ANR	146698	Argument	data		146654	0					
ANR	146699	Identifier	data		146654	0					
ANR	146700	CompoundStatement		7:8:144:162	146654	4					
ANR	146701	IdentifierDeclStatement	"char dest [ 50 ] = """" ;"	38:8:1105:1123	146654	0	True				
ANR	146702	IdentifierDecl	"dest [ 50 ] = """""		146654	0					
ANR	146703	IdentifierDeclType	char [ 50 ]		146654	0					
ANR	146704	Identifier	dest		146654	1					
ANR	146705	PrimaryExpression	50		146654	2					
ANR	146706	AssignmentExpression	"dest [ 50 ] = """""		146654	3		=			
ANR	146707	Identifier	dest		146654	0					
ANR	146708	PrimaryExpression	""""""		146654	1					
ANR	146709	ExpressionStatement	"strcpy ( dest , data )"	40:8:1218:1236	146654	1	True				
ANR	146710	CallExpression	"strcpy ( dest , data )"		146654	0					
ANR	146711	Callee	strcpy		146654	0					
ANR	146712	Identifier	strcpy		146654	0					
ANR	146713	ArgumentList	dest		146654	1					
ANR	146714	Argument	dest		146654	0					
ANR	146715	Identifier	dest		146654	0					
ANR	146716	Argument	data		146654	1					
ANR	146717	Identifier	data		146654	0					
ANR	146718	ExpressionStatement	printLine ( data )	41:8:1247:1262	146654	2	True				
ANR	146719	CallExpression	printLine ( data )		146654	0					
ANR	146720	Callee	printLine		146654	0					
ANR	146721	Identifier	printLine		146654	0					
ANR	146722	ArgumentList	data		146654	1					
ANR	146723	Argument	data		146654	0					
ANR	146724	Identifier	data		146654	0					
ANR	146725	ExpressionStatement	free ( data )	42:8:1273:1283	146654	3	True				
ANR	146726	CallExpression	free ( data )		146654	0					
ANR	146727	Callee	free		146654	0					
ANR	146728	Identifier	free		146654	0					
ANR	146729	ArgumentList	data		146654	1					
ANR	146730	Argument	data		146654	0					
ANR	146731	Identifier	data		146654	0					
ANR	146732	ReturnType	void		146654	1					
ANR	146733	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_src_char_cpy_42_bad		146654	2					
ANR	146734	ParameterList			146654	3					
ANR	146735	CFGEntryNode	ENTRY		146654		True				
ANR	146736	CFGExitNode	EXIT		146654		True				
ANR	146737	Symbol	malloc		146654						
ANR	146738	Symbol	NULL		146654						
ANR	146739	Symbol	data		146654						
ANR	146740	Symbol	badSource		146654						
ANR	146741	Symbol	dest		146654						
ANR	146742	Function	goodG2BSource	50:0:1342:1615							
ANR	146743	FunctionDef	goodG2BSource (char * data)		146742	0					
ANR	146744	CompoundStatement		51:0:1384:1615	146742	0					
ANR	146745	ExpressionStatement	"memset ( data , 'A' , 50 - 1 )"	53:4:1505:1528	146742	0	True				
ANR	146746	CallExpression	"memset ( data , 'A' , 50 - 1 )"		146742	0					
ANR	146747	Callee	memset		146742	0					
ANR	146748	Identifier	memset		146742	0					
ANR	146749	ArgumentList	data		146742	1					
ANR	146750	Argument	data		146742	0					
ANR	146751	Identifier	data		146742	0					
ANR	146752	Argument	'A'		146742	1					
ANR	146753	PrimaryExpression	'A'		146742	0					
ANR	146754	Argument	50 - 1		146742	2					
ANR	146755	AdditiveExpression	50 - 1		146742	0		-			
ANR	146756	PrimaryExpression	50		146742	0					
ANR	146757	PrimaryExpression	1		146742	1					
ANR	146758	ExpressionStatement	data [ 50 - 1 ] = '\\0'	54:4:1556:1573	146742	1	True				
ANR	146759	AssignmentExpression	data [ 50 - 1 ] = '\\0'		146742	0		=			
ANR	146760	ArrayIndexing	data [ 50 - 1 ]		146742	0					
ANR	146761	Identifier	data		146742	0					
ANR	146762	AdditiveExpression	50 - 1		146742	1		-			
ANR	146763	PrimaryExpression	50		146742	0					
ANR	146764	PrimaryExpression	1		146742	1					
