command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	149190	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1100-c/testcases/000/234/050/CWE122_Heap_Based_Buffer_Overflow__c_src_wchar_t_cat_05.c								
ANR	149191	DeclStmt									
ANR	149192	Decl							int	int	staticTrue
ANR	149193	DeclStmt									
ANR	149194	Decl							int	int	staticFalse
ANR	149195	Function	CWE122_Heap_Based_Buffer_Overflow__c_src_wchar_t_cat_05_bad	30:0:895:1554							
ANR	149196	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_src_wchar_t_cat_05_bad ()		149195	0					
ANR	149197	CompoundStatement		31:0:963:1554	149195	0					
ANR	149198	IdentifierDeclStatement	wchar_t * data ;	32:4:970:984	149195	0	True				
ANR	149199	IdentifierDecl	* data		149195	0					
ANR	149200	IdentifierDeclType	wchar_t *		149195	0					
ANR	149201	Identifier	data		149195	1					
ANR	149202	ExpressionStatement	data = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )	33:4:991:1036	149195	1	True				
ANR	149203	AssignmentExpression	data = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		149195	0		=			
ANR	149204	Identifier	data		149195	0					
ANR	149205	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		149195	1					
ANR	149206	CastTarget	wchar_t *		149195	0					
ANR	149207	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		149195	1					
ANR	149208	Callee	malloc		149195	0					
ANR	149209	Identifier	malloc		149195	0					
ANR	149210	ArgumentList	100 * sizeof ( wchar_t )		149195	1					
ANR	149211	Argument	100 * sizeof ( wchar_t )		149195	0					
ANR	149212	MultiplicativeExpression	100 * sizeof ( wchar_t )		149195	0		*			
ANR	149213	PrimaryExpression	100		149195	0					
ANR	149214	SizeofExpression	sizeof ( wchar_t )		149195	1					
ANR	149215	Sizeof	sizeof		149195	0					
ANR	149216	SizeofOperand	wchar_t		149195	1					
ANR	149217	IfStatement	if ( data == NULL )		149195	2					
ANR	149218	Condition	data == NULL	34:8:1047:1058	149195	0	True				
ANR	149219	EqualityExpression	data == NULL		149195	0		==			
ANR	149220	Identifier	data		149195	0					
ANR	149221	Identifier	NULL		149195	1					
ANR	149222	CompoundStatement		4:22:97:97	149195	1					
ANR	149223	ExpressionStatement	exit ( - 1 )	34:23:1062:1070	149195	0	True				
ANR	149224	CallExpression	exit ( - 1 )		149195	0					
ANR	149225	Callee	exit		149195	0					
ANR	149226	Identifier	exit		149195	0					
ANR	149227	ArgumentList	- 1		149195	1					
ANR	149228	Argument	- 1		149195	0					
ANR	149229	UnaryOperationExpression	- 1		149195	0					
ANR	149230	UnaryOperator	-		149195	0					
ANR	149231	PrimaryExpression	1		149195	1					
ANR	149232	IfStatement	if ( staticTrue )		149195	3					
ANR	149233	Condition	staticTrue	35:7:1080:1089	149195	0	True				
ANR	149234	Identifier	staticTrue		149195	0					
ANR	149235	CompoundStatement		6:4:133:133	149195	1					
ANR	149236	Statement	wmemset	38:8:1217:1223	149195	0	True				
ANR	149237	Statement	(	38:15:1224:1224	149195	1	True				
ANR	149238	Statement	data	38:16:1225:1228	149195	2	True				
ANR	149239	Statement	","	38:20:1229:1229	149195	3	True				
ANR	149240	Statement	L	38:22:1231:1231	149195	4	True				
ANR	149241	Statement	'A'	38:23:1232:1234	149195	5	True				
ANR	149242	Statement	","	38:26:1235:1235	149195	6	True				
ANR	149243	Statement	100	38:28:1237:1239	149195	7	True				
ANR	149244	Statement	-	38:31:1240:1240	149195	8	True				
ANR	149245	Statement	1	38:32:1241:1241	149195	9	True				
ANR	149246	Statement	)	38:33:1242:1242	149195	10	True				
ANR	149247	ExpressionStatement		38:34:1243:1243	149195	11	True				
ANR	149248	Statement	data	39:8:1276:1279	149195	12	True				
ANR	149249	Statement	[	39:12:1280:1280	149195	13	True				
ANR	149250	Statement	100	39:13:1281:1283	149195	14	True				
ANR	149251	Statement	-	39:16:1284:1284	149195	15	True				
ANR	149252	Statement	1	39:17:1285:1285	149195	16	True				
ANR	149253	Statement	]	39:18:1286:1286	149195	17	True				
ANR	149254	Statement	=	39:20:1288:1288	149195	18	True				
ANR	149255	Statement	L	39:22:1290:1290	149195	19	True				
ANR	149256	ExpressionStatement	'\\0'	39:23:1291:1295	149195	20	True				
ANR	149257	PrimaryExpression	'\\0'		149195	0					
ANR	149258	CompoundStatement		11:4:366:366	149195	4					
ANR	149259	Statement	wchar_t	42:8:1341:1347	149195	0	True				
ANR	149260	Statement	dest	42:16:1349:1352	149195	1	True				
ANR	149261	Statement	[	42:20:1353:1353	149195	2	True				
ANR	149262	Statement	50	42:21:1354:1355	149195	3	True				
ANR	149263	Statement	]	42:23:1356:1356	149195	4	True				
ANR	149264	Statement	=	42:25:1358:1358	149195	5	True				
ANR	149265	Statement	L	42:27:1360:1360	149195	6	True				
ANR	149266	ExpressionStatement	""""""	42:28:1361:1363	149195	7	True				
ANR	149267	PrimaryExpression	""""""		149195	0					
ANR	149268	ExpressionStatement	"wcscat ( dest , data )"	44:8:1478:1496	149195	8	True				
ANR	149269	CallExpression	"wcscat ( dest , data )"		149195	0					
ANR	149270	Callee	wcscat		149195	0					
ANR	149271	Identifier	wcscat		149195	0					
ANR	149272	ArgumentList	dest		149195	1					
ANR	149273	Argument	dest		149195	0					
ANR	149274	Identifier	dest		149195	0					
ANR	149275	Argument	data		149195	1					
ANR	149276	Identifier	data		149195	0					
ANR	149277	ExpressionStatement	printWLine ( data )	45:8:1507:1523	149195	9	True				
