command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	159216	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1100-c/testcases/000/234/082/CWE122_Heap_Based_Buffer_Overflow__c_src_wchar_t_cpy_05.c								
ANR	159217	DeclStmt									
ANR	159218	Decl							int	int	staticTrue
ANR	159219	DeclStmt									
ANR	159220	Decl							int	int	staticFalse
ANR	159221	Function	CWE122_Heap_Based_Buffer_Overflow__c_src_wchar_t_cpy_05_bad	30:0:895:1534							
ANR	159222	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_src_wchar_t_cpy_05_bad ()		159221	0					
ANR	159223	CompoundStatement		31:0:963:1534	159221	0					
ANR	159224	IdentifierDeclStatement	wchar_t * data ;	32:4:970:984	159221	0	True				
ANR	159225	IdentifierDecl	* data		159221	0					
ANR	159226	IdentifierDeclType	wchar_t *		159221	0					
ANR	159227	Identifier	data		159221	1					
ANR	159228	ExpressionStatement	data = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )	33:4:991:1036	159221	1	True				
ANR	159229	AssignmentExpression	data = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		159221	0		=			
ANR	159230	Identifier	data		159221	0					
ANR	159231	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		159221	1					
ANR	159232	CastTarget	wchar_t *		159221	0					
ANR	159233	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		159221	1					
ANR	159234	Callee	malloc		159221	0					
ANR	159235	Identifier	malloc		159221	0					
ANR	159236	ArgumentList	100 * sizeof ( wchar_t )		159221	1					
ANR	159237	Argument	100 * sizeof ( wchar_t )		159221	0					
ANR	159238	MultiplicativeExpression	100 * sizeof ( wchar_t )		159221	0		*			
ANR	159239	PrimaryExpression	100		159221	0					
ANR	159240	SizeofExpression	sizeof ( wchar_t )		159221	1					
ANR	159241	Sizeof	sizeof		159221	0					
ANR	159242	SizeofOperand	wchar_t		159221	1					
ANR	159243	IfStatement	if ( data == NULL )		159221	2					
ANR	159244	Condition	data == NULL	34:8:1047:1058	159221	0	True				
ANR	159245	EqualityExpression	data == NULL		159221	0		==			
ANR	159246	Identifier	data		159221	0					
ANR	159247	Identifier	NULL		159221	1					
ANR	159248	CompoundStatement		4:22:97:97	159221	1					
ANR	159249	ExpressionStatement	exit ( - 1 )	34:23:1062:1070	159221	0	True				
ANR	159250	CallExpression	exit ( - 1 )		159221	0					
ANR	159251	Callee	exit		159221	0					
ANR	159252	Identifier	exit		159221	0					
ANR	159253	ArgumentList	- 1		159221	1					
ANR	159254	Argument	- 1		159221	0					
ANR	159255	UnaryOperationExpression	- 1		159221	0					
ANR	159256	UnaryOperator	-		159221	0					
ANR	159257	PrimaryExpression	1		159221	1					
ANR	159258	IfStatement	if ( staticTrue )		159221	3					
ANR	159259	Condition	staticTrue	35:7:1080:1089	159221	0	True				
ANR	159260	Identifier	staticTrue		159221	0					
ANR	159261	CompoundStatement		6:4:133:133	159221	1					
ANR	159262	Statement	wmemset	38:8:1217:1223	159221	0	True				
ANR	159263	Statement	(	38:15:1224:1224	159221	1	True				
ANR	159264	Statement	data	38:16:1225:1228	159221	2	True				
ANR	159265	Statement	","	38:20:1229:1229	159221	3	True				
ANR	159266	Statement	L	38:22:1231:1231	159221	4	True				
ANR	159267	Statement	'A'	38:23:1232:1234	159221	5	True				
ANR	159268	Statement	","	38:26:1235:1235	159221	6	True				
ANR	159269	Statement	100	38:28:1237:1239	159221	7	True				
ANR	159270	Statement	-	38:31:1240:1240	159221	8	True				
ANR	159271	Statement	1	38:32:1241:1241	159221	9	True				
ANR	159272	Statement	)	38:33:1242:1242	159221	10	True				
ANR	159273	ExpressionStatement		38:34:1243:1243	159221	11	True				
ANR	159274	Statement	data	39:8:1276:1279	159221	12	True				
ANR	159275	Statement	[	39:12:1280:1280	159221	13	True				
ANR	159276	Statement	100	39:13:1281:1283	159221	14	True				
ANR	159277	Statement	-	39:16:1284:1284	159221	15	True				
ANR	159278	Statement	1	39:17:1285:1285	159221	16	True				
ANR	159279	Statement	]	39:18:1286:1286	159221	17	True				
ANR	159280	Statement	=	39:20:1288:1288	159221	18	True				
ANR	159281	Statement	L	39:22:1290:1290	159221	19	True				
ANR	159282	ExpressionStatement	'\\0'	39:23:1291:1295	159221	20	True				
ANR	159283	PrimaryExpression	'\\0'		159221	0					
ANR	159284	CompoundStatement		11:4:366:366	159221	4					
ANR	159285	Statement	wchar_t	42:8:1341:1347	159221	0	True				
ANR	159286	Statement	dest	42:16:1349:1352	159221	1	True				
ANR	159287	Statement	[	42:20:1353:1353	159221	2	True				
ANR	159288	Statement	50	42:21:1354:1355	159221	3	True				
ANR	159289	Statement	]	42:23:1356:1356	159221	4	True				
ANR	159290	Statement	=	42:25:1358:1358	159221	5	True				
ANR	159291	Statement	L	42:27:1360:1360	159221	6	True				
ANR	159292	ExpressionStatement	""""""	42:28:1361:1363	159221	7	True				
ANR	159293	PrimaryExpression	""""""		159221	0					
ANR	159294	ExpressionStatement	"wcscpy ( dest , data )"	44:8:1458:1476	159221	8	True				
ANR	159295	CallExpression	"wcscpy ( dest , data )"		159221	0					
ANR	159296	Callee	wcscpy		159221	0					
ANR	159297	Identifier	wcscpy		159221	0					
ANR	159298	ArgumentList	dest		159221	1					
ANR	159299	Argument	dest		159221	0					
ANR	159300	Identifier	dest		159221	0					
ANR	159301	Argument	data		159221	1					
ANR	159302	Identifier	data		159221	0					
ANR	159303	ExpressionStatement	printWLine ( data )	45:8:1487:1503	159221	9	True				
ANR	159304	CallExpression	printWLine ( data )		159221	0					
ANR	159305	Callee	printWLine		159221	0					
ANR	159306	Identifier	printWLine		159221	0					
ANR	159307	ArgumentList	data		159221	1					
ANR	159308	Argument	data		159221	0					
ANR	159309	Identifier	data		159221	0					
ANR	159310	ExpressionStatement	free ( data )	46:8:1514:1524	159221	10	True				
ANR	159311	CallExpression	free ( data )		159221	0					
ANR	159312	Callee	free		159221	0					
ANR	159313	Identifier	free		159221	0					
ANR	159314	ArgumentList	data		159221	1					
ANR	159315	Argument	data		159221	0					
ANR	159316	Identifier	data		159221	0					
ANR	159317	ReturnType	void		159221	1					
ANR	159318	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_src_wchar_t_cpy_05_bad		159221	2					
ANR	159319	ParameterList			159221	3					
ANR	159320	CFGEntryNode	ENTRY		159221		True				
ANR	159321	CFGExitNode	EXIT		159221		True				
ANR	159322	Symbol	staticTrue		159221						
ANR	159323	Symbol	malloc		159221						
ANR	159324	Symbol	NULL		159221						
ANR	159325	Symbol	data		159221						
ANR	159326	Symbol	dest		159221						
ANR	159327	Function	goodG2B1	55:0:1672:2419							
ANR	159328	FunctionDef	goodG2B1 ()		159327	0					
ANR	159329	CompoundStatement		56:0:1696:2419	159327	0					
ANR	159330	IdentifierDeclStatement	wchar_t * data ;	57:4:1703:1717	159327	0	True				
ANR	159331	IdentifierDecl	* data		159327	0					
ANR	159332	IdentifierDeclType	wchar_t *		159327	0					
ANR	159333	Identifier	data		159327	1					
ANR	159334	ExpressionStatement	data = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )	58:4:1724:1769	159327	1	True				
ANR	159335	AssignmentExpression	data = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		159327	0		=			
ANR	159336	Identifier	data		159327	0					
ANR	159337	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		159327	1					
ANR	159338	CastTarget	wchar_t *		159327	0					
ANR	159339	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		159327	1					
ANR	159340	Callee	malloc		159327	0					
ANR	159341	Identifier	malloc		159327	0					
ANR	159342	ArgumentList	100 * sizeof ( wchar_t )		159327	1					
ANR	159343	Argument	100 * sizeof ( wchar_t )		159327	0					
ANR	159344	MultiplicativeExpression	100 * sizeof ( wchar_t )		159327	0		*			
ANR	159345	PrimaryExpression	100		159327	0					
ANR	159346	SizeofExpression	sizeof ( wchar_t )		159327	1					
ANR	159347	Sizeof	sizeof		159327	0					
ANR	159348	SizeofOperand	wchar_t		159327	1					
ANR	159349	IfStatement	if ( data == NULL )		159327	2					
ANR	159350	Condition	data == NULL	59:8:1780:1791	159327	0	True				
ANR	159351	EqualityExpression	data == NULL		159327	0		==			
ANR	159352	Identifier	data		159327	0					
ANR	159353	Identifier	NULL		159327	1					
ANR	159354	CompoundStatement		4:22:97:97	159327	1					
ANR	159355	ExpressionStatement	exit ( - 1 )	59:23:1795:1803	159327	0	True				
ANR	159356	CallExpression	exit ( - 1 )		159327	0					
ANR	159357	Callee	exit		159327	0					
ANR	159358	Identifier	exit		159327	0					
ANR	159359	ArgumentList	- 1		159327	1					
ANR	159360	Argument	- 1		159327	0					
ANR	159361	UnaryOperationExpression	- 1		159327	0					
ANR	159362	UnaryOperator	-		159327	0					
ANR	159363	PrimaryExpression	1		159327	1					
ANR	159364	IfStatement	if ( staticFalse )		159327	3					
ANR	159365	Condition	staticFalse	60:7:1813:1823	159327	0	True				
