command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	172630	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1100-c/testcases/000/234/153/CWE122_Heap_Based_Buffer_Overflow__sizeof_double_16.c								
ANR	172631	Function	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_16_bad	21:0:591:1167							
ANR	172632	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_16_bad ()		172631	0					
ANR	172633	CompoundStatement		22:0:655:1167	172631	0					
ANR	172634	IdentifierDeclStatement	double * data ;	23:4:662:675	172631	0	True				
ANR	172635	IdentifierDecl	* data		172631	0					
ANR	172636	IdentifierDeclType	double *		172631	0					
ANR	172637	Identifier	data		172631	1					
ANR	172638	ExpressionStatement	data = NULL	25:4:709:720	172631	1	True				
ANR	172639	AssignmentExpression	data = NULL		172631	0		=			
ANR	172640	Identifier	data		172631	0					
ANR	172641	Identifier	NULL		172631	1					
ANR	172642	WhileStatement	while ( 1 )		172631	2					
ANR	172643	Condition	1	26:10:733:733	172631	0	True				
ANR	172644	PrimaryExpression	1		172631	0					
ANR	172645	CompoundStatement		6:4:85:85	172631	1					
ANR	172646	ExpressionStatement	data = ( double * ) malloc ( sizeof ( data ) )	30:8:903:940	172631	0	True				
ANR	172647	AssignmentExpression	data = ( double * ) malloc ( sizeof ( data ) )		172631	0		=			
ANR	172648	Identifier	data		172631	0					
ANR	172649	CastExpression	( double * ) malloc ( sizeof ( data ) )		172631	1					
ANR	172650	CastTarget	double *		172631	0					
ANR	172651	CallExpression	malloc ( sizeof ( data ) )		172631	1					
ANR	172652	Callee	malloc		172631	0					
ANR	172653	Identifier	malloc		172631	0					
ANR	172654	ArgumentList	sizeof ( data )		172631	1					
ANR	172655	Argument	sizeof ( data )		172631	0					
ANR	172656	SizeofExpression	sizeof ( data )		172631	0					
ANR	172657	Sizeof	sizeof		172631	0					
ANR	172658	SizeofOperand	data		172631	1					
ANR	172659	IfStatement	if ( data == NULL )		172631	1					
ANR	172660	Condition	data == NULL	31:12:955:966	172631	0	True				
ANR	172661	EqualityExpression	data == NULL		172631	0		==			
ANR	172662	Identifier	data		172631	0					
ANR	172663	Identifier	NULL		172631	1					
ANR	172664	CompoundStatement		10:26:313:313	172631	1					
ANR	172665	ExpressionStatement	exit ( - 1 )	31:27:970:978	172631	0	True				
ANR	172666	CallExpression	exit ( - 1 )		172631	0					
ANR	172667	Callee	exit		172631	0					
ANR	172668	Identifier	exit		172631	0					
ANR	172669	ArgumentList	- 1		172631	1					
ANR	172670	Argument	- 1		172631	0					
ANR	172671	UnaryOperationExpression	- 1		172631	0					
ANR	172672	UnaryOperator	-		172631	0					
ANR	172673	PrimaryExpression	1		172631	1					
ANR	172674	ExpressionStatement	* data = 1.7E300	32:8:989:1004	172631	2	True				
ANR	172675	AssignmentExpression	* data = 1.7E300		172631	0		=			
ANR	172676	UnaryOperationExpression	* data		172631	0					
ANR	172677	UnaryOperator	*		172631	0					
ANR	172678	Identifier	data		172631	1					
ANR	172679	PrimaryExpression	1.7E300		172631	1					
ANR	172680	BreakStatement	break ;	33:8:1015:1020	172631	3	True				
