command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	173800	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1100-c/testcases/000/234/157/CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22a.c								
ANR	173801	DeclStmt									
ANR	173802	Decl							int	int	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_badGlobal
ANR	173803	DeclStmt									
ANR	173804	Decl							double	double * ( double * data )	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_badSource
ANR	173805	Function	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_bad	26:0:933:1366							
ANR	173806	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_bad ()		173805	0					
ANR	173807	CompoundStatement		27:0:997:1366	173805	0					
ANR	173808	IdentifierDeclStatement	double * data ;	28:4:1004:1017	173805	0	True				
ANR	173809	IdentifierDecl	* data		173805	0					
ANR	173810	IdentifierDeclType	double *		173805	0					
ANR	173811	Identifier	data		173805	1					
ANR	173812	ExpressionStatement	data = NULL	30:4:1051:1062	173805	1	True				
ANR	173813	AssignmentExpression	data = NULL		173805	0		=			
ANR	173814	Identifier	data		173805	0					
ANR	173815	Identifier	NULL		173805	1					
ANR	173816	ExpressionStatement	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_badGlobal = 1	31:4:1069:1134	173805	2	True				
ANR	173817	AssignmentExpression	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_badGlobal = 1		173805	0		=			
ANR	173818	Identifier	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_badGlobal		173805	0					
ANR	173819	PrimaryExpression	1		173805	1					
ANR	173820	ExpressionStatement	data = CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_badSource ( data )	32:4:1152:1226	173805	3	True				
ANR	173821	AssignmentExpression	data = CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_badSource ( data )		173805	0		=			
ANR	173822	Identifier	data		173805	0					
ANR	173823	CallExpression	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_badSource ( data )		173805	1					
ANR	173824	Callee	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_badSource		173805	0					
ANR	173825	Identifier	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_badSource		173805	0					
ANR	173826	ArgumentList	data		173805	1					
ANR	173827	Argument	data		173805	0					
ANR	173828	Identifier	data		173805	0					
ANR	173829	ExpressionStatement	printDoubleLine ( * data )	34:4:1324:1346	173805	4	True				
ANR	173830	CallExpression	printDoubleLine ( * data )		173805	0					
ANR	173831	Callee	printDoubleLine		173805	0					
ANR	173832	Identifier	printDoubleLine		173805	0					
ANR	173833	ArgumentList	* data		173805	1					
ANR	173834	Argument	* data		173805	0					
ANR	173835	UnaryOperationExpression	* data		173805	0					
ANR	173836	UnaryOperator	*		173805	0					
ANR	173837	Identifier	data		173805	1					
ANR	173838	ExpressionStatement	free ( data )	35:4:1353:1363	173805	5	True				
ANR	173839	CallExpression	free ( data )		173805	0					
ANR	173840	Callee	free		173805	0					
ANR	173841	Identifier	free		173805	0					
ANR	173842	ArgumentList	data		173805	1					
ANR	173843	Argument	data		173805	0					
ANR	173844	Identifier	data		173805	0					
ANR	173845	ReturnType	void		173805	1					
ANR	173846	Identifier	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_bad		173805	2					
ANR	173847	ParameterList			173805	3					
ANR	173848	CFGEntryNode	ENTRY		173805		True				
ANR	173849	CFGExitNode	EXIT		173805		True				
ANR	173850	Symbol	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_badSource		173805						
ANR	173851	Symbol	NULL		173805						
ANR	173852	Symbol	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_badGlobal		173805						
ANR	173853	Symbol	data		173805						
ANR	173854	Symbol	* data		173805						
ANR	173855	DeclStmt									
ANR	173856	Decl							int	int	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_goodG2B1Global
ANR	173857	DeclStmt									
ANR	173858	Decl							int	int	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_goodG2B2Global
ANR	173859	DeclStmt									
ANR	173860	Decl							double	double * ( double * data )	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_goodG2B1Source
ANR	173861	Function	goodG2B1	49:0:1859:2263							
ANR	173862	FunctionDef	goodG2B1 ()		173861	0					
ANR	173863	CompoundStatement		50:0:1883:2263	173861	0					
ANR	173864	IdentifierDeclStatement	double * data ;	51:4:1890:1903	173861	0	True				
ANR	173865	IdentifierDecl	* data		173861	0					
ANR	173866	IdentifierDeclType	double *		173861	0					
ANR	173867	Identifier	data		173861	1					
ANR	173868	ExpressionStatement	data = NULL	53:4:1937:1948	173861	1	True				
ANR	173869	AssignmentExpression	data = NULL		173861	0		=			
ANR	173870	Identifier	data		173861	0					
ANR	173871	Identifier	NULL		173861	1					
ANR	173872	ExpressionStatement	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_goodG2B1Global = 0	54:4:1955:2025	173861	2	True				
ANR	173873	AssignmentExpression	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_goodG2B1Global = 0		173861	0		=			
ANR	173874	Identifier	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_goodG2B1Global		173861	0					
ANR	173875	PrimaryExpression	0		173861	1					
ANR	173876	ExpressionStatement	data = CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_goodG2B1Source ( data )	55:4:2044:2123	173861	3	True				
ANR	173877	AssignmentExpression	data = CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_goodG2B1Source ( data )		173861	0		=			
ANR	173878	Identifier	data		173861	0					
ANR	173879	CallExpression	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_goodG2B1Source ( data )		173861	1					
ANR	173880	Callee	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_goodG2B1Source		173861	0					
ANR	173881	Identifier	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_goodG2B1Source		173861	0					
ANR	173882	ArgumentList	data		173861	1					
ANR	173883	Argument	data		173861	0					
ANR	173884	Identifier	data		173861	0					
ANR	173885	ExpressionStatement	printDoubleLine ( * data )	57:4:2221:2243	173861	4	True				
ANR	173886	CallExpression	printDoubleLine ( * data )		173861	0					
ANR	173887	Callee	printDoubleLine		173861	0					
ANR	173888	Identifier	printDoubleLine		173861	0					
ANR	173889	ArgumentList	* data		173861	1					
ANR	173890	Argument	* data		173861	0					
ANR	173891	UnaryOperationExpression	* data		173861	0					
ANR	173892	UnaryOperator	*		173861	0					
ANR	173893	Identifier	data		173861	1					
ANR	173894	ExpressionStatement	free ( data )	58:4:2250:2260	173861	5	True				
ANR	173895	CallExpression	free ( data )		173861	0					
ANR	173896	Callee	free		173861	0					
ANR	173897	Identifier	free		173861	0					
ANR	173898	ArgumentList	data		173861	1					
ANR	173899	Argument	data		173861	0					
ANR	173900	Identifier	data		173861	0					
ANR	173901	ReturnType	static void		173861	1					
ANR	173902	Identifier	goodG2B1		173861	2					
ANR	173903	ParameterList			173861	3					
ANR	173904	CFGEntryNode	ENTRY		173861		True				
ANR	173905	CFGExitNode	EXIT		173861		True				
ANR	173906	Symbol	NULL		173861						
ANR	173907	Symbol	data		173861						
ANR	173908	Symbol	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_goodG2B1Global		173861						
ANR	173909	Symbol	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_goodG2B1Source		173861						
ANR	173910	Symbol	* data		173861						
ANR	173911	DeclStmt									
ANR	173912	Decl							double	double * ( double * data )	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_goodG2B2Source
ANR	173913	Function	goodG2B2	64:0:2467:2870							
ANR	173914	FunctionDef	goodG2B2 ()		173913	0					
ANR	173915	CompoundStatement		65:0:2491:2870	173913	0					
ANR	173916	IdentifierDeclStatement	double * data ;	66:4:2498:2511	173913	0	True				
ANR	173917	IdentifierDecl	* data		173913	0					
ANR	173918	IdentifierDeclType	double *		173913	0					
ANR	173919	Identifier	data		173913	1					
ANR	173920	ExpressionStatement	data = NULL	68:4:2545:2556	173913	1	True				
ANR	173921	AssignmentExpression	data = NULL		173913	0		=			
ANR	173922	Identifier	data		173913	0					
ANR	173923	Identifier	NULL		173913	1					
ANR	173924	ExpressionStatement	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_goodG2B2Global = 1	69:4:2563:2633	173913	2	True				
ANR	173925	AssignmentExpression	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_goodG2B2Global = 1		173913	0		=			
ANR	173926	Identifier	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_goodG2B2Global		173913	0					
ANR	173927	PrimaryExpression	1		173913	1					
ANR	173928	ExpressionStatement	data = CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_goodG2B2Source ( data )	70:4:2651:2730	173913	3	True				
ANR	173929	AssignmentExpression	data = CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_goodG2B2Source ( data )		173913	0		=			
ANR	173930	Identifier	data		173913	0					
ANR	173931	CallExpression	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_goodG2B2Source ( data )		173913	1					
ANR	173932	Callee	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_goodG2B2Source		173913	0					
ANR	173933	Identifier	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_goodG2B2Source		173913	0					
ANR	173934	ArgumentList	data		173913	1					
ANR	173935	Argument	data		173913	0					
ANR	173936	Identifier	data		173913	0					
ANR	173937	ExpressionStatement	printDoubleLine ( * data )	72:4:2828:2850	173913	4	True				
ANR	173938	CallExpression	printDoubleLine ( * data )		173913	0					
ANR	173939	Callee	printDoubleLine		173913	0					
ANR	173940	Identifier	printDoubleLine		173913	0					
ANR	173941	ArgumentList	* data		173913	1					
ANR	173942	Argument	* data		173913	0					
ANR	173943	UnaryOperationExpression	* data		173913	0					
ANR	173944	UnaryOperator	*		173913	0					
ANR	173945	Identifier	data		173913	1					
ANR	173946	ExpressionStatement	free ( data )	73:4:2857:2867	173913	5	True				
ANR	173947	CallExpression	free ( data )		173913	0					
ANR	173948	Callee	free		173913	0					
ANR	173949	Identifier	free		173913	0					
ANR	173950	ArgumentList	data		173913	1					
ANR	173951	Argument	data		173913	0					
ANR	173952	Identifier	data		173913	0					
ANR	173953	ReturnType	static void		173913	1					
ANR	173954	Identifier	goodG2B2		173913	2					
ANR	173955	ParameterList			173913	3					
ANR	173956	CFGEntryNode	ENTRY		173913		True				
ANR	173957	CFGExitNode	EXIT		173913		True				
ANR	173958	Symbol	NULL		173913						
ANR	173959	Symbol	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_goodG2B2Global		173913						
ANR	173960	Symbol	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_goodG2B2Source		173913						
ANR	173961	Symbol	data		173913						
ANR	173962	Symbol	* data		173913						
ANR	173963	Function	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_good	76:0:2875:2977							
ANR	173964	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_good ()		173963	0					
ANR	173965	CompoundStatement		77:0:2940:2977	173963	0					
ANR	173966	ExpressionStatement	goodG2B1 ( )	78:4:2947:2957	173963	0	True				
ANR	173967	CallExpression	goodG2B1 ( )		173963	0					
ANR	173968	Callee	goodG2B1		173963	0					
ANR	173969	Identifier	goodG2B1		173963	0					
ANR	173970	ArgumentList			173963	1					
ANR	173971	ExpressionStatement	goodG2B2 ( )	79:4:2964:2974	173963	1	True				
ANR	173972	CallExpression	goodG2B2 ( )		173963	0					
ANR	173973	Callee	goodG2B2		173963	0					
ANR	173974	Identifier	goodG2B2		173963	0					
ANR	173975	ArgumentList			173963	1					
ANR	173976	ReturnType	void		173963	1					
ANR	173977	Identifier	CWE122_Heap_Based_Buffer_Overflow__sizeof_double_22_good		173963	2					
ANR	173978	ParameterList			173963	3					
ANR	173979	CFGEntryNode	ENTRY		173963		True				
ANR	173980	CFGExitNode	EXIT		173963		True				
ANR	173981	Function	main	92:0:3326:3793							
ANR	173982	FunctionDef	"main (int argc , char * argv [ ])"		173981	0					
ANR	173983	CompoundStatement		93:0:3361:3793	173981	0					
ANR	173984	ExpressionStatement	srand ( ( unsigned ) time ( NULL ) )	95:4:3395:3424	173981	0	True				
ANR	173985	CallExpression	srand ( ( unsigned ) time ( NULL ) )		173981	0					
ANR	173986	Callee	srand		173981	0					
ANR	173987	Identifier	srand		173981	0					
ANR	173988	ArgumentList	( unsigned ) time ( NULL )		173981	1					
ANR	173989	Argument	( unsigned ) time ( NULL )		173981	0					
ANR	173990	CastExpression	( unsigned ) time ( NULL )		173981	0					
ANR	173991	CastTarget	unsigned		173981	0					
ANR	173992	CallExpression	time ( NULL )		173981	1					
ANR	173993	Callee	time		173981	0					
ANR	173994	Identifier	time		173981	0					
ANR	173995	ArgumentList	NULL		173981	1					
ANR	173996	Argument	NULL		173981	0					
ANR	173997	Identifier	NULL		173981	0					
