start	end	type	var
181310	181311	IS_AST_PARENT	
181312	181313	IS_AST_PARENT	
181315	181316	IS_AST_PARENT	
181314	181315	IS_AST_PARENT	
181319	181320	IS_AST_PARENT	
181321	181322	IS_AST_PARENT	
181321	181323	IS_AST_PARENT	
181319	181321	IS_AST_PARENT	
181318	181319	IS_AST_PARENT	
181317	181318	IS_AST_PARENT	
181314	181317	IS_AST_PARENT	
181312	181314	IS_AST_PARENT	
181310	181312	IS_AST_PARENT	
181309	181310	IS_AST_PARENT	
181308	181309	IS_AST_PARENT	
181326	181327	IS_AST_PARENT	
181326	181328	IS_AST_PARENT	
181325	181326	IS_AST_PARENT	
181324	181325	IS_AST_PARENT	
181332	181333	IS_AST_PARENT	
181331	181332	IS_AST_PARENT	
181336	181337	IS_AST_PARENT	
181336	181338	IS_AST_PARENT	
181335	181336	IS_AST_PARENT	
181334	181335	IS_AST_PARENT	
181331	181334	IS_AST_PARENT	
181330	181331	IS_AST_PARENT	
181329	181330	IS_AST_PARENT	
181324	181329	IS_AST_PARENT	
181308	181324	IS_AST_PARENT	
181341	181342	IS_AST_PARENT	
181341	181343	IS_AST_PARENT	
181340	181341	IS_AST_PARENT	
181340	181344	IS_AST_PARENT	
181339	181340	IS_AST_PARENT	
181308	181339	IS_AST_PARENT	
181345	181346	IS_AST_PARENT	
181308	181345	IS_AST_PARENT	
181307	181308	IS_AST_PARENT	
181307	181347	IS_AST_PARENT	
181307	181348	IS_AST_PARENT	
181350	181351	IS_AST_PARENT	
181350	181352	IS_AST_PARENT	
181349	181350	IS_AST_PARENT	
181307	181349	IS_AST_PARENT	
181353	181350	FLOWS_TO	
181350	181309	FLOWS_TO	
181309	181325	FLOWS_TO	
181325	181330	FLOWS_TO	
181325	181339	FLOWS_TO	
181330	181339	FLOWS_TO	
181339	181345	FLOWS_TO	
181345	181354	FLOWS_TO	
181309	181355	USE	
181310	181355	USE	
181325	181356	USE	
181350	181357	DEF	
181309	181357	DEF	
181310	181357	DEF	
181325	181357	USE	
181339	181357	USE	
181341	181357	USE	
181345	181357	USE	
181339	181358	DEF	
181340	181358	DEF	
181309	181325	REACHES	data
181309	181339	REACHES	data
181309	181345	REACHES	data
181339	181354	REACHES	* data
181353	181350	CONTROLS	
181353	181309	CONTROLS	
181353	181325	CONTROLS	
181353	181339	CONTROLS	
181353	181345	CONTROLS	
181325	181330	CONTROLS	
181353	181353	DOM	
181325	181330	DOM	
181345	181354	DOM	
181309	181325	DOM	
181339	181345	DOM	
181353	181350	DOM	
181325	181339	DOM	
181350	181309	DOM	
181350	181353	POST_DOM	
181339	181330	POST_DOM	
181354	181354	POST_DOM	
181339	181325	POST_DOM	
181354	181345	POST_DOM	
181345	181339	POST_DOM	
181309	181350	POST_DOM	
181325	181309	POST_DOM	
181306	181307	IS_FUNCTION_OF_AST	
181306	181353	IS_FUNCTION_OF_CFG	
