command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	184872	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1200-c/testcases/000/233/924/CWE122_Heap_Based_Buffer_Overflow__c_dest_wchar_t_cat_09.c								
ANR	184873	Function	CWE122_Heap_Based_Buffer_Overflow__c_dest_wchar_t_cat_09_bad	23:0:676:1431							
ANR	184874	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_dest_wchar_t_cat_09_bad ()		184873	0					
ANR	184875	CompoundStatement		24:0:745:1431	184873	0					
ANR	184876	IdentifierDeclStatement	wchar_t * data ;	25:4:752:766	184873	0	True				
ANR	184877	IdentifierDecl	* data		184873	0					
ANR	184878	IdentifierDeclType	wchar_t *		184873	0					
ANR	184879	Identifier	data		184873	1					
ANR	184880	ExpressionStatement	data = NULL	26:4:773:784	184873	1	True				
ANR	184881	AssignmentExpression	data = NULL		184873	0		=			
ANR	184882	Identifier	data		184873	0					
ANR	184883	Identifier	NULL		184873	1					
ANR	184884	IfStatement	if ( GLOBAL_CONST_TRUE )		184873	2					
ANR	184885	Condition	GLOBAL_CONST_TRUE	27:7:794:810	184873	0	True				
ANR	184886	Identifier	GLOBAL_CONST_TRUE		184873	0					
ANR	184887	CompoundStatement		5:4:72:72	184873	1					
ANR	184888	ExpressionStatement	data = ( wchar_t * ) malloc ( 50 * sizeof ( wchar_t ) )	30:8:948:992	184873	0	True				
ANR	184889	AssignmentExpression	data = ( wchar_t * ) malloc ( 50 * sizeof ( wchar_t ) )		184873	0		=			
ANR	184890	Identifier	data		184873	0					
ANR	184891	CastExpression	( wchar_t * ) malloc ( 50 * sizeof ( wchar_t ) )		184873	1					
ANR	184892	CastTarget	wchar_t *		184873	0					
ANR	184893	CallExpression	malloc ( 50 * sizeof ( wchar_t ) )		184873	1					
ANR	184894	Callee	malloc		184873	0					
ANR	184895	Identifier	malloc		184873	0					
ANR	184896	ArgumentList	50 * sizeof ( wchar_t )		184873	1					
ANR	184897	Argument	50 * sizeof ( wchar_t )		184873	0					
ANR	184898	MultiplicativeExpression	50 * sizeof ( wchar_t )		184873	0		*			
ANR	184899	PrimaryExpression	50		184873	0					
ANR	184900	SizeofExpression	sizeof ( wchar_t )		184873	1					
ANR	184901	Sizeof	sizeof		184873	0					
ANR	184902	SizeofOperand	wchar_t		184873	1					
ANR	184903	IfStatement	if ( data == NULL )		184873	1					
ANR	184904	Condition	data == NULL	31:12:1007:1018	184873	0	True				
ANR	184905	EqualityExpression	data == NULL		184873	0		==			
ANR	184906	Identifier	data		184873	0					
ANR	184907	Identifier	NULL		184873	1					
ANR	184908	CompoundStatement		8:26:275:275	184873	1					
ANR	184909	ExpressionStatement	exit ( - 1 )	31:27:1022:1030	184873	0	True				
ANR	184910	CallExpression	exit ( - 1 )		184873	0					
ANR	184911	Callee	exit		184873	0					
ANR	184912	Identifier	exit		184873	0					
ANR	184913	ArgumentList	- 1		184873	1					
ANR	184914	Argument	- 1		184873	0					
ANR	184915	UnaryOperationExpression	- 1		184873	0					
ANR	184916	UnaryOperator	-		184873	0					
ANR	184917	PrimaryExpression	1		184873	1					
ANR	184918	Statement	data	32:8:1041:1044	184873	2	True				
ANR	184919	Statement	[	32:12:1045:1045	184873	3	True				
ANR	184920	Statement	0	32:13:1046:1046	184873	4	True				
ANR	184921	Statement	]	32:14:1047:1047	184873	5	True				
ANR	184922	Statement	=	32:16:1049:1049	184873	6	True				
ANR	184923	Statement	L	32:18:1051:1051	184873	7	True				
ANR	184924	ExpressionStatement	'\\0'	32:19:1052:1056	184873	8	True				
ANR	184925	PrimaryExpression	'\\0'		184873	0					
ANR	184926	CompoundStatement		12:8:356:375	184873	3					
ANR	184927	IdentifierDeclStatement	wchar_t source [ 100 ] ;	35:8:1102:1121	184873	0	True				
