command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	192556	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1200-c/testcases/000/233/945/CWE122_Heap_Based_Buffer_Overflow__c_dest_wchar_t_cat_61a.c								
ANR	192557	DeclStmt									
ANR	192558	Decl							wchar_t	wchar_t * ( wchar_t * data )	CWE122_Heap_Based_Buffer_Overflow__c_dest_wchar_t_cat_61b_badSource
ANR	192559	Function	CWE122_Heap_Based_Buffer_Overflow__c_dest_wchar_t_cat_61_bad	26:0:826:1368							
ANR	192560	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_dest_wchar_t_cat_61_bad ()		192559	0					
ANR	192561	CompoundStatement		27:0:895:1368	192559	0					
ANR	192562	IdentifierDeclStatement	wchar_t * data ;	28:4:902:916	192559	0	True				
ANR	192563	IdentifierDecl	* data		192559	0					
ANR	192564	IdentifierDeclType	wchar_t *		192559	0					
ANR	192565	Identifier	data		192559	1					
ANR	192566	ExpressionStatement	data = NULL	29:4:923:934	192559	1	True				
ANR	192567	AssignmentExpression	data = NULL		192559	0		=			
ANR	192568	Identifier	data		192559	0					
ANR	192569	Identifier	NULL		192559	1					
ANR	192570	ExpressionStatement	data = CWE122_Heap_Based_Buffer_Overflow__c_dest_wchar_t_cat_61b_badSource ( data )	30:4:941:1021	192559	2	True				
ANR	192571	AssignmentExpression	data = CWE122_Heap_Based_Buffer_Overflow__c_dest_wchar_t_cat_61b_badSource ( data )		192559	0		=			
ANR	192572	Identifier	data		192559	0					
ANR	192573	CallExpression	CWE122_Heap_Based_Buffer_Overflow__c_dest_wchar_t_cat_61b_badSource ( data )		192559	1					
ANR	192574	Callee	CWE122_Heap_Based_Buffer_Overflow__c_dest_wchar_t_cat_61b_badSource		192559	0					
ANR	192575	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_dest_wchar_t_cat_61b_badSource		192559	0					
ANR	192576	ArgumentList	data		192559	1					
ANR	192577	Argument	data		192559	0					
ANR	192578	Identifier	data		192559	0					
ANR	192579	CompoundStatement		6:8:143:162	192559	3					
ANR	192580	IdentifierDeclStatement	wchar_t source [ 100 ] ;	32:8:1039:1058	192559	0	True				
ANR	192581	IdentifierDecl	source [ 100 ]		192559	0					
ANR	192582	IdentifierDeclType	wchar_t [ 100 ]		192559	0					
ANR	192583	Identifier	source		192559	1					
ANR	192584	PrimaryExpression	100		192559	2					
ANR	192585	Statement	wmemset	33:8:1069:1075	192559	1	True				
ANR	192586	Statement	(	33:15:1076:1076	192559	2	True				
ANR	192587	Statement	source	33:16:1077:1082	192559	3	True				
ANR	192588	Statement	","	33:22:1083:1083	192559	4	True				
ANR	192589	Statement	L	33:24:1085:1085	192559	5	True				
ANR	192590	Statement	'C'	33:25:1086:1088	192559	6	True				
ANR	192591	Statement	","	33:28:1089:1089	192559	7	True				
ANR	192592	Statement	100	33:30:1091:1093	192559	8	True				
ANR	192593	Statement	-	33:33:1094:1094	192559	9	True				
ANR	192594	Statement	1	33:34:1095:1095	192559	10	True				
ANR	192595	Statement	)	33:35:1096:1096	192559	11	True				
ANR	192596	ExpressionStatement		33:36:1097:1097	192559	12	True				
ANR	192597	Statement	source	34:8:1130:1135	192559	13	True				
ANR	192598	Statement	[	34:14:1136:1136	192559	14	True				
ANR	192599	Statement	100	34:15:1137:1139	192559	15	True				
ANR	192600	Statement	-	34:18:1140:1140	192559	16	True				
ANR	192601	Statement	1	34:19:1141:1141	192559	17	True				
ANR	192602	Statement	]	34:20:1142:1142	192559	18	True				
ANR	192603	Statement	=	34:22:1144:1144	192559	19	True				
ANR	192604	Statement	L	34:24:1146:1146	192559	20	True				
ANR	192605	ExpressionStatement	'\\0'	34:25:1147:1151	192559	21	True				
ANR	192606	PrimaryExpression	'\\0'		192559	0					
ANR	192607	ExpressionStatement	"wcscat ( data , source )"	36:8:1290:1310	192559	22	True				
ANR	192608	CallExpression	"wcscat ( data , source )"		192559	0					
ANR	192609	Callee	wcscat		192559	0					
ANR	192610	Identifier	wcscat		192559	0					
ANR	192611	ArgumentList	data		192559	1					
ANR	192612	Argument	data		192559	0					
ANR	192613	Identifier	data		192559	0					
ANR	192614	Argument	source		192559	1					
ANR	192615	Identifier	source		192559	0					
ANR	192616	ExpressionStatement	printWLine ( data )	37:8:1321:1337	192559	23	True				
ANR	192617	CallExpression	printWLine ( data )		192559	0					
ANR	192618	Callee	printWLine		192559	0					
ANR	192619	Identifier	printWLine		192559	0					
ANR	192620	ArgumentList	data		192559	1					
ANR	192621	Argument	data		192559	0					
ANR	192622	Identifier	data		192559	0					
ANR	192623	ExpressionStatement	free ( data )	38:8:1348:1358	192559	24	True				
ANR	192624	CallExpression	free ( data )		192559	0					
ANR	192625	Callee	free		192559	0					
ANR	192626	Identifier	free		192559	0					
ANR	192627	ArgumentList	data		192559	1					
ANR	192628	Argument	data		192559	0					
ANR	192629	Identifier	data		192559	0					
ANR	192630	ReturnType	void		192559	1					
ANR	192631	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_dest_wchar_t_cat_61_bad		192559	2					
ANR	192632	ParameterList			192559	3					
ANR	192633	CFGEntryNode	ENTRY		192559		True				
ANR	192634	CFGExitNode	EXIT		192559		True				
ANR	192635	Symbol	NULL		192559						
ANR	192636	Symbol	data		192559						
ANR	192637	Symbol	source		192559						
ANR	192638	Symbol	CWE122_Heap_Based_Buffer_Overflow__c_dest_wchar_t_cat_61b_badSource		192559						
ANR	192639	DeclStmt									
ANR	192640	Decl							wchar_t	wchar_t * ( wchar_t * data )	CWE122_Heap_Based_Buffer_Overflow__c_dest_wchar_t_cat_61b_goodG2BSource
ANR	192641	Function	goodG2B	49:0:1571:2071							
ANR	192642	FunctionDef	goodG2B ()		192641	0					
ANR	192643	CompoundStatement		50:0:1594:2071	192641	0					
ANR	192644	IdentifierDeclStatement	wchar_t * data ;	51:4:1601:1615	192641	0	True				
ANR	192645	IdentifierDecl	* data		192641	0					
ANR	192646	IdentifierDeclType	wchar_t *		192641	0					
ANR	192647	Identifier	data		192641	1					
ANR	192648	ExpressionStatement	data = NULL	52:4:1622:1633	192641	1	True				
ANR	192649	AssignmentExpression	data = NULL		192641	0		=			
ANR	192650	Identifier	data		192641	0					
ANR	192651	Identifier	NULL		192641	1					
ANR	192652	ExpressionStatement	data = CWE122_Heap_Based_Buffer_Overflow__c_dest_wchar_t_cat_61b_goodG2BSource ( data )	53:4:1640:1724	192641	2	True				
ANR	192653	AssignmentExpression	data = CWE122_Heap_Based_Buffer_Overflow__c_dest_wchar_t_cat_61b_goodG2BSource ( data )		192641	0		=			
ANR	192654	Identifier	data		192641	0					
ANR	192655	CallExpression	CWE122_Heap_Based_Buffer_Overflow__c_dest_wchar_t_cat_61b_goodG2BSource ( data )		192641	1					
