command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	198114	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1200-c/testcases/000/233/961/CWE122_Heap_Based_Buffer_Overflow__c_dest_wchar_t_cpy_13.c								
ANR	198115	Function	CWE122_Heap_Based_Buffer_Overflow__c_dest_wchar_t_cpy_13_bad	23:0:681:1418							
ANR	198116	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_dest_wchar_t_cpy_13_bad ()		198115	0					
ANR	198117	CompoundStatement		24:0:750:1418	198115	0					
ANR	198118	IdentifierDeclStatement	wchar_t * data ;	25:4:757:771	198115	0	True				
ANR	198119	IdentifierDecl	* data		198115	0					
ANR	198120	IdentifierDeclType	wchar_t *		198115	0					
ANR	198121	Identifier	data		198115	1					
ANR	198122	ExpressionStatement	data = NULL	26:4:778:789	198115	1	True				
ANR	198123	AssignmentExpression	data = NULL		198115	0		=			
ANR	198124	Identifier	data		198115	0					
ANR	198125	Identifier	NULL		198115	1					
ANR	198126	IfStatement	if ( GLOBAL_CONST_FIVE == 5 )		198115	2					
ANR	198127	Condition	GLOBAL_CONST_FIVE == 5	27:7:799:818	198115	0	True				
ANR	198128	EqualityExpression	GLOBAL_CONST_FIVE == 5		198115	0		==			
ANR	198129	Identifier	GLOBAL_CONST_FIVE		198115	0					
ANR	198130	PrimaryExpression	5		198115	1					
ANR	198131	CompoundStatement		5:4:75:75	198115	1					
ANR	198132	ExpressionStatement	data = ( wchar_t * ) malloc ( 50 * sizeof ( wchar_t ) )	30:8:956:1000	198115	0	True				
ANR	198133	AssignmentExpression	data = ( wchar_t * ) malloc ( 50 * sizeof ( wchar_t ) )		198115	0		=			
ANR	198134	Identifier	data		198115	0					
ANR	198135	CastExpression	( wchar_t * ) malloc ( 50 * sizeof ( wchar_t ) )		198115	1					
ANR	198136	CastTarget	wchar_t *		198115	0					
ANR	198137	CallExpression	malloc ( 50 * sizeof ( wchar_t ) )		198115	1					
ANR	198138	Callee	malloc		198115	0					
ANR	198139	Identifier	malloc		198115	0					
ANR	198140	ArgumentList	50 * sizeof ( wchar_t )		198115	1					
ANR	198141	Argument	50 * sizeof ( wchar_t )		198115	0					
ANR	198142	MultiplicativeExpression	50 * sizeof ( wchar_t )		198115	0		*			
ANR	198143	PrimaryExpression	50		198115	0					
ANR	198144	SizeofExpression	sizeof ( wchar_t )		198115	1					
ANR	198145	Sizeof	sizeof		198115	0					
ANR	198146	SizeofOperand	wchar_t		198115	1					
ANR	198147	IfStatement	if ( data == NULL )		198115	1					
ANR	198148	Condition	data == NULL	31:12:1015:1026	198115	0	True				
ANR	198149	EqualityExpression	data == NULL		198115	0		==			
ANR	198150	Identifier	data		198115	0					
ANR	198151	Identifier	NULL		198115	1					
ANR	198152	CompoundStatement		8:26:278:278	198115	1					
ANR	198153	ExpressionStatement	exit ( - 1 )	31:27:1030:1038	198115	0	True				
ANR	198154	CallExpression	exit ( - 1 )		198115	0					
ANR	198155	Callee	exit		198115	0					
ANR	198156	Identifier	exit		198115	0					
ANR	198157	ArgumentList	- 1		198115	1					
ANR	198158	Argument	- 1		198115	0					
ANR	198159	UnaryOperationExpression	- 1		198115	0					
ANR	198160	UnaryOperator	-		198115	0					
ANR	198161	PrimaryExpression	1		198115	1					
ANR	198162	Statement	data	32:8:1049:1052	198115	2	True				
ANR	198163	Statement	[	32:12:1053:1053	198115	3	True				
ANR	198164	Statement	0	32:13:1054:1054	198115	4	True				
ANR	198165	Statement	]	32:14:1055:1055	198115	5	True				
ANR	198166	Statement	=	32:16:1057:1057	198115	6	True				
ANR	198167	Statement	L	32:18:1059:1059	198115	7	True				
ANR	198168	ExpressionStatement	'\\0'	32:19:1060:1064	198115	8	True				
ANR	198169	PrimaryExpression	'\\0'		198115	0					
ANR	198170	CompoundStatement		12:8:359:378	198115	3					
ANR	198171	IdentifierDeclStatement	wchar_t source [ 100 ] ;	35:8:1110:1129	198115	0	True				
ANR	198172	IdentifierDecl	source [ 100 ]		198115	0					
ANR	198173	IdentifierDeclType	wchar_t [ 100 ]		198115	0					
ANR	198174	Identifier	source		198115	1					
ANR	198175	PrimaryExpression	100		198115	2					
ANR	198176	Statement	wmemset	36:8:1140:1146	198115	1	True				
ANR	198177	Statement	(	36:15:1147:1147	198115	2	True				
ANR	198178	Statement	source	36:16:1148:1153	198115	3	True				
ANR	198179	Statement	","	36:22:1154:1154	198115	4	True				
ANR	198180	Statement	L	36:24:1156:1156	198115	5	True				
ANR	198181	Statement	'C'	36:25:1157:1159	198115	6	True				
ANR	198182	Statement	","	36:28:1160:1160	198115	7	True				
ANR	198183	Statement	100	36:30:1162:1164	198115	8	True				
ANR	198184	Statement	-	36:33:1165:1165	198115	9	True				
ANR	198185	Statement	1	36:34:1166:1166	198115	10	True				
ANR	198186	Statement	)	36:35:1167:1167	198115	11	True				
ANR	198187	ExpressionStatement		36:36:1168:1168	198115	12	True				
ANR	198188	Statement	source	37:8:1201:1206	198115	13	True				
ANR	198189	Statement	[	37:14:1207:1207	198115	14	True				
ANR	198190	Statement	100	37:15:1208:1210	198115	15	True				
ANR	198191	Statement	-	37:18:1211:1211	198115	16	True				
ANR	198192	Statement	1	37:19:1212:1212	198115	17	True				
ANR	198193	Statement	]	37:20:1213:1213	198115	18	True				
ANR	198194	Statement	=	37:22:1215:1215	198115	19	True				
ANR	198195	Statement	L	37:24:1217:1217	198115	20	True				
ANR	198196	ExpressionStatement	'\\0'	37:25:1218:1222	198115	21	True				
ANR	198197	PrimaryExpression	'\\0'		198115	0					
ANR	198198	ExpressionStatement	"wcscpy ( data , source )"	39:8:1340:1360	198115	22	True				
