start	end	type	var
199799	199800	IS_AST_PARENT	
199799	199801	IS_AST_PARENT	
199798	199799	IS_AST_PARENT	
199797	199798	IS_AST_PARENT	
199803	199804	IS_AST_PARENT	
199803	199805	IS_AST_PARENT	
199802	199803	IS_AST_PARENT	
199797	199802	IS_AST_PARENT	
199807	199808	IS_AST_PARENT	
199807	199809	IS_AST_PARENT	
199806	199807	IS_AST_PARENT	
199797	199806	IS_AST_PARENT	
199812	199813	IS_AST_PARENT	
199812	199814	IS_AST_PARENT	
199811	199812	IS_AST_PARENT	
199810	199811	IS_AST_PARENT	
199816	199817	IS_AST_PARENT	
199816	199818	IS_AST_PARENT	
199815	199816	IS_AST_PARENT	
199810	199815	IS_AST_PARENT	
199819	199820	IS_AST_PARENT	
199819	199821	IS_AST_PARENT	
199810	199819	IS_AST_PARENT	
199824	199825	IS_AST_PARENT	
199826	199827	IS_AST_PARENT	
199829	199830	IS_AST_PARENT	
199828	199829	IS_AST_PARENT	
199833	199834	IS_AST_PARENT	
199835	199836	IS_AST_PARENT	
199835	199837	IS_AST_PARENT	
199833	199835	IS_AST_PARENT	
199832	199833	IS_AST_PARENT	
199831	199832	IS_AST_PARENT	
199828	199831	IS_AST_PARENT	
199826	199828	IS_AST_PARENT	
199824	199826	IS_AST_PARENT	
199823	199824	IS_AST_PARENT	
199822	199823	IS_AST_PARENT	
199840	199841	IS_AST_PARENT	
199840	199842	IS_AST_PARENT	
199839	199840	IS_AST_PARENT	
199838	199839	IS_AST_PARENT	
199846	199847	IS_AST_PARENT	
199845	199846	IS_AST_PARENT	
199850	199851	IS_AST_PARENT	
199850	199852	IS_AST_PARENT	
199849	199850	IS_AST_PARENT	
199848	199849	IS_AST_PARENT	
199845	199848	IS_AST_PARENT	
199844	199845	IS_AST_PARENT	
199843	199844	IS_AST_PARENT	
199838	199843	IS_AST_PARENT	
199822	199838	IS_AST_PARENT	
199822	199853	IS_AST_PARENT	
199822	199854	IS_AST_PARENT	
199822	199855	IS_AST_PARENT	
199822	199856	IS_AST_PARENT	
199822	199857	IS_AST_PARENT	
199822	199858	IS_AST_PARENT	
199859	199860	IS_AST_PARENT	
199822	199859	IS_AST_PARENT	
199810	199822	IS_AST_PARENT	
199797	199810	IS_AST_PARENT	
199863	199864	IS_AST_PARENT	
199863	199865	IS_AST_PARENT	
199863	199866	IS_AST_PARENT	
199862	199863	IS_AST_PARENT	
199861	199862	IS_AST_PARENT	
199861	199867	IS_AST_PARENT	
199861	199868	IS_AST_PARENT	
199861	199869	IS_AST_PARENT	
199861	199870	IS_AST_PARENT	
199861	199871	IS_AST_PARENT	
199861	199872	IS_AST_PARENT	
199861	199873	IS_AST_PARENT	
199861	199874	IS_AST_PARENT	
199861	199875	IS_AST_PARENT	
199861	199876	IS_AST_PARENT	
199861	199877	IS_AST_PARENT	
199861	199878	IS_AST_PARENT	
199861	199879	IS_AST_PARENT	
199861	199880	IS_AST_PARENT	
199861	199881	IS_AST_PARENT	
199861	199882	IS_AST_PARENT	
199861	199883	IS_AST_PARENT	
199861	199884	IS_AST_PARENT	
199861	199885	IS_AST_PARENT	
199861	199886	IS_AST_PARENT	
199887	199888	IS_AST_PARENT	
199861	199887	IS_AST_PARENT	
199891	199892	IS_AST_PARENT	
