start	end	type	var
200988	200989	DECLARES	
200990	200991	DECLARES	
200996	200997	IS_AST_PARENT	
200996	200998	IS_AST_PARENT	
200995	200996	IS_AST_PARENT	
200994	200995	IS_AST_PARENT	
201000	201001	IS_AST_PARENT	
201000	201002	IS_AST_PARENT	
200999	201000	IS_AST_PARENT	
200994	200999	IS_AST_PARENT	
201004	201005	IS_AST_PARENT	
201004	201006	IS_AST_PARENT	
201003	201004	IS_AST_PARENT	
200994	201003	IS_AST_PARENT	
201008	201009	IS_AST_PARENT	
201011	201012	IS_AST_PARENT	
201010	201011	IS_AST_PARENT	
201014	201015	IS_AST_PARENT	
201013	201014	IS_AST_PARENT	
201010	201013	IS_AST_PARENT	
201008	201010	IS_AST_PARENT	
201007	201008	IS_AST_PARENT	
200994	201007	IS_AST_PARENT	
201018	201019	IS_AST_PARENT	
201018	201020	IS_AST_PARENT	
201018	201021	IS_AST_PARENT	
201017	201018	IS_AST_PARENT	
201016	201017	IS_AST_PARENT	
201016	201022	IS_AST_PARENT	
201016	201023	IS_AST_PARENT	
201016	201024	IS_AST_PARENT	
201016	201025	IS_AST_PARENT	
201016	201026	IS_AST_PARENT	
201016	201027	IS_AST_PARENT	
201016	201028	IS_AST_PARENT	
201016	201029	IS_AST_PARENT	
201016	201030	IS_AST_PARENT	
201016	201031	IS_AST_PARENT	
201016	201032	IS_AST_PARENT	
201016	201033	IS_AST_PARENT	
201016	201034	IS_AST_PARENT	
201016	201035	IS_AST_PARENT	
201016	201036	IS_AST_PARENT	
201016	201037	IS_AST_PARENT	
201016	201038	IS_AST_PARENT	
201016	201039	IS_AST_PARENT	
201016	201040	IS_AST_PARENT	
201016	201041	IS_AST_PARENT	
201042	201043	IS_AST_PARENT	
201016	201042	IS_AST_PARENT	
201046	201047	IS_AST_PARENT	
201045	201046	IS_AST_PARENT	
201049	201050	IS_AST_PARENT	
201048	201049	IS_AST_PARENT	
201051	201052	IS_AST_PARENT	
201048	201051	IS_AST_PARENT	
201045	201048	IS_AST_PARENT	
201044	201045	IS_AST_PARENT	
201016	201044	IS_AST_PARENT	
201055	201056	IS_AST_PARENT	
201054	201055	IS_AST_PARENT	
201058	201059	IS_AST_PARENT	
201057	201058	IS_AST_PARENT	
201054	201057	IS_AST_PARENT	
201053	201054	IS_AST_PARENT	
201016	201053	IS_AST_PARENT	
201062	201063	IS_AST_PARENT	
201061	201062	IS_AST_PARENT	
201065	201066	IS_AST_PARENT	
201064	201065	IS_AST_PARENT	
201061	201064	IS_AST_PARENT	
201060	201061	IS_AST_PARENT	
201016	201060	IS_AST_PARENT	
200994	201016	IS_AST_PARENT	
200993	200994	IS_AST_PARENT	
200993	201067	IS_AST_PARENT	
200993	201068	IS_AST_PARENT	
200993	201069	IS_AST_PARENT	
201070	200995	FLOWS_TO	
200995	200999	FLOWS_TO	
200999	201003	FLOWS_TO	
201003	201007	FLOWS_TO	
201007	201017	FLOWS_TO	
201017	201022	FLOWS_TO	
201022	201023	FLOWS_TO	
201023	201024	FLOWS_TO	
201024	201025	FLOWS_TO	
201025	201026	FLOWS_TO	
201026	201027	FLOWS_TO	
201027	201028	FLOWS_TO	
201028	201029	FLOWS_TO	
201029	201030	FLOWS_TO	
201030	201031	FLOWS_TO	
201031	201032	FLOWS_TO	
201032	201033	FLOWS_TO	
201033	201034	FLOWS_TO	
201034	201035	FLOWS_TO	
201035	201036	FLOWS_TO	
201036	201037	FLOWS_TO	
201037	201038	FLOWS_TO	
201038	201039	FLOWS_TO	
201039	201040	FLOWS_TO	
201040	201041	FLOWS_TO	
201041	201042	FLOWS_TO	
201042	201044	FLOWS_TO	
201044	201053	FLOWS_TO	
201053	201060	FLOWS_TO	
201060	201071	FLOWS_TO	
200999	201072	USE	
201000	201072	USE	
200995	201073	DEF	
200996	201073	DEF	
200999	201073	DEF	
201000	201073	DEF	
201007	201073	DEF	
201008	201073	DEF	
201007	201073	USE	
201014	201073	USE	
201044	201073	USE	
201049	201073	USE	
201053	201073	USE	
201058	201073	USE	
201060	201073	USE	
201065	201073	USE	
201007	201074	USE	
201008	201074	USE	
201003	201075	DEF	
201004	201075	DEF	
201017	201076	DEF	
201018	201076	DEF	
201044	201076	USE	
201051	201076	USE	
200999	201007	REACHES	data
