command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	208087	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1200-c/testcases/000/233/991/CWE122_Heap_Based_Buffer_Overflow__c_src_char_cat_10.c								
ANR	208088	Function	CWE122_Heap_Based_Buffer_Overflow__c_src_char_cat_10_bad	23:0:599:1237							
ANR	208089	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_src_char_cat_10_bad ()		208088	0					
ANR	208090	CompoundStatement		24:0:664:1237	208088	0					
ANR	208091	IdentifierDeclStatement	char * data ;	25:4:671:682	208088	0	True				
ANR	208092	IdentifierDecl	* data		208088	0					
ANR	208093	IdentifierDeclType	char *		208088	0					
ANR	208094	Identifier	data		208088	1					
ANR	208095	ExpressionStatement	data = ( char * ) malloc ( 100 * sizeof ( char ) )	26:4:689:728	208088	1	True				
ANR	208096	AssignmentExpression	data = ( char * ) malloc ( 100 * sizeof ( char ) )		208088	0		=			
ANR	208097	Identifier	data		208088	0					
ANR	208098	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		208088	1					
ANR	208099	CastTarget	char *		208088	0					
ANR	208100	CallExpression	malloc ( 100 * sizeof ( char ) )		208088	1					
ANR	208101	Callee	malloc		208088	0					
ANR	208102	Identifier	malloc		208088	0					
ANR	208103	ArgumentList	100 * sizeof ( char )		208088	1					
ANR	208104	Argument	100 * sizeof ( char )		208088	0					
ANR	208105	MultiplicativeExpression	100 * sizeof ( char )		208088	0		*			
ANR	208106	PrimaryExpression	100		208088	0					
ANR	208107	SizeofExpression	sizeof ( char )		208088	1					
ANR	208108	Sizeof	sizeof		208088	0					
ANR	208109	SizeofOperand	char		208088	1					
ANR	208110	IfStatement	if ( data == NULL )		208088	2					
ANR	208111	Condition	data == NULL	27:8:739:750	208088	0	True				
ANR	208112	EqualityExpression	data == NULL		208088	0		==			
ANR	208113	Identifier	data		208088	0					
ANR	208114	Identifier	NULL		208088	1					
ANR	208115	CompoundStatement		4:22:88:88	208088	1					
ANR	208116	ExpressionStatement	exit ( - 1 )	27:23:754:762	208088	0	True				
ANR	208117	CallExpression	exit ( - 1 )		208088	0					
ANR	208118	Callee	exit		208088	0					
ANR	208119	Identifier	exit		208088	0					
ANR	208120	ArgumentList	- 1		208088	1					
ANR	208121	Argument	- 1		208088	0					
ANR	208122	UnaryOperationExpression	- 1		208088	0					
ANR	208123	UnaryOperator	-		208088	0					
ANR	208124	PrimaryExpression	1		208088	1					
ANR	208125	IfStatement	if ( globalTrue )		208088	3					
ANR	208126	Condition	globalTrue	28:7:772:781	208088	0	True				
ANR	208127	Identifier	globalTrue		208088	0					
ANR	208128	CompoundStatement		6:4:124:124	208088	1					
ANR	208129	ExpressionStatement	"memset ( data , 'A' , 100 - 1 )"	31:8:909:933	208088	0	True				
ANR	208130	CallExpression	"memset ( data , 'A' , 100 - 1 )"		208088	0					
ANR	208131	Callee	memset		208088	0					
ANR	208132	Identifier	memset		208088	0					
ANR	208133	ArgumentList	data		208088	1					
ANR	208134	Argument	data		208088	0					
ANR	208135	Identifier	data		208088	0					
ANR	208136	Argument	'A'		208088	1					
ANR	208137	PrimaryExpression	'A'		208088	0					
ANR	208138	Argument	100 - 1		208088	2					
ANR	208139	AdditiveExpression	100 - 1		208088	0		-			
ANR	208140	PrimaryExpression	100		208088	0					
ANR	208141	PrimaryExpression	1		208088	1					
ANR	208142	ExpressionStatement	data [ 100 - 1 ] = '\\0'	32:8:965:983	208088	1	True				
ANR	208143	AssignmentExpression	data [ 100 - 1 ] = '\\0'		208088	0		=			
ANR	208144	ArrayIndexing	data [ 100 - 1 ]		208088	0					
ANR	208145	Identifier	data		208088	0					
ANR	208146	AdditiveExpression	100 - 1		208088	1		-			
ANR	208147	PrimaryExpression	100		208088	0					
ANR	208148	PrimaryExpression	1		208088	1					
ANR	208149	PrimaryExpression	'\\0'		208088	1					
ANR	208150	CompoundStatement		12:8:364:382	208088	4					
ANR	208151	IdentifierDeclStatement	"char dest [ 50 ] = """" ;"	35:8:1029:1047	208088	0	True				
ANR	208152	IdentifierDecl	"dest [ 50 ] = """""		208088	0					
ANR	208153	IdentifierDeclType	char [ 50 ]		208088	0					
ANR	208154	Identifier	dest		208088	1					
ANR	208155	PrimaryExpression	50		208088	2					
ANR	208156	AssignmentExpression	"dest [ 50 ] = """""		208088	3		=			
ANR	208157	Identifier	dest		208088	0					
ANR	208158	PrimaryExpression	""""""		208088	1					
ANR	208159	ExpressionStatement	"strcat ( dest , data )"	37:8:1162:1180	208088	1	True				
ANR	208160	CallExpression	"strcat ( dest , data )"		208088	0					
ANR	208161	Callee	strcat		208088	0					
ANR	208162	Identifier	strcat		208088	0					
ANR	208163	ArgumentList	dest		208088	1					
ANR	208164	Argument	dest		208088	0					
ANR	208165	Identifier	dest		208088	0					
ANR	208166	Argument	data		208088	1					
ANR	208167	Identifier	data		208088	0					
ANR	208168	ExpressionStatement	printLine ( data )	38:8:1191:1206	208088	2	True				
ANR	208169	CallExpression	printLine ( data )		208088	0					
ANR	208170	Callee	printLine		208088	0					
ANR	208171	Identifier	printLine		208088	0					
ANR	208172	ArgumentList	data		208088	1					
ANR	208173	Argument	data		208088	0					
ANR	208174	Identifier	data		208088	0					
ANR	208175	ExpressionStatement	free ( data )	39:8:1217:1227	208088	3	True				
ANR	208176	CallExpression	free ( data )		208088	0					
ANR	208177	Callee	free		208088	0					
ANR	208178	Identifier	free		208088	0					
ANR	208179	ArgumentList	data		208088	1					
ANR	208180	Argument	data		208088	0					
ANR	208181	Identifier	data		208088	0					
ANR	208182	ReturnType	void		208088	1					
ANR	208183	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_src_char_cat_10_bad		208088	2					
ANR	208184	ParameterList			208088	3					
ANR	208185	CFGEntryNode	ENTRY		208088		True				
ANR	208186	CFGExitNode	EXIT		208088		True				
ANR	208187	Symbol	malloc		208088						
ANR	208188	Symbol	globalTrue		208088						
ANR	208189	Symbol	NULL		208088						
ANR	208190	Symbol	data		208088						
ANR	208191	Symbol	dest		208088						
ANR	208192	Symbol	* data		208088						
ANR	208193	Function	goodG2B1	48:0:1375:2124							
ANR	208194	FunctionDef	goodG2B1 ()		208193	0					
ANR	208195	CompoundStatement		49:0:1399:2124	208193	0					
ANR	208196	IdentifierDeclStatement	char * data ;	50:4:1406:1417	208193	0	True				
ANR	208197	IdentifierDecl	* data		208193	0					
ANR	208198	IdentifierDeclType	char *		208193	0					
ANR	208199	Identifier	data		208193	1					
ANR	208200	ExpressionStatement	data = ( char * ) malloc ( 100 * sizeof ( char ) )	51:4:1424:1463	208193	1	True				
ANR	208201	AssignmentExpression	data = ( char * ) malloc ( 100 * sizeof ( char ) )		208193	0		=			
ANR	208202	Identifier	data		208193	0					
ANR	208203	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		208193	1					
ANR	208204	CastTarget	char *		208193	0					
ANR	208205	CallExpression	malloc ( 100 * sizeof ( char ) )		208193	1					
ANR	208206	Callee	malloc		208193	0					
ANR	208207	Identifier	malloc		208193	0					
ANR	208208	ArgumentList	100 * sizeof ( char )		208193	1					
ANR	208209	Argument	100 * sizeof ( char )		208193	0					
