start	end	type	var
214034	214035	DECLARES	
214036	214037	DECLARES	
214042	214043	IS_AST_PARENT	
214042	214044	IS_AST_PARENT	
214045	214046	IS_AST_PARENT	
214045	214047	IS_AST_PARENT	
214042	214045	IS_AST_PARENT	
214041	214042	IS_AST_PARENT	
214040	214041	IS_AST_PARENT	
214050	214051	IS_AST_PARENT	
214050	214052	IS_AST_PARENT	
214050	214053	IS_AST_PARENT	
214054	214055	IS_AST_PARENT	
214054	214056	IS_AST_PARENT	
214050	214054	IS_AST_PARENT	
214049	214050	IS_AST_PARENT	
214048	214049	IS_AST_PARENT	
214059	214060	IS_AST_PARENT	
214058	214059	IS_AST_PARENT	
214062	214063	IS_AST_PARENT	
214061	214062	IS_AST_PARENT	
214064	214065	IS_AST_PARENT	
214061	214064	IS_AST_PARENT	
214058	214061	IS_AST_PARENT	
214057	214058	IS_AST_PARENT	
214048	214057	IS_AST_PARENT	
214068	214069	IS_AST_PARENT	
214067	214068	IS_AST_PARENT	
214071	214072	IS_AST_PARENT	
214070	214071	IS_AST_PARENT	
214067	214070	IS_AST_PARENT	
214066	214067	IS_AST_PARENT	
214048	214066	IS_AST_PARENT	
214075	214076	IS_AST_PARENT	
214074	214075	IS_AST_PARENT	
214078	214079	IS_AST_PARENT	
214077	214078	IS_AST_PARENT	
214074	214077	IS_AST_PARENT	
214073	214074	IS_AST_PARENT	
214048	214073	IS_AST_PARENT	
214040	214048	IS_AST_PARENT	
214039	214040	IS_AST_PARENT	
214039	214080	IS_AST_PARENT	
214039	214081	IS_AST_PARENT	
214039	214082	IS_AST_PARENT	
214083	214041	FLOWS_TO	
214041	214049	FLOWS_TO	
214049	214057	FLOWS_TO	
214057	214066	FLOWS_TO	
214066	214073	FLOWS_TO	
214073	214084	FLOWS_TO	
214041	214085	DEF	
214042	214085	DEF	
214057	214085	USE	
214064	214085	USE	
214066	214085	USE	
214071	214085	USE	
214073	214085	USE	
214078	214085	USE	
214041	214086	USE	
214045	214086	USE	
214041	214086	DEF	
214045	214086	DEF	
214049	214087	DEF	
214054	214087	DEF	
214050	214087	DEF	
214057	214087	USE	
214062	214087	USE	
214041	214057	REACHES	data
