start	end	type	var
220868	220869	IS_FILE_OF	
220870	220871	DECLARES	
220869	220870	IS_CLASS_OF	
220872	220873	DECLARES	
220869	220872	IS_CLASS_OF	
220868	220874	IS_FILE_OF	
220875	220876	DECLARES	
220874	220875	IS_CLASS_OF	
220868	220877	IS_FILE_OF	
220878	220879	DECLARES	
220877	220878	IS_CLASS_OF	
220880	220881	DECLARES	
220877	220880	IS_CLASS_OF	
220882	220883	DECLARES	
220884	220885	DECLARES	
220886	220887	DECLARES	
220888	220889	DECLARES	
220890	220891	DECLARES	
220892	220893	DECLARES	
220894	220895	DECLARES	
