start	end	type	var
224936	224937	IS_AST_PARENT	
224936	224938	IS_AST_PARENT	
224936	224939	IS_AST_PARENT	
224936	224940	IS_AST_PARENT	
224936	224941	IS_AST_PARENT	
224936	224942	IS_AST_PARENT	
224936	224943	IS_AST_PARENT	
224944	224945	IS_AST_PARENT	
224936	224944	IS_AST_PARENT	
224948	224949	IS_AST_PARENT	
224947	224948	IS_AST_PARENT	
224951	224952	IS_AST_PARENT	
224950	224951	IS_AST_PARENT	
224953	224954	IS_AST_PARENT	
224950	224953	IS_AST_PARENT	
224957	224958	IS_AST_PARENT	
224956	224957	IS_AST_PARENT	
224960	224961	IS_AST_PARENT	
224959	224960	IS_AST_PARENT	
224956	224959	IS_AST_PARENT	
224955	224956	IS_AST_PARENT	
224950	224955	IS_AST_PARENT	
224947	224950	IS_AST_PARENT	
224946	224947	IS_AST_PARENT	
224936	224946	IS_AST_PARENT	
224936	224962	IS_AST_PARENT	
224936	224963	IS_AST_PARENT	
224936	224964	IS_AST_PARENT	
224936	224965	IS_AST_PARENT	
224936	224966	IS_AST_PARENT	
224936	224967	IS_AST_PARENT	
224936	224968	IS_AST_PARENT	
224936	224969	IS_AST_PARENT	
224970	224971	IS_AST_PARENT	
224936	224970	IS_AST_PARENT	
224974	224975	IS_AST_PARENT	
224973	224974	IS_AST_PARENT	
224977	224978	IS_AST_PARENT	
224976	224977	IS_AST_PARENT	
224973	224976	IS_AST_PARENT	
224972	224973	IS_AST_PARENT	
224936	224972	IS_AST_PARENT	
224981	224982	IS_AST_PARENT	
224980	224981	IS_AST_PARENT	
224984	224985	IS_AST_PARENT	
224983	224984	IS_AST_PARENT	
224980	224983	IS_AST_PARENT	
224979	224980	IS_AST_PARENT	
224936	224979	IS_AST_PARENT	
224935	224936	IS_AST_PARENT	
224934	224935	IS_AST_PARENT	
224934	224986	IS_AST_PARENT	
224934	224987	IS_AST_PARENT	
224989	224990	IS_AST_PARENT	
224989	224991	IS_AST_PARENT	
224988	224989	IS_AST_PARENT	
224934	224988	IS_AST_PARENT	
224992	224989	FLOWS_TO	
224989	224937	FLOWS_TO	
224937	224938	FLOWS_TO	
224938	224939	FLOWS_TO	
224939	224940	FLOWS_TO	
224940	224941	FLOWS_TO	
224941	224942	FLOWS_TO	
224942	224943	FLOWS_TO	
224943	224944	FLOWS_TO	
224944	224946	FLOWS_TO	
224946	224962	FLOWS_TO	
224962	224963	FLOWS_TO	
224963	224964	FLOWS_TO	
224964	224965	FLOWS_TO	
224965	224966	FLOWS_TO	
224966	224967	FLOWS_TO	
224967	224968	FLOWS_TO	
224968	224969	FLOWS_TO	
224969	224970	FLOWS_TO	
224970	224972	FLOWS_TO	
224972	224979	FLOWS_TO	
224979	224993	FLOWS_TO	
224989	224994	DEF	
224946	224994	USE	
224953	224994	USE	
224960	224994	USE	
224972	224994	USE	
224977	224994	USE	
224979	224994	USE	
224984	224994	USE	
224946	224995	USE	
224955	224995	USE	
224946	224996	USE	
224951	224996	USE	
224989	224946	REACHES	data
224989	224972	REACHES	data
224989	224979	REACHES	data
224992	224989	CONTROLS	
224992	224937	CONTROLS	
224992	224938	CONTROLS	
224992	224939	CONTROLS	
224992	224940	CONTROLS	
224992	224941	CONTROLS	
224992	224942	CONTROLS	
224992	224943	CONTROLS	
224992	224944	CONTROLS	
224992	224946	CONTROLS	
224992	224962	CONTROLS	
224992	224963	CONTROLS	
224992	224964	CONTROLS	
224992	224965	CONTROLS	
224992	224966	CONTROLS	
224992	224967	CONTROLS	
224992	224968	CONTROLS	
224992	224969	CONTROLS	
224992	224970	CONTROLS	
224992	224972	CONTROLS	
224992	224979	CONTROLS	
224941	224942	DOM	
224946	224962	DOM	
224940	224941	DOM	
224963	224964	DOM	
224967	224968	DOM	
224937	224938	DOM	
224942	224943	DOM	
224962	224963	DOM	
224979	224993	DOM	
224969	224970	DOM	
224938	224939	DOM	
224939	224940	DOM	
224964	224965	DOM	
224943	224944	DOM	
224968	224969	DOM	
224944	224946	DOM	
224992	224989	DOM	
224992	224992	DOM	
224972	224979	DOM	
224989	224937	DOM	
224966	224967	DOM	
224970	224972	DOM	
224965	224966	DOM	
224943	224942	POST_DOM	
224963	224962	POST_DOM	
224942	224941	POST_DOM	
224969	224968	POST_DOM	
224965	224964	POST_DOM	
224944	224943	POST_DOM	
224939	224938	POST_DOM	
224993	224993	POST_DOM	
224964	224963	POST_DOM	
224972	224970	POST_DOM	
224941	224940	POST_DOM	
224940	224939	POST_DOM	
224966	224965	POST_DOM	
224946	224944	POST_DOM	
224970	224969	POST_DOM	
224962	224946	POST_DOM	
224937	224989	POST_DOM	
224993	224979	POST_DOM	
224989	224992	POST_DOM	
224979	224972	POST_DOM	
224968	224967	POST_DOM	
224938	224937	POST_DOM	
224967	224966	POST_DOM	
224933	224934	IS_FUNCTION_OF_AST	
224933	224992	IS_FUNCTION_OF_CFG	
224932	224933	IS_FILE_OF	
225001	225002	IS_AST_PARENT	
225001	225003	IS_AST_PARENT	
225000	225001	IS_AST_PARENT	
224999	225000	IS_AST_PARENT	
225005	225006	IS_AST_PARENT	
225005	225007	IS_AST_PARENT	
225008	225009	IS_AST_PARENT	
225008	225010	IS_AST_PARENT	
225005	225008	IS_AST_PARENT	
225004	225005	IS_AST_PARENT	
224999	225004	IS_AST_PARENT	
225012	225013	IS_AST_PARENT	
225014	225015	IS_AST_PARENT	
225017	225018	IS_AST_PARENT	
225016	225017	IS_AST_PARENT	
225021	225022	IS_AST_PARENT	
225023	225024	IS_AST_PARENT	
225023	225025	IS_AST_PARENT	
225021	225023	IS_AST_PARENT	
225020	225021	IS_AST_PARENT	
225019	225020	IS_AST_PARENT	
225016	225019	IS_AST_PARENT	
225014	225016	IS_AST_PARENT	
225012	225014	IS_AST_PARENT	
225011	225012	IS_AST_PARENT	
224999	225011	IS_AST_PARENT	
225028	225029	IS_AST_PARENT	
225028	225030	IS_AST_PARENT	
225027	225028	IS_AST_PARENT	
225026	225027	IS_AST_PARENT	
225034	225035	IS_AST_PARENT	
225033	225034	IS_AST_PARENT	
225038	225039	IS_AST_PARENT	
225038	225040	IS_AST_PARENT	
225037	225038	IS_AST_PARENT	
225036	225037	IS_AST_PARENT	
225033	225036	IS_AST_PARENT	
225032	225033	IS_AST_PARENT	
225031	225032	IS_AST_PARENT	
225026	225031	IS_AST_PARENT	
224999	225026	IS_AST_PARENT	
224999	225041	IS_AST_PARENT	
224999	225042	IS_AST_PARENT	
224999	225043	IS_AST_PARENT	
224999	225044	IS_AST_PARENT	
224999	225045	IS_AST_PARENT	
224999	225046	IS_AST_PARENT	
224999	225047	IS_AST_PARENT	
224999	225048	IS_AST_PARENT	
224999	225049	IS_AST_PARENT	
224999	225050	IS_AST_PARENT	
224999	225051	IS_AST_PARENT	
224999	225052	IS_AST_PARENT	
224999	225053	IS_AST_PARENT	
224999	225054	IS_AST_PARENT	
224999	225055	IS_AST_PARENT	
224999	225056	IS_AST_PARENT	
224999	225057	IS_AST_PARENT	
224999	225058	IS_AST_PARENT	
224999	225059	IS_AST_PARENT	
224999	225060	IS_AST_PARENT	
225061	225062	IS_AST_PARENT	
224999	225061	IS_AST_PARENT	
225065	225066	IS_AST_PARENT	
225064	225065	IS_AST_PARENT	
225068	225069	IS_AST_PARENT	
225067	225068	IS_AST_PARENT	
225064	225067	IS_AST_PARENT	
225063	225064	IS_AST_PARENT	
224999	225063	IS_AST_PARENT	
224998	224999	IS_AST_PARENT	
224998	225070	IS_AST_PARENT	
224998	225071	IS_AST_PARENT	
224998	225072	IS_AST_PARENT	
225073	225000	FLOWS_TO	
225000	225004	FLOWS_TO	
225004	225011	FLOWS_TO	
225011	225027	FLOWS_TO	
225027	225032	FLOWS_TO	
225027	225041	FLOWS_TO	
225032	225041	FLOWS_TO	
225041	225042	FLOWS_TO	
225042	225043	FLOWS_TO	
225043	225044	FLOWS_TO	
225044	225045	FLOWS_TO	
225045	225046	FLOWS_TO	
225046	225047	FLOWS_TO	
225047	225048	FLOWS_TO	
225048	225049	FLOWS_TO	
225049	225050	FLOWS_TO	
225050	225051	FLOWS_TO	
225051	225052	FLOWS_TO	
225052	225053	FLOWS_TO	
225053	225054	FLOWS_TO	
225054	225055	FLOWS_TO	
225055	225056	FLOWS_TO	
225056	225057	FLOWS_TO	
225057	225058	FLOWS_TO	
225058	225059	FLOWS_TO	
225059	225060	FLOWS_TO	
225060	225061	FLOWS_TO	
225061	225063	FLOWS_TO	
225063	225074	FLOWS_TO	
225011	225075	USE	
225012	225075	USE	
225027	225076	USE	
225000	225077	DEF	
225001	225077	DEF	
225011	225077	DEF	
225012	225077	DEF	
225027	225077	USE	
225063	225077	USE	
225068	225077	USE	
225004	225078	DEF	
225005	225078	DEF	
225004	225079	USE	
225008	225079	USE	
225004	225079	DEF	
225008	225079	DEF	
225011	225027	REACHES	data
225011	225063	REACHES	data
225073	225000	CONTROLS	
225073	225004	CONTROLS	
225073	225011	CONTROLS	
225073	225027	CONTROLS	
225073	225041	CONTROLS	
225073	225042	CONTROLS	
225073	225043	CONTROLS	
225073	225044	CONTROLS	
225073	225045	CONTROLS	
225073	225046	CONTROLS	
225073	225047	CONTROLS	
225073	225048	CONTROLS	
225073	225049	CONTROLS	
225073	225050	CONTROLS	
225073	225051	CONTROLS	
225073	225052	CONTROLS	
225073	225053	CONTROLS	
225073	225054	CONTROLS	
225073	225055	CONTROLS	
225073	225056	CONTROLS	
225073	225057	CONTROLS	
225073	225058	CONTROLS	
225073	225059	CONTROLS	
225073	225060	CONTROLS	
225073	225061	CONTROLS	
225073	225063	CONTROLS	
225027	225032	CONTROLS	
225050	225051	DOM	
225059	225060	DOM	
225048	225049	DOM	
225027	225041	DOM	
225046	225047	DOM	
225058	225059	DOM	
225027	225032	DOM	
225011	225027	DOM	
225041	225042	DOM	
225051	225052	DOM	
225063	225074	DOM	
225047	225048	DOM	
225053	225054	DOM	
225054	225055	DOM	
225049	225050	DOM	
225073	225073	DOM	
225073	225000	DOM	
225055	225056	DOM	
225042	225043	DOM	
225060	225061	DOM	
