command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	225995	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1300-c/testcases/000/233/806/CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_02.c								
ANR	225996	Function	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_02_bad	29:0:689:1350							
ANR	225997	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_02_bad ()		225996	0					
ANR	225998	CompoundStatement		30:0:765:1350	225996	0					
ANR	225999	IdentifierDeclStatement	wchar_t * data ;	31:4:772:786	225996	0	True				
ANR	226000	IdentifierDecl	* data		225996	0					
ANR	226001	IdentifierDeclType	wchar_t *		225996	0					
ANR	226002	Identifier	data		225996	1					
ANR	226003	ExpressionStatement	data = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )	32:4:793:838	225996	1	True				
ANR	226004	AssignmentExpression	data = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		225996	0		=			
ANR	226005	Identifier	data		225996	0					
ANR	226006	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		225996	1					
ANR	226007	CastTarget	wchar_t *		225996	0					
ANR	226008	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		225996	1					
ANR	226009	Callee	malloc		225996	0					
ANR	226010	Identifier	malloc		225996	0					
ANR	226011	ArgumentList	100 * sizeof ( wchar_t )		225996	1					
ANR	226012	Argument	100 * sizeof ( wchar_t )		225996	0					
ANR	226013	MultiplicativeExpression	100 * sizeof ( wchar_t )		225996	0		*			
ANR	226014	PrimaryExpression	100		225996	0					
ANR	226015	SizeofExpression	sizeof ( wchar_t )		225996	1					
ANR	226016	Sizeof	sizeof		225996	0					
ANR	226017	SizeofOperand	wchar_t		225996	1					
ANR	226018	IfStatement	if ( data == NULL )		225996	2					
ANR	226019	Condition	data == NULL	33:8:849:860	225996	0	True				
ANR	226020	EqualityExpression	data == NULL		225996	0		==			
ANR	226021	Identifier	data		225996	0					
ANR	226022	Identifier	NULL		225996	1					
ANR	226023	CompoundStatement		4:22:97:97	225996	1					
ANR	226024	ExpressionStatement	exit ( - 1 )	33:23:864:872	225996	0	True				
ANR	226025	CallExpression	exit ( - 1 )		225996	0					
ANR	226026	Callee	exit		225996	0					
ANR	226027	Identifier	exit		225996	0					
ANR	226028	ArgumentList	- 1		225996	1					
ANR	226029	Argument	- 1		225996	0					
ANR	226030	UnaryOperationExpression	- 1		225996	0					
ANR	226031	UnaryOperator	-		225996	0					
ANR	226032	PrimaryExpression	1		225996	1					
ANR	226033	IfStatement	if ( 1 )		225996	3					
ANR	226034	Condition	1	34:7:882:882	225996	0	True				
ANR	226035	PrimaryExpression	1		225996	0					
ANR	226036	CompoundStatement		6:4:124:124	225996	1					
ANR	226037	Statement	wmemset	37:8:1010:1016	225996	0	True				
ANR	226038	Statement	(	37:15:1017:1017	225996	1	True				
ANR	226039	Statement	data	37:16:1018:1021	225996	2	True				
ANR	226040	Statement	","	37:20:1022:1022	225996	3	True				
ANR	226041	Statement	L	37:22:1024:1024	225996	4	True				
ANR	226042	Statement	'A'	37:23:1025:1027	225996	5	True				
ANR	226043	Statement	","	37:26:1028:1028	225996	6	True				
