command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	236675	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1300-c/testcases/000/233/834/CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_52c.c								
ANR	236676	Function	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_52c_badSink	31:0:874:1203							
ANR	236677	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_52c_badSink (wchar_t * data)		236676	0					
ANR	236678	CompoundStatement		32:0:969:1203	236676	0					
ANR	236679	CompoundStatement		2:4:6:6	236676	0					
ANR	236680	Statement	wchar_t	34:8:987:993	236676	0	True				
ANR	236681	Statement	dest	34:16:995:998	236676	1	True				
ANR	236682	Statement	[	34:20:999:999	236676	2	True				
ANR	236683	Statement	50	34:21:1000:1001	236676	3	True				
ANR	236684	Statement	]	34:23:1002:1002	236676	4	True				
ANR	236685	Statement	=	34:25:1004:1004	236676	5	True				
ANR	236686	Statement	L	34:27:1006:1006	236676	6	True				
ANR	236687	ExpressionStatement	""""""	34:28:1007:1009	236676	7	True				
ANR	236688	PrimaryExpression	""""""		236676	0					
ANR	236689	Statement	SNPRINTF	36:8:1104:1111	236676	8	True				
ANR	236690	Statement	(	36:16:1112:1112	236676	9	True				
ANR	236691	Statement	dest	36:17:1113:1116	236676	10	True				
ANR	236692	Statement	","	36:21:1117:1117	236676	11	True				
ANR	236693	Statement	wcslen	36:23:1119:1124	236676	12	True				
ANR	236694	Statement	(	36:29:1125:1125	236676	13	True				
ANR	236695	Statement	data	36:30:1126:1129	236676	14	True				
ANR	236696	Statement	)	36:34:1130:1130	236676	15	True				
ANR	236697	Statement	","	36:35:1131:1131	236676	16	True				
ANR	236698	Statement	L	36:37:1133:1133	236676	17	True				
ANR	236699	Statement	"""%s"""	36:38:1134:1137	236676	18	True				
ANR	236700	Statement	","	36:42:1138:1138	236676	19	True				
ANR	236701	Statement	data	36:44:1140:1143	236676	20	True				
ANR	236702	Statement	)	36:48:1144:1144	236676	21	True				
ANR	236703	ExpressionStatement		36:49:1145:1145	236676	22	True				
ANR	236704	ExpressionStatement	printWLine ( data )	37:8:1156:1172	236676	23	True				
ANR	236705	CallExpression	printWLine ( data )		236676	0					
ANR	236706	Callee	printWLine		236676	0					
ANR	236707	Identifier	printWLine		236676	0					
ANR	236708	ArgumentList	data		236676	1					
ANR	236709	Argument	data		236676	0					
ANR	236710	Identifier	data		236676	0					
ANR	236711	ExpressionStatement	free ( data )	38:8:1183:1193	236676	24	True				
ANR	236712	CallExpression	free ( data )		236676	0					
ANR	236713	Callee	free		236676	0					
ANR	236714	Identifier	free		236676	0					
ANR	236715	ArgumentList	data		236676	1					
ANR	236716	Argument	data		236676	0					
ANR	236717	Identifier	data		236676	0					
ANR	236718	ReturnType	void		236676	1					
ANR	236719	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_52c_badSink		236676	2					
ANR	236720	ParameterList	wchar_t * data		236676	3					
ANR	236721	Parameter	wchar_t * data	31:78:952:965	236676	0	True				
ANR	236722	ParameterType	wchar_t *		236676	0					
ANR	236723	Identifier	data		236676	1					
ANR	236724	CFGEntryNode	ENTRY		236676		True				
ANR	236725	CFGExitNode	EXIT		236676		True				
ANR	236726	Symbol	data		236676						
ANR	236727	Function	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_52c_goodG2BSink	47:0:1304:1637							
ANR	236728	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_52c_goodG2BSink (wchar_t * data)		236727	0					
ANR	236729	CompoundStatement		48:0:1403:1637	236727	0					
ANR	236730	CompoundStatement		2:4:6:6	236727	0					
ANR	236731	Statement	wchar_t	50:8:1421:1427	236727	0	True				
ANR	236732	Statement	dest	50:16:1429:1432	236727	1	True				
ANR	236733	Statement	[	50:20:1433:1433	236727	2	True				
ANR	236734	Statement	50	50:21:1434:1435	236727	3	True				
ANR	236735	Statement	]	50:23:1436:1436	236727	4	True				
ANR	236736	Statement	=	50:25:1438:1438	236727	5	True				
ANR	236737	Statement	L	50:27:1440:1440	236727	6	True				
ANR	236738	ExpressionStatement	""""""	50:28:1441:1443	236727	7	True				
ANR	236739	PrimaryExpression	""""""		236727	0					
ANR	236740	Statement	SNPRINTF	52:8:1538:1545	236727	8	True				
ANR	236741	Statement	(	52:16:1546:1546	236727	9	True				
ANR	236742	Statement	dest	52:17:1547:1550	236727	10	True				
ANR	236743	Statement	","	52:21:1551:1551	236727	11	True				
ANR	236744	Statement	wcslen	52:23:1553:1558	236727	12	True				
ANR	236745	Statement	(	52:29:1559:1559	236727	13	True				
ANR	236746	Statement	data	52:30:1560:1563	236727	14	True				
ANR	236747	Statement	)	52:34:1564:1564	236727	15	True				
ANR	236748	Statement	","	52:35:1565:1565	236727	16	True				
ANR	236749	Statement	L	52:37:1567:1567	236727	17	True				
ANR	236750	Statement	"""%s"""	52:38:1568:1571	236727	18	True				
ANR	236751	Statement	","	52:42:1572:1572	236727	19	True				
ANR	236752	Statement	data	52:44:1574:1577	236727	20	True				
ANR	236753	Statement	)	52:48:1578:1578	236727	21	True				
ANR	236754	ExpressionStatement		52:49:1579:1579	236727	22	True				
ANR	236755	ExpressionStatement	printWLine ( data )	53:8:1590:1606	236727	23	True				
ANR	236756	CallExpression	printWLine ( data )		236727	0					
ANR	236757	Callee	printWLine		236727	0					
ANR	236758	Identifier	printWLine		236727	0					
ANR	236759	ArgumentList	data		236727	1					
ANR	236760	Argument	data		236727	0					
ANR	236761	Identifier	data		236727	0					
ANR	236762	ExpressionStatement	free ( data )	54:8:1617:1627	236727	24	True				
ANR	236763	CallExpression	free ( data )		236727	0					
ANR	236764	Callee	free		236727	0					
ANR	236765	Identifier	free		236727	0					
ANR	236766	ArgumentList	data		236727	1					
ANR	236767	Argument	data		236727	0					
ANR	236768	Identifier	data		236727	0					
ANR	236769	ReturnType	void		236727	1					
ANR	236770	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_52c_goodG2BSink		236727	2					
ANR	236771	ParameterList	wchar_t * data		236727	3					
ANR	236772	Parameter	wchar_t * data	47:82:1386:1399	236727	0	True				
ANR	236773	ParameterType	wchar_t *		236727	0					
ANR	236774	Identifier	data		236727	1					
ANR	236775	CFGEntryNode	ENTRY		236727		True				
ANR	236776	CFGExitNode	EXIT		236727		True				
ANR	236777	Symbol	data		236727						
