command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	237207	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1300-c/testcases/000/233/836/CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54a.c								
ANR	237208	DeclStmt									
ANR	237209	Decl							void	void ( wchar_t * data )	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54b_badSink
ANR	237210	Function	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54_bad	32:0:929:1407							
ANR	237211	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54_bad ()		237210	0					
ANR	237212	CompoundStatement		33:0:1005:1407	237210	0					
ANR	237213	IdentifierDeclStatement	wchar_t * data ;	34:4:1012:1026	237210	0	True				
ANR	237214	IdentifierDecl	* data		237210	0					
ANR	237215	IdentifierDeclType	wchar_t *		237210	0					
ANR	237216	Identifier	data		237210	1					
ANR	237217	ExpressionStatement	data = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )	35:4:1033:1078	237210	1	True				
ANR	237218	AssignmentExpression	data = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		237210	0		=			
ANR	237219	Identifier	data		237210	0					
ANR	237220	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		237210	1					
ANR	237221	CastTarget	wchar_t *		237210	0					
ANR	237222	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		237210	1					
ANR	237223	Callee	malloc		237210	0					
ANR	237224	Identifier	malloc		237210	0					
ANR	237225	ArgumentList	100 * sizeof ( wchar_t )		237210	1					
ANR	237226	Argument	100 * sizeof ( wchar_t )		237210	0					
ANR	237227	MultiplicativeExpression	100 * sizeof ( wchar_t )		237210	0		*			
ANR	237228	PrimaryExpression	100		237210	0					
ANR	237229	SizeofExpression	sizeof ( wchar_t )		237210	1					
ANR	237230	Sizeof	sizeof		237210	0					
ANR	237231	SizeofOperand	wchar_t		237210	1					
ANR	237232	IfStatement	if ( data == NULL )		237210	2					
ANR	237233	Condition	data == NULL	36:8:1089:1100	237210	0	True				
ANR	237234	EqualityExpression	data == NULL		237210	0		==			
ANR	237235	Identifier	data		237210	0					
ANR	237236	Identifier	NULL		237210	1					
ANR	237237	CompoundStatement		4:22:97:97	237210	1					
ANR	237238	ExpressionStatement	exit ( - 1 )	36:23:1104:1112	237210	0	True				
ANR	237239	CallExpression	exit ( - 1 )		237210	0					
ANR	237240	Callee	exit		237210	0					
ANR	237241	Identifier	exit		237210	0					
ANR	237242	ArgumentList	- 1		237210	1					
ANR	237243	Argument	- 1		237210	0					
ANR	237244	UnaryOperationExpression	- 1		237210	0					
ANR	237245	UnaryOperator	-		237210	0					
ANR	237246	PrimaryExpression	1		237210	1					
ANR	237247	Statement	wmemset	38:4:1224:1230	237210	3	True				
ANR	237248	Statement	(	38:11:1231:1231	237210	4	True				
ANR	237249	Statement	data	38:12:1232:1235	237210	5	True				
ANR	237250	Statement	","	38:16:1236:1236	237210	6	True				
ANR	237251	Statement	L	38:18:1238:1238	237210	7	True				
ANR	237252	Statement	'A'	38:19:1239:1241	237210	8	True				
ANR	237253	Statement	","	38:22:1242:1242	237210	9	True				
ANR	237254	Statement	100	38:24:1244:1246	237210	10	True				
ANR	237255	Statement	-	38:27:1247:1247	237210	11	True				
ANR	237256	Statement	1	38:28:1248:1248	237210	12	True				
ANR	237257	Statement	)	38:29:1249:1249	237210	13	True				
ANR	237258	ExpressionStatement		38:30:1250:1250	237210	14	True				
ANR	237259	Statement	data	39:4:1279:1282	237210	15	True				
ANR	237260	Statement	[	39:8:1283:1283	237210	16	True				
ANR	237261	Statement	100	39:9:1284:1286	237210	17	True				
ANR	237262	Statement	-	39:12:1287:1287	237210	18	True				
ANR	237263	Statement	1	39:13:1288:1288	237210	19	True				
ANR	237264	Statement	]	39:14:1289:1289	237210	20	True				
ANR	237265	Statement	=	39:16:1291:1291	237210	21	True				
ANR	237266	Statement	L	39:18:1293:1293	237210	22	True				
ANR	237267	ExpressionStatement	'\\0'	39:19:1294:1298	237210	23	True				
ANR	237268	PrimaryExpression	'\\0'		237210	0					
ANR	237269	ExpressionStatement	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54b_badSink ( data )	40:4:1326:1404	237210	24	True				
ANR	237270	CallExpression	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54b_badSink ( data )		237210	0					
ANR	237271	Callee	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54b_badSink		237210	0					
ANR	237272	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54b_badSink		237210	0					
ANR	237273	ArgumentList	data		237210	1					
ANR	237274	Argument	data		237210	0					
ANR	237275	Identifier	data		237210	0					
ANR	237276	ReturnType	void		237210	1					
ANR	237277	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54_bad		237210	2					
ANR	237278	ParameterList			237210	3					
ANR	237279	CFGEntryNode	ENTRY		237210		True				
ANR	237280	CFGExitNode	EXIT		237210		True				
ANR	237281	Symbol	malloc		237210						
ANR	237282	Symbol	NULL		237210						
ANR	237283	Symbol	data		237210						
ANR	237284	DeclStmt									
ANR	237285	Decl							void	void ( wchar_t * data )	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54b_goodG2BSink
ANR	237286	Function	goodG2B	51:0:1643:2079							
ANR	237287	FunctionDef	goodG2B ()		237286	0					
ANR	237288	CompoundStatement		52:0:1666:2079	237286	0					
ANR	237289	IdentifierDeclStatement	wchar_t * data ;	53:4:1673:1687	237286	0	True				
ANR	237290	IdentifierDecl	* data		237286	0					
ANR	237291	IdentifierDeclType	wchar_t *		237286	0					
ANR	237292	Identifier	data		237286	1					
ANR	237293	ExpressionStatement	data = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )	54:4:1694:1739	237286	1	True				
ANR	237294	AssignmentExpression	data = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		237286	0		=			
ANR	237295	Identifier	data		237286	0					
ANR	237296	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		237286	1					
ANR	237297	CastTarget	wchar_t *		237286	0					
ANR	237298	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		237286	1					
ANR	237299	Callee	malloc		237286	0					
ANR	237300	Identifier	malloc		237286	0					
ANR	237301	ArgumentList	100 * sizeof ( wchar_t )		237286	1					
ANR	237302	Argument	100 * sizeof ( wchar_t )		237286	0					
ANR	237303	MultiplicativeExpression	100 * sizeof ( wchar_t )		237286	0		*			
ANR	237304	PrimaryExpression	100		237286	0					
ANR	237305	SizeofExpression	sizeof ( wchar_t )		237286	1					
ANR	237306	Sizeof	sizeof		237286	0					
ANR	237307	SizeofOperand	wchar_t		237286	1					
ANR	237308	IfStatement	if ( data == NULL )		237286	2					
ANR	237309	Condition	data == NULL	55:8:1750:1761	237286	0	True				
ANR	237310	EqualityExpression	data == NULL		237286	0		==			
ANR	237311	Identifier	data		237286	0					
ANR	237312	Identifier	NULL		237286	1					
ANR	237313	CompoundStatement		4:22:97:97	237286	1					
ANR	237314	ExpressionStatement	exit ( - 1 )	55:23:1765:1773	237286	0	True				
ANR	237315	CallExpression	exit ( - 1 )		237286	0					
ANR	237316	Callee	exit		237286	0					
ANR	237317	Identifier	exit		237286	0					
ANR	237318	ArgumentList	- 1		237286	1					
ANR	237319	Argument	- 1		237286	0					
ANR	237320	UnaryOperationExpression	- 1		237286	0					
ANR	237321	UnaryOperator	-		237286	0					
ANR	237322	PrimaryExpression	1		237286	1					
ANR	237323	Statement	wmemset	57:4:1894:1900	237286	3	True				
ANR	237324	Statement	(	57:11:1901:1901	237286	4	True				
ANR	237325	Statement	data	57:12:1902:1905	237286	5	True				
ANR	237326	Statement	","	57:16:1906:1906	237286	6	True				
ANR	237327	Statement	L	57:18:1908:1908	237286	7	True				
ANR	237328	Statement	'A'	57:19:1909:1911	237286	8	True				
ANR	237329	Statement	","	57:22:1912:1912	237286	9	True				
ANR	237330	Statement	50	57:24:1914:1915	237286	10	True				
ANR	237331	Statement	-	57:26:1916:1916	237286	11	True				
ANR	237332	Statement	1	57:27:1917:1917	237286	12	True				
ANR	237333	Statement	)	57:28:1918:1918	237286	13	True				
ANR	237334	ExpressionStatement		57:29:1919:1919	237286	14	True				
ANR	237335	Statement	data	58:4:1948:1951	237286	15	True				
ANR	237336	Statement	[	58:8:1952:1952	237286	16	True				
ANR	237337	Statement	50	58:9:1953:1954	237286	17	True				
ANR	237338	Statement	-	58:11:1955:1955	237286	18	True				
ANR	237339	Statement	1	58:12:1956:1956	237286	19	True				
ANR	237340	Statement	]	58:13:1957:1957	237286	20	True				
ANR	237341	Statement	=	58:15:1959:1959	237286	21	True				
ANR	237342	Statement	L	58:17:1961:1961	237286	22	True				
ANR	237343	ExpressionStatement	'\\0'	58:18:1962:1966	237286	23	True				
ANR	237344	PrimaryExpression	'\\0'		237286	0					
ANR	237345	ExpressionStatement	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54b_goodG2BSink ( data )	59:4:1994:2076	237286	24	True				
ANR	237346	CallExpression	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54b_goodG2BSink ( data )		237286	0					
ANR	237347	Callee	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54b_goodG2BSink		237286	0					
ANR	237348	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54b_goodG2BSink		237286	0					
ANR	237349	ArgumentList	data		237286	1					
ANR	237350	Argument	data		237286	0					
ANR	237351	Identifier	data		237286	0					
ANR	237352	ReturnType	static void		237286	1					
ANR	237353	Identifier	goodG2B		237286	2					
ANR	237354	ParameterList			237286	3					
ANR	237355	CFGEntryNode	ENTRY		237286		True				
ANR	237356	CFGExitNode	EXIT		237286		True				
ANR	237357	Symbol	malloc		237286						
ANR	237358	Symbol	NULL		237286						
ANR	237359	Symbol	data		237286						
ANR	237360	Function	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54_good	62:0:2084:2180							
ANR	237361	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54_good ()		237360	0					
ANR	237362	CompoundStatement		63:0:2161:2180	237360	0					
ANR	237363	ExpressionStatement	goodG2B ( )	64:4:2168:2177	237360	0	True				
ANR	237364	CallExpression	goodG2B ( )		237360	0					
ANR	237365	Callee	goodG2B		237360	0					
ANR	237366	Identifier	goodG2B		237360	0					
ANR	237367	ArgumentList			237360	1					
