command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	237531	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1300-c/testcases/000/233/836/CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54d.c								
ANR	237532	DeclStmt									
ANR	237533	Decl							void	void ( wchar_t * data )	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54e_badSink
ANR	237534	Function	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54d_badSink	34:0:1032:1215							
ANR	237535	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54d_badSink (wchar_t * data)		237534	0					
ANR	237536	CompoundStatement		35:0:1127:1215	237534	0					
ANR	237537	ExpressionStatement	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54e_badSink ( data )	36:4:1134:1212	237534	0	True				
ANR	237538	CallExpression	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54e_badSink ( data )		237534	0					
ANR	237539	Callee	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54e_badSink		237534	0					
ANR	237540	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54e_badSink		237534	0					
ANR	237541	ArgumentList	data		237534	1					
ANR	237542	Argument	data		237534	0					
ANR	237543	Identifier	data		237534	0					
ANR	237544	ReturnType	void		237534	1					
ANR	237545	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54d_badSink		237534	2					
ANR	237546	ParameterList	wchar_t * data		237534	3					
ANR	237547	Parameter	wchar_t * data	34:78:1110:1123	237534	0	True				
ANR	237548	ParameterType	wchar_t *		237534	0					
ANR	237549	Identifier	data		237534	1					
ANR	237550	CFGEntryNode	ENTRY		237534		True				
ANR	237551	CFGExitNode	EXIT		237534		True				
ANR	237552	Symbol	data		237534						
ANR	237553	DeclStmt									
ANR	237554	Decl							void	void ( wchar_t * data )	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54e_goodG2BSink
ANR	237555	Function	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54d_goodG2BSink	47:0:1451:1642							
ANR	237556	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54d_goodG2BSink (wchar_t * data)		237555	0					
ANR	237557	CompoundStatement		48:0:1550:1642	237555	0					
ANR	237558	ExpressionStatement	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54e_goodG2BSink ( data )	49:4:1557:1639	237555	0	True				
ANR	237559	CallExpression	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54e_goodG2BSink ( data )		237555	0					
ANR	237560	Callee	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54e_goodG2BSink		237555	0					
ANR	237561	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54e_goodG2BSink		237555	0					
ANR	237562	ArgumentList	data		237555	1					
ANR	237563	Argument	data		237555	0					
ANR	237564	Identifier	data		237555	0					
ANR	237565	ReturnType	void		237555	1					
ANR	237566	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_54d_goodG2BSink		237555	2					
ANR	237567	ParameterList	wchar_t * data		237555	3					
ANR	237568	Parameter	wchar_t * data	47:82:1533:1546	237555	0	True				
ANR	237569	ParameterType	wchar_t *		237555	0					
ANR	237570	Identifier	data		237555	1					
ANR	237571	CFGEntryNode	ENTRY		237555		True				
ANR	237572	CFGExitNode	EXIT		237555		True				
ANR	237573	Symbol	data		237555						
