start	end	type	var
237578	237579	IS_AST_PARENT	
237578	237580	IS_AST_PARENT	
237578	237581	IS_AST_PARENT	
237578	237582	IS_AST_PARENT	
237578	237583	IS_AST_PARENT	
237578	237584	IS_AST_PARENT	
237578	237585	IS_AST_PARENT	
237586	237587	IS_AST_PARENT	
237578	237586	IS_AST_PARENT	
237578	237588	IS_AST_PARENT	
237578	237589	IS_AST_PARENT	
237578	237590	IS_AST_PARENT	
237578	237591	IS_AST_PARENT	
237578	237592	IS_AST_PARENT	
237578	237593	IS_AST_PARENT	
237578	237594	IS_AST_PARENT	
237578	237595	IS_AST_PARENT	
237578	237596	IS_AST_PARENT	
237578	237597	IS_AST_PARENT	
237578	237598	IS_AST_PARENT	
237578	237599	IS_AST_PARENT	
237578	237600	IS_AST_PARENT	
237578	237601	IS_AST_PARENT	
237578	237602	IS_AST_PARENT	
237605	237606	IS_AST_PARENT	
237604	237605	IS_AST_PARENT	
237608	237609	IS_AST_PARENT	
237607	237608	IS_AST_PARENT	
237604	237607	IS_AST_PARENT	
237603	237604	IS_AST_PARENT	
237578	237603	IS_AST_PARENT	
237612	237613	IS_AST_PARENT	
237611	237612	IS_AST_PARENT	
237615	237616	IS_AST_PARENT	
237614	237615	IS_AST_PARENT	
237611	237614	IS_AST_PARENT	
237610	237611	IS_AST_PARENT	
237578	237610	IS_AST_PARENT	
237577	237578	IS_AST_PARENT	
237576	237577	IS_AST_PARENT	
237576	237617	IS_AST_PARENT	
237576	237618	IS_AST_PARENT	
237620	237621	IS_AST_PARENT	
237620	237622	IS_AST_PARENT	
237619	237620	IS_AST_PARENT	
237576	237619	IS_AST_PARENT	
237623	237620	FLOWS_TO	
237620	237579	FLOWS_TO	
237579	237580	FLOWS_TO	
237580	237581	FLOWS_TO	
237581	237582	FLOWS_TO	
237582	237583	FLOWS_TO	
237583	237584	FLOWS_TO	
237584	237585	FLOWS_TO	
237585	237586	FLOWS_TO	
237586	237588	FLOWS_TO	
237588	237589	FLOWS_TO	
237589	237590	FLOWS_TO	
237590	237591	FLOWS_TO	
237591	237592	FLOWS_TO	
237592	237593	FLOWS_TO	
237593	237594	FLOWS_TO	
237594	237595	FLOWS_TO	
237595	237596	FLOWS_TO	
237596	237597	FLOWS_TO	
237597	237598	FLOWS_TO	
237598	237599	FLOWS_TO	
237599	237600	FLOWS_TO	
237600	237601	FLOWS_TO	
237601	237602	FLOWS_TO	
237602	237603	FLOWS_TO	
237603	237610	FLOWS_TO	
237610	237624	FLOWS_TO	
237620	237625	DEF	
237603	237625	USE	
237608	237625	USE	
237610	237625	USE	
237615	237625	USE	
237620	237603	REACHES	data
237620	237610	REACHES	data
237623	237620	CONTROLS	
237623	237579	CONTROLS	
237623	237580	CONTROLS	
237623	237581	CONTROLS	
237623	237582	CONTROLS	
