command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	239834	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1300-c/testcases/000/233/842/CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_68b.c								
ANR	239835	DeclStmt									
ANR	239836	Decl							extern wchar_t	extern wchar_t *	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_68_badData
ANR	239837	DeclStmt									
ANR	239838	Decl							extern wchar_t	extern wchar_t *	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_68_goodG2BData
ANR	239839	Function	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_68b_badSink	34:0:1051:1461							
ANR	239840	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_68b_badSink ()		239839	0					
ANR	239841	CompoundStatement		35:0:1132:1461	239839	0					
ANR	239842	IdentifierDeclStatement	wchar_t * data = CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_68_badData ;	36:4:1139:1227	239839	0	True				
ANR	239843	IdentifierDecl	* data = CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_68_badData		239839	0					
ANR	239844	IdentifierDeclType	wchar_t *		239839	0					
ANR	239845	Identifier	data		239839	1					
ANR	239846	AssignmentExpression	* data = CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_68_badData		239839	2		=			
ANR	239847	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_68_badData		239839	0					
ANR	239848	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_snprintf_68_badData		239839	1					
ANR	239849	CompoundStatement		3:4:101:101	239839	1					
ANR	239850	Statement	wchar_t	38:8:1245:1251	239839	0	True				
ANR	239851	Statement	dest	38:16:1253:1256	239839	1	True				
ANR	239852	Statement	[	38:20:1257:1257	239839	2	True				
ANR	239853	Statement	50	38:21:1258:1259	239839	3	True				
ANR	239854	Statement	]	38:23:1260:1260	239839	4	True				
ANR	239855	Statement	=	38:25:1262:1262	239839	5	True				
ANR	239856	Statement	L	38:27:1264:1264	239839	6	True				
ANR	239857	ExpressionStatement	""""""	38:28:1265:1267	239839	7	True				
ANR	239858	PrimaryExpression	""""""		239839	0					
ANR	239859	Statement	SNPRINTF	40:8:1362:1369	239839	8	True				
ANR	239860	Statement	(	40:16:1370:1370	239839	9	True				
ANR	239861	Statement	dest	40:17:1371:1374	239839	10	True				
ANR	239862	Statement	","	40:21:1375:1375	239839	11	True				
ANR	239863	Statement	wcslen	40:23:1377:1382	239839	12	True				
ANR	239864	Statement	(	40:29:1383:1383	239839	13	True				
ANR	239865	Statement	data	40:30:1384:1387	239839	14	True				
ANR	239866	Statement	)	40:34:1388:1388	239839	15	True				
ANR	239867	Statement	","	40:35:1389:1389	239839	16	True				
ANR	239868	Statement	L	40:37:1391:1391	239839	17	True				
ANR	239869	Statement	"""%s"""	40:38:1392:1395	239839	18	True				
ANR	239870	Statement	","	40:42:1396:1396	239839	19	True				
