start	end	type	var
242923	242924	IS_AST_PARENT	
242922	242923	IS_AST_PARENT	
242921	242922	IS_AST_PARENT	
242921	242925	IS_AST_PARENT	
242921	242926	IS_AST_PARENT	
242921	242927	IS_AST_PARENT	
242928	242923	FLOWS_TO	
242923	242929	FLOWS_TO	
242928	242923	CONTROLS	
242923	242929	DOM	
242928	242928	DOM	
242928	242923	DOM	
242929	242929	POST_DOM	
242923	242928	POST_DOM	
242929	242923	POST_DOM	
242920	242921	IS_FUNCTION_OF_AST	
242920	242928	IS_FUNCTION_OF_CFG	
242919	242920	IS_FILE_OF	
242933	242934	IS_AST_PARENT	
242932	242933	IS_AST_PARENT	
242931	242932	IS_AST_PARENT	
242931	242935	IS_AST_PARENT	
242931	242936	IS_AST_PARENT	
242931	242937	IS_AST_PARENT	
242938	242933	FLOWS_TO	
242933	242939	FLOWS_TO	
242938	242933	CONTROLS	
242938	242938	DOM	
242938	242933	DOM	
242933	242939	DOM	
242933	242938	POST_DOM	
242939	242939	POST_DOM	
242939	242933	POST_DOM	
242930	242931	IS_FUNCTION_OF_AST	
242930	242938	IS_FUNCTION_OF_CFG	
242919	242930	IS_FILE_OF	
242944	242945	IS_AST_PARENT	
242944	242946	IS_AST_PARENT	
242943	242944	IS_AST_PARENT	
242942	242943	IS_AST_PARENT	
242948	242949	IS_AST_PARENT	
242948	242950	IS_AST_PARENT	
242947	242948	IS_AST_PARENT	
242942	242947	IS_AST_PARENT	
242954	242955	IS_AST_PARENT	
242953	242954	IS_AST_PARENT	
242953	242956	IS_AST_PARENT	
242952	242953	IS_AST_PARENT	
242951	242952	IS_AST_PARENT	
242959	242960	IS_AST_PARENT	
242961	242962	IS_AST_PARENT	
242964	242965	IS_AST_PARENT	
242963	242964	IS_AST_PARENT	
242968	242969	IS_AST_PARENT	
242970	242971	IS_AST_PARENT	
242970	242972	IS_AST_PARENT	
242968	242970	IS_AST_PARENT	
242967	242968	IS_AST_PARENT	
242966	242967	IS_AST_PARENT	
242963	242966	IS_AST_PARENT	
242961	242963	IS_AST_PARENT	
242959	242961	IS_AST_PARENT	
242958	242959	IS_AST_PARENT	
242957	242958	IS_AST_PARENT	
242975	242976	IS_AST_PARENT	
242975	242977	IS_AST_PARENT	
242974	242975	IS_AST_PARENT	
242973	242974	IS_AST_PARENT	
242981	242982	IS_AST_PARENT	
242980	242981	IS_AST_PARENT	
242985	242986	IS_AST_PARENT	
242985	242987	IS_AST_PARENT	
242984	242985	IS_AST_PARENT	
242983	242984	IS_AST_PARENT	
242980	242983	IS_AST_PARENT	
242979	242980	IS_AST_PARENT	
242978	242979	IS_AST_PARENT	
242973	242978	IS_AST_PARENT	
242957	242973	IS_AST_PARENT	
242990	242991	IS_AST_PARENT	
242990	242992	IS_AST_PARENT	
242989	242990	IS_AST_PARENT	
242989	242993	IS_AST_PARENT	
242988	242989	IS_AST_PARENT	
242957	242988	IS_AST_PARENT	
242951	242957	IS_AST_PARENT	
242942	242951	IS_AST_PARENT	
242996	242997	IS_AST_PARENT	
242996	242998	IS_AST_PARENT	
242996	242999	IS_AST_PARENT	
242995	242996	IS_AST_PARENT	
242994	242995	IS_AST_PARENT	
243002	243003	IS_AST_PARENT	
243001	243002	IS_AST_PARENT	
243005	243006	IS_AST_PARENT	
243004	243005	IS_AST_PARENT	
243007	243008	IS_AST_PARENT	
243004	243007	IS_AST_PARENT	
243010	243011	IS_AST_PARENT	
243010	243012	IS_AST_PARENT	
243009	243010	IS_AST_PARENT	
243004	243009	IS_AST_PARENT	
243001	243004	IS_AST_PARENT	
243000	243001	IS_AST_PARENT	
242994	243000	IS_AST_PARENT	
243015	243016	IS_AST_PARENT	
243017	243018	IS_AST_PARENT	
243017	243019	IS_AST_PARENT	
243015	243017	IS_AST_PARENT	
243014	243015	IS_AST_PARENT	
243014	243020	IS_AST_PARENT	
243013	243014	IS_AST_PARENT	
242994	243013	IS_AST_PARENT	
243023	243024	IS_AST_PARENT	
243022	243023	IS_AST_PARENT	
243026	243027	IS_AST_PARENT	
243025	243026	IS_AST_PARENT	
243028	243029	IS_AST_PARENT	
243025	243028	IS_AST_PARENT	
243022	243025	IS_AST_PARENT	
243021	243022	IS_AST_PARENT	
242994	243021	IS_AST_PARENT	
243032	243033	IS_AST_PARENT	
243031	243032	IS_AST_PARENT	
243035	243036	IS_AST_PARENT	
243034	243035	IS_AST_PARENT	
243031	243034	IS_AST_PARENT	
243030	243031	IS_AST_PARENT	
242994	243030	IS_AST_PARENT	
243039	243040	IS_AST_PARENT	
243038	243039	IS_AST_PARENT	
243042	243043	IS_AST_PARENT	
243041	243042	IS_AST_PARENT	
243038	243041	IS_AST_PARENT	
243037	243038	IS_AST_PARENT	
242994	243037	IS_AST_PARENT	
242942	242994	IS_AST_PARENT	
242941	242942	IS_AST_PARENT	
242941	243044	IS_AST_PARENT	
242941	243045	IS_AST_PARENT	
242941	243046	IS_AST_PARENT	
243047	242943	FLOWS_TO	
242943	242947	FLOWS_TO	
242947	242952	FLOWS_TO	
242952	242958	FLOWS_TO	
242952	242995	FLOWS_TO	
242958	242974	FLOWS_TO	
242974	242979	FLOWS_TO	
242974	242988	FLOWS_TO	
242979	242988	FLOWS_TO	
242988	242995	FLOWS_TO	
242995	243000	FLOWS_TO	
243000	243013	FLOWS_TO	
243013	243021	FLOWS_TO	
243021	243030	FLOWS_TO	
243030	243037	FLOWS_TO	
243037	243048	FLOWS_TO	
242958	243049	USE	
242959	243049	USE	
242947	243050	USE	
242948	243050	USE	
242974	243050	USE	
242943	243051	DEF	
242944	243051	DEF	
242947	243051	DEF	
242948	243051	DEF	
242958	243051	DEF	
242959	243051	DEF	
242974	243051	USE	
242988	243051	USE	
242990	243051	USE	
243021	243051	USE	
243026	243051	USE	
243030	243051	USE	
243035	243051	USE	
243037	243051	USE	
243042	243051	USE	
243013	243052	DEF	
243014	243052	DEF	
242952	243053	USE	
242995	243054	DEF	
242996	243054	DEF	
243000	243054	USE	
243005	243054	USE	
243013	243054	USE	
243015	243054	USE	
243021	243054	USE	
243028	243054	USE	
242988	243055	DEF	
242989	243055	DEF	
242958	242974	REACHES	data
242958	242988	REACHES	data
242947	243021	REACHES	data
242958	243021	REACHES	data
242947	243030	REACHES	data
242958	243030	REACHES	data
242947	243037	REACHES	data
242958	243037	REACHES	data
242995	243000	REACHES	source
242995	243013	REACHES	source
242995	243021	REACHES	source
243047	242943	CONTROLS	
243047	242947	CONTROLS	
243047	242952	CONTROLS	
243047	242995	CONTROLS	
243047	243000	CONTROLS	
243047	243013	CONTROLS	
243047	243021	CONTROLS	
243047	243030	CONTROLS	
243047	243037	CONTROLS	
242952	242958	CONTROLS	
242952	242974	CONTROLS	
242952	242988	CONTROLS	
242974	242979	CONTROLS	
242947	242952	DOM	
242995	243000	DOM	
242943	242947	DOM	
242952	242958	DOM	
242958	242974	DOM	
243013	243021	DOM	
242952	242995	DOM	
242974	242979	DOM	
243030	243037	DOM	
243000	243013	DOM	
243021	243030	DOM	
243047	242943	DOM	
243037	243048	DOM	
243047	243047	DOM	
242974	242988	DOM	
243013	243000	POST_DOM	
242995	242952	POST_DOM	
242952	242947	POST_DOM	
242974	242958	POST_DOM	
242988	242974	POST_DOM	
243030	243021	POST_DOM	
243000	242995	POST_DOM	
242988	242979	POST_DOM	
243048	243037	POST_DOM	
243037	243030	POST_DOM	
243021	243013	POST_DOM	
242947	242943	POST_DOM	
243048	243048	POST_DOM	
242943	243047	POST_DOM	
242995	242988	POST_DOM	
242940	242941	IS_FUNCTION_OF_AST	
242940	243047	IS_FUNCTION_OF_CFG	
242919	242940	IS_FILE_OF	
243060	243061	IS_AST_PARENT	
243060	243062	IS_AST_PARENT	
243059	243060	IS_AST_PARENT	
243058	243059	IS_AST_PARENT	
243064	243065	IS_AST_PARENT	
243064	243066	IS_AST_PARENT	
243063	243064	IS_AST_PARENT	
243058	243063	IS_AST_PARENT	
243070	243071	IS_AST_PARENT	
243069	243070	IS_AST_PARENT	
243069	243072	IS_AST_PARENT	
243068	243069	IS_AST_PARENT	
243067	243068	IS_AST_PARENT	
243076	243077	IS_AST_PARENT	
243075	243076	IS_AST_PARENT	
243079	243080	IS_AST_PARENT	
243078	243079	IS_AST_PARENT	
243075	243078	IS_AST_PARENT	
243074	243075	IS_AST_PARENT	
243073	243074	IS_AST_PARENT	
243067	243073	IS_AST_PARENT	
243084	243085	IS_AST_PARENT	
243086	243087	IS_AST_PARENT	
243089	243090	IS_AST_PARENT	
243088	243089	IS_AST_PARENT	
243093	243094	IS_AST_PARENT	
243095	243096	IS_AST_PARENT	
243095	243097	IS_AST_PARENT	
243093	243095	IS_AST_PARENT	
243092	243093	IS_AST_PARENT	
243091	243092	IS_AST_PARENT	
243088	243091	IS_AST_PARENT	
243086	243088	IS_AST_PARENT	
243084	243086	IS_AST_PARENT	
243083	243084	IS_AST_PARENT	
243082	243083	IS_AST_PARENT	
243100	243101	IS_AST_PARENT	
243100	243102	IS_AST_PARENT	
243099	243100	IS_AST_PARENT	
243098	243099	IS_AST_PARENT	
243106	243107	IS_AST_PARENT	
243105	243106	IS_AST_PARENT	
243110	243111	IS_AST_PARENT	
243110	243112	IS_AST_PARENT	
243109	243110	IS_AST_PARENT	
243108	243109	IS_AST_PARENT	
243105	243108	IS_AST_PARENT	
243104	243105	IS_AST_PARENT	
243103	243104	IS_AST_PARENT	
243098	243103	IS_AST_PARENT	
243082	243098	IS_AST_PARENT	
