command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	251022	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1300-c/testcases/000/233/879/CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_61a.c								
ANR	251023	DeclStmt									
ANR	251024	Decl							char	char * ( char * data )	CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_61b_badSource
ANR	251025	Function	CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_61_bad	26:0:814:1339							
ANR	251026	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_61_bad ()		251025	0					
ANR	251027	CompoundStatement		27:0:880:1339	251025	0					
ANR	251028	IdentifierDeclStatement	char * data ;	28:4:887:898	251025	0	True				
ANR	251029	IdentifierDecl	* data		251025	0					
ANR	251030	IdentifierDeclType	char *		251025	0					
ANR	251031	Identifier	data		251025	1					
ANR	251032	ExpressionStatement	data = NULL	29:4:905:916	251025	1	True				
ANR	251033	AssignmentExpression	data = NULL		251025	0		=			
ANR	251034	Identifier	data		251025	0					
ANR	251035	Identifier	NULL		251025	1					
ANR	251036	ExpressionStatement	data = CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_61b_badSource ( data )	30:4:923:1000	251025	2	True				
ANR	251037	AssignmentExpression	data = CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_61b_badSource ( data )		251025	0		=			
ANR	251038	Identifier	data		251025	0					
ANR	251039	CallExpression	CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_61b_badSource ( data )		251025	1					
ANR	251040	Callee	CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_61b_badSource		251025	0					
ANR	251041	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_61b_badSource		251025	0					
ANR	251042	ArgumentList	data		251025	1					
ANR	251043	Argument	data		251025	0					
ANR	251044	Identifier	data		251025	0					
ANR	251045	CompoundStatement		6:8:137:153	251025	3					
ANR	251046	IdentifierDeclStatement	char source [ 100 ] ;	32:8:1018:1034	251025	0	True				
ANR	251047	IdentifierDecl	source [ 100 ]		251025	0					
ANR	251048	IdentifierDeclType	char [ 100 ]		251025	0					
ANR	251049	Identifier	source		251025	1					
ANR	251050	PrimaryExpression	100		251025	2					
ANR	251051	ExpressionStatement	"memset ( source , 'C' , 100 - 1 )"	33:8:1045:1071	251025	1	True				
ANR	251052	CallExpression	"memset ( source , 'C' , 100 - 1 )"		251025	0					
ANR	251053	Callee	memset		251025	0					
ANR	251054	Identifier	memset		251025	0					
ANR	251055	ArgumentList	source		251025	1					
ANR	251056	Argument	source		251025	0					
ANR	251057	Identifier	source		251025	0					
ANR	251058	Argument	'C'		251025	1					
ANR	251059	PrimaryExpression	'C'		251025	0					
ANR	251060	Argument	100 - 1		251025	2					
ANR	251061	AdditiveExpression	100 - 1		251025	0		-			
ANR	251062	PrimaryExpression	100		251025	0					
ANR	251063	PrimaryExpression	1		251025	1					
ANR	251064	ExpressionStatement	source [ 100 - 1 ] = '\\0'	34:8:1103:1123	251025	2	True				
ANR	251065	AssignmentExpression	source [ 100 - 1 ] = '\\0'		251025	0		=			
ANR	251066	ArrayIndexing	source [ 100 - 1 ]		251025	0					
ANR	251067	Identifier	source		251025	0					
ANR	251068	AdditiveExpression	100 - 1		251025	1		-			
ANR	251069	PrimaryExpression	100		251025	0					
ANR	251070	PrimaryExpression	1		251025	1					
ANR	251071	PrimaryExpression	'\\0'		251025	1					
ANR	251072	ExpressionStatement	"strcat ( data , source )"	36:8:1262:1282	251025	3	True				
ANR	251073	CallExpression	"strcat ( data , source )"		251025	0					
ANR	251074	Callee	strcat		251025	0					
ANR	251075	Identifier	strcat		251025	0					
ANR	251076	ArgumentList	data		251025	1					
ANR	251077	Argument	data		251025	0					
ANR	251078	Identifier	data		251025	0					
ANR	251079	Argument	source		251025	1					
ANR	251080	Identifier	source		251025	0					
ANR	251081	ExpressionStatement	printLine ( data )	37:8:1293:1308	251025	4	True				
ANR	251082	CallExpression	printLine ( data )		251025	0					
ANR	251083	Callee	printLine		251025	0					
ANR	251084	Identifier	printLine		251025	0					
ANR	251085	ArgumentList	data		251025	1					
ANR	251086	Argument	data		251025	0					
ANR	251087	Identifier	data		251025	0					
ANR	251088	ExpressionStatement	free ( data )	38:8:1319:1329	251025	5	True				
ANR	251089	CallExpression	free ( data )		251025	0					
ANR	251090	Callee	free		251025	0					
ANR	251091	Identifier	free		251025	0					
ANR	251092	ArgumentList	data		251025	1					
ANR	251093	Argument	data		251025	0					
ANR	251094	Identifier	data		251025	0					
ANR	251095	ReturnType	void		251025	1					
ANR	251096	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_61_bad		251025	2					
ANR	251097	ParameterList			251025	3					
ANR	251098	CFGEntryNode	ENTRY		251025		True				
ANR	251099	CFGExitNode	EXIT		251025		True				
ANR	251100	Symbol	NULL		251025						
ANR	251101	Symbol	data		251025						
ANR	251102	Symbol	* source		251025						
ANR	251103	Symbol	CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_61b_badSource		251025						
ANR	251104	Symbol	source		251025						
ANR	251105	DeclStmt									
ANR	251106	Decl							char	char * ( char * data )	CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_61b_goodG2BSource
ANR	251107	Function	goodG2B	49:0:1533:2019							
ANR	251108	FunctionDef	goodG2B ()		251107	0					
ANR	251109	CompoundStatement		50:0:1556:2019	251107	0					
ANR	251110	IdentifierDeclStatement	char * data ;	51:4:1563:1574	251107	0	True				
ANR	251111	IdentifierDecl	* data		251107	0					
ANR	251112	IdentifierDeclType	char *		251107	0					
ANR	251113	Identifier	data		251107	1					
ANR	251114	ExpressionStatement	data = NULL	52:4:1581:1592	251107	1	True				
ANR	251115	AssignmentExpression	data = NULL		251107	0		=			
ANR	251116	Identifier	data		251107	0					
ANR	251117	Identifier	NULL		251107	1					
ANR	251118	ExpressionStatement	data = CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_61b_goodG2BSource ( data )	53:4:1599:1680	251107	2	True				
ANR	251119	AssignmentExpression	data = CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_61b_goodG2BSource ( data )		251107	0		=			
ANR	251120	Identifier	data		251107	0					
ANR	251121	CallExpression	CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_61b_goodG2BSource ( data )		251107	1					
ANR	251122	Callee	CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_61b_goodG2BSource		251107	0					
ANR	251123	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_61b_goodG2BSource		251107	0					
ANR	251124	ArgumentList	data		251107	1					
ANR	251125	Argument	data		251107	0					
ANR	251126	Identifier	data		251107	0					
ANR	251127	CompoundStatement		6:8:141:157	251107	3					
ANR	251128	IdentifierDeclStatement	char source [ 100 ] ;	55:8:1698:1714	251107	0	True				
ANR	251129	IdentifierDecl	source [ 100 ]		251107	0					
ANR	251130	IdentifierDeclType	char [ 100 ]		251107	0					
ANR	251131	Identifier	source		251107	1					
ANR	251132	PrimaryExpression	100		251107	2					
ANR	251133	ExpressionStatement	"memset ( source , 'C' , 100 - 1 )"	56:8:1725:1751	251107	1	True				
ANR	251134	CallExpression	"memset ( source , 'C' , 100 - 1 )"		251107	0					
ANR	251135	Callee	memset		251107	0					
ANR	251136	Identifier	memset		251107	0					
ANR	251137	ArgumentList	source		251107	1					
ANR	251138	Argument	source		251107	0					
ANR	251139	Identifier	source		251107	0					
ANR	251140	Argument	'C'		251107	1					
ANR	251141	PrimaryExpression	'C'		251107	0					
ANR	251142	Argument	100 - 1		251107	2					
ANR	251143	AdditiveExpression	100 - 1		251107	0		-			
ANR	251144	PrimaryExpression	100		251107	0					
ANR	251145	PrimaryExpression	1		251107	1					
ANR	251146	ExpressionStatement	source [ 100 - 1 ] = '\\0'	57:8:1783:1803	251107	2	True				
ANR	251147	AssignmentExpression	source [ 100 - 1 ] = '\\0'		251107	0		=			
ANR	251148	ArrayIndexing	source [ 100 - 1 ]		251107	0					
ANR	251149	Identifier	source		251107	0					
ANR	251150	AdditiveExpression	100 - 1		251107	1		-			
ANR	251151	PrimaryExpression	100		251107	0					
ANR	251152	PrimaryExpression	1		251107	1					
ANR	251153	PrimaryExpression	'\\0'		251107	1					
ANR	251154	ExpressionStatement	"strcat ( data , source )"	59:8:1942:1962	251107	3	True				
ANR	251155	CallExpression	"strcat ( data , source )"		251107	0					
ANR	251156	Callee	strcat		251107	0					
ANR	251157	Identifier	strcat		251107	0					
ANR	251158	ArgumentList	data		251107	1					
ANR	251159	Argument	data		251107	0					
ANR	251160	Identifier	data		251107	0					
ANR	251161	Argument	source		251107	1					
ANR	251162	Identifier	source		251107	0					
ANR	251163	ExpressionStatement	printLine ( data )	60:8:1973:1988	251107	4	True				
ANR	251164	CallExpression	printLine ( data )		251107	0					
ANR	251165	Callee	printLine		251107	0					
ANR	251166	Identifier	printLine		251107	0					
ANR	251167	ArgumentList	data		251107	1					
ANR	251168	Argument	data		251107	0					
ANR	251169	Identifier	data		251107	0					
ANR	251170	ExpressionStatement	free ( data )	61:8:1999:2009	251107	5	True				
ANR	251171	CallExpression	free ( data )		251107	0					
ANR	251172	Callee	free		251107	0					
ANR	251173	Identifier	free		251107	0					
ANR	251174	ArgumentList	data		251107	1					
ANR	251175	Argument	data		251107	0					
ANR	251176	Identifier	data		251107	0					
ANR	251177	ReturnType	static void		251107	1					
ANR	251178	Identifier	goodG2B		251107	2					
ANR	251179	ParameterList			251107	3					
ANR	251180	CFGEntryNode	ENTRY		251107		True				
ANR	251181	CFGExitNode	EXIT		251107		True				
ANR	251182	Symbol	NULL		251107						
ANR	251183	Symbol	data		251107						
ANR	251184	Symbol	* source		251107						
ANR	251185	Symbol	CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cat_61b_goodG2BSource		251107						
ANR	251186	Symbol	source		251107						
