command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	252120	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1300-c/testcases/000/233/885/CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cpy_03.c								
ANR	252121	Function	CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cpy_03_bad	23:0:646:1346							
ANR	252122	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cpy_03_bad ()		252121	0					
ANR	252123	CompoundStatement		24:0:712:1346	252121	0					
ANR	252124	IdentifierDeclStatement	char * data ;	25:4:719:730	252121	0	True				
ANR	252125	IdentifierDecl	* data		252121	0					
ANR	252126	IdentifierDeclType	char *		252121	0					
ANR	252127	Identifier	data		252121	1					
ANR	252128	ExpressionStatement	data = NULL	26:4:737:748	252121	1	True				
ANR	252129	AssignmentExpression	data = NULL		252121	0		=			
ANR	252130	Identifier	data		252121	0					
ANR	252131	Identifier	NULL		252121	1					
ANR	252132	IfStatement	if ( 5 == 5 )		252121	2					
ANR	252133	Condition	5 == 5	27:7:758:761	252121	0	True				
ANR	252134	EqualityExpression	5 == 5		252121	0		==			
ANR	252135	PrimaryExpression	5		252121	0					
ANR	252136	PrimaryExpression	5		252121	1					
ANR	252137	CompoundStatement		5:4:56:56	252121	1					
ANR	252138	ExpressionStatement	data = ( char * ) malloc ( 50 * sizeof ( char ) )	30:8:899:937	252121	0	True				
ANR	252139	AssignmentExpression	data = ( char * ) malloc ( 50 * sizeof ( char ) )		252121	0		=			
ANR	252140	Identifier	data		252121	0					
ANR	252141	CastExpression	( char * ) malloc ( 50 * sizeof ( char ) )		252121	1					
ANR	252142	CastTarget	char *		252121	0					
ANR	252143	CallExpression	malloc ( 50 * sizeof ( char ) )		252121	1					
ANR	252144	Callee	malloc		252121	0					
ANR	252145	Identifier	malloc		252121	0					
ANR	252146	ArgumentList	50 * sizeof ( char )		252121	1					
ANR	252147	Argument	50 * sizeof ( char )		252121	0					
ANR	252148	MultiplicativeExpression	50 * sizeof ( char )		252121	0		*			
ANR	252149	PrimaryExpression	50		252121	0					
ANR	252150	SizeofExpression	sizeof ( char )		252121	1					
ANR	252151	Sizeof	sizeof		252121	0					
ANR	252152	SizeofOperand	char		252121	1					
ANR	252153	IfStatement	if ( data == NULL )		252121	1					
ANR	252154	Condition	data == NULL	31:12:952:963	252121	0	True				
ANR	252155	EqualityExpression	data == NULL		252121	0		==			
ANR	252156	Identifier	data		252121	0					
ANR	252157	Identifier	NULL		252121	1					
ANR	252158	CompoundStatement		8:26:253:253	252121	1					
ANR	252159	ExpressionStatement	exit ( - 1 )	31:27:967:975	252121	0	True				
ANR	252160	CallExpression	exit ( - 1 )		252121	0					
ANR	252161	Callee	exit		252121	0					
ANR	252162	Identifier	exit		252121	0					
ANR	252163	ArgumentList	- 1		252121	1					
ANR	252164	Argument	- 1		252121	0					
ANR	252165	UnaryOperationExpression	- 1		252121	0					
ANR	252166	UnaryOperator	-		252121	0					
ANR	252167	PrimaryExpression	1		252121	1					
ANR	252168	ExpressionStatement	data [ 0 ] = '\\0'	32:8:986:1000	252121	2	True				
ANR	252169	AssignmentExpression	data [ 0 ] = '\\0'		252121	0		=			
ANR	252170	ArrayIndexing	data [ 0 ]		252121	0					
ANR	252171	Identifier	data		252121	0					
ANR	252172	PrimaryExpression	0		252121	1					
ANR	252173	PrimaryExpression	'\\0'		252121	1					
ANR	252174	CompoundStatement		12:8:333:349	252121	3					
ANR	252175	IdentifierDeclStatement	char source [ 100 ] ;	35:8:1046:1062	252121	0	True				
ANR	252176	IdentifierDecl	source [ 100 ]		252121	0					
ANR	252177	IdentifierDeclType	char [ 100 ]		252121	0					
ANR	252178	Identifier	source		252121	1					
ANR	252179	PrimaryExpression	100		252121	2					
ANR	252180	ExpressionStatement	"memset ( source , 'C' , 100 - 1 )"	36:8:1073:1099	252121	1	True				
ANR	252181	CallExpression	"memset ( source , 'C' , 100 - 1 )"		252121	0					
ANR	252182	Callee	memset		252121	0					
ANR	252183	Identifier	memset		252121	0					
ANR	252184	ArgumentList	source		252121	1					
ANR	252185	Argument	source		252121	0					
ANR	252186	Identifier	source		252121	0					
ANR	252187	Argument	'C'		252121	1					
ANR	252188	PrimaryExpression	'C'		252121	0					
ANR	252189	Argument	100 - 1		252121	2					
ANR	252190	AdditiveExpression	100 - 1		252121	0		-			
ANR	252191	PrimaryExpression	100		252121	0					
ANR	252192	PrimaryExpression	1		252121	1					
ANR	252193	ExpressionStatement	source [ 100 - 1 ] = '\\0'	37:8:1131:1151	252121	2	True				
ANR	252194	AssignmentExpression	source [ 100 - 1 ] = '\\0'		252121	0		=			
ANR	252195	ArrayIndexing	source [ 100 - 1 ]		252121	0					
ANR	252196	Identifier	source		252121	0					
ANR	252197	AdditiveExpression	100 - 1		252121	1		-			
ANR	252198	PrimaryExpression	100		252121	0					
ANR	252199	PrimaryExpression	1		252121	1					
ANR	252200	PrimaryExpression	'\\0'		252121	1					
ANR	252201	ExpressionStatement	"strcpy ( data , source )"	39:8:1269:1289	252121	3	True				
ANR	252202	CallExpression	"strcpy ( data , source )"		252121	0					
ANR	252203	Callee	strcpy		252121	0					
ANR	252204	Identifier	strcpy		252121	0					
ANR	252205	ArgumentList	data		252121	1					
ANR	252206	Argument	data		252121	0					
ANR	252207	Identifier	data		252121	0					
ANR	252208	Argument	source		252121	1					
ANR	252209	Identifier	source		252121	0					
ANR	252210	ExpressionStatement	printLine ( data )	40:8:1300:1315	252121	4	True				
ANR	252211	CallExpression	printLine ( data )		252121	0					
ANR	252212	Callee	printLine		252121	0					
ANR	252213	Identifier	printLine		252121	0					
ANR	252214	ArgumentList	data		252121	1					
ANR	252215	Argument	data		252121	0					
ANR	252216	Identifier	data		252121	0					
ANR	252217	ExpressionStatement	free ( data )	41:8:1326:1336	252121	5	True				
ANR	252218	CallExpression	free ( data )		252121	0					
ANR	252219	Callee	free		252121	0					
ANR	252220	Identifier	free		252121	0					
ANR	252221	ArgumentList	data		252121	1					
ANR	252222	Argument	data		252121	0					
ANR	252223	Identifier	data		252121	0					
ANR	252224	ReturnType	void		252121	1					
ANR	252225	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cpy_03_bad		252121	2					
ANR	252226	ParameterList			252121	3					
ANR	252227	CFGEntryNode	ENTRY		252121		True				
ANR	252228	CFGExitNode	EXIT		252121		True				
