command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	259753	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1300-c/testcases/000/233/902/CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cpy_22b.c								
ANR	259754	DeclStmt									
ANR	259755	Decl							extern int	extern int	CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cpy_22_badGlobal
ANR	259756	Function	CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cpy_22_badSource	26:0:890:1335							
ANR	259757	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cpy_22_badSource (char * data)		259756	0					
ANR	259758	CompoundStatement		27:0:975:1335	259756	0					
ANR	259759	IfStatement	if ( CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cpy_22_badGlobal )		259756	0					
ANR	259760	Condition	CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cpy_22_badGlobal	28:7:985:1047	259756	0	True				
ANR	259761	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cpy_22_badGlobal		259756	0					
ANR	259762	CompoundStatement		3:4:79:79	259756	1					
ANR	259763	ExpressionStatement	data = ( char * ) malloc ( 50 * sizeof ( char ) )	31:8:1185:1223	259756	0	True				
ANR	259764	AssignmentExpression	data = ( char * ) malloc ( 50 * sizeof ( char ) )		259756	0		=			
ANR	259765	Identifier	data		259756	0					
ANR	259766	CastExpression	( char * ) malloc ( 50 * sizeof ( char ) )		259756	1					
ANR	259767	CastTarget	char *		259756	0					
ANR	259768	CallExpression	malloc ( 50 * sizeof ( char ) )		259756	1					
ANR	259769	Callee	malloc		259756	0					
ANR	259770	Identifier	malloc		259756	0					
ANR	259771	ArgumentList	50 * sizeof ( char )		259756	1					
ANR	259772	Argument	50 * sizeof ( char )		259756	0					
ANR	259773	MultiplicativeExpression	50 * sizeof ( char )		259756	0		*			
ANR	259774	PrimaryExpression	50		259756	0					
ANR	259775	SizeofExpression	sizeof ( char )		259756	1					
ANR	259776	Sizeof	sizeof		259756	0					
ANR	259777	SizeofOperand	char		259756	1					
ANR	259778	IfStatement	if ( data == NULL )		259756	1					
ANR	259779	Condition	data == NULL	32:12:1238:1249	259756	0	True				
ANR	259780	EqualityExpression	data == NULL		259756	0		==			
ANR	259781	Identifier	data		259756	0					
ANR	259782	Identifier	NULL		259756	1					
ANR	259783	CompoundStatement		6:26:276:276	259756	1					
ANR	259784	ExpressionStatement	exit ( - 1 )	32:27:1253:1261	259756	0	True				
ANR	259785	CallExpression	exit ( - 1 )		259756	0					
ANR	259786	Callee	exit		259756	0					
ANR	259787	Identifier	exit		259756	0					
ANR	259788	ArgumentList	- 1		259756	1					
ANR	259789	Argument	- 1		259756	0					
ANR	259790	UnaryOperationExpression	- 1		259756	0					
ANR	259791	UnaryOperator	-		259756	0					
ANR	259792	PrimaryExpression	1		259756	1					
ANR	259793	ExpressionStatement	data [ 0 ] = '\\0'	33:8:1272:1286	259756	2	True				
ANR	259794	AssignmentExpression	data [ 0 ] = '\\0'		259756	0		=			
ANR	259795	ArrayIndexing	data [ 0 ]		259756	0					
ANR	259796	Identifier	data		259756	0					
ANR	259797	PrimaryExpression	0		259756	1					
ANR	259798	PrimaryExpression	'\\0'		259756	1					
ANR	259799	ReturnStatement	return data ;	35:4:1321:1332	259756	1	True				
ANR	259800	Identifier	data		259756	0					
ANR	259801	ReturnType	char *		259756	1					
ANR	259802	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cpy_22_badSource		259756	2					
ANR	259803	ParameterList	char * data		259756	3					
ANR	259804	Parameter	char * data	26:71:961:971	259756	0	True				
ANR	259805	ParameterType	char *		259756	0					
ANR	259806	Identifier	data		259756	1					
ANR	259807	CFGEntryNode	ENTRY		259756		True				
ANR	259808	CFGExitNode	EXIT		259756		True				
ANR	259809	Symbol	malloc		259756						
ANR	259810	Symbol	NULL		259756						
ANR	259811	Symbol	data		259756						
ANR	259812	Symbol	CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cpy_22_badGlobal		259756						
ANR	259813	Symbol	* data		259756						
ANR	259814	DeclStmt									
ANR	259815	Decl							extern int	extern int	CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cpy_22_goodG2B1Global
ANR	259816	DeclStmt									
ANR	259817	Decl							extern int	extern int	CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cpy_22_goodG2B2Global
ANR	259818	Function	CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cpy_22_goodG2B1Source	47:0:1743:2349							
ANR	259819	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cpy_22_goodG2B1Source (char * data)		259818	0					
ANR	259820	CompoundStatement		48:0:1833:2349	259818	0					
ANR	259821	IfStatement	if ( CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cpy_22_goodG2B1Global )		259818	0					
ANR	259822	Condition	CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cpy_22_goodG2B1Global	49:7:1843:1910	259818	0	True				
ANR	259823	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_dest_char_cpy_22_goodG2B1Global		259818	0					
ANR	259824	CompoundStatement		3:4:84:84	259818	1					
ANR	259825	ExpressionStatement	"printLine ( ""Benign, fixed string"" )"	52:8:2005:2038	259818	0	True				
ANR	259826	CallExpression	"printLine ( ""Benign, fixed string"" )"		259818	0					
