command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	266724	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1400-c/testcases/000/233/679/CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_memcpy_03.c								
ANR	266725	Function	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_memcpy_03_bad	23:0:601:1354							
ANR	266726	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_memcpy_03_bad ()		266725	0					
ANR	266727	CompoundStatement		24:0:675:1354	266725	0					
ANR	266728	IdentifierDeclStatement	wchar_t * data ;	25:4:682:696	266725	0	True				
ANR	266729	IdentifierDecl	* data		266725	0					
ANR	266730	IdentifierDeclType	wchar_t *		266725	0					
ANR	266731	Identifier	data		266725	1					
ANR	266732	ExpressionStatement	data = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )	26:4:703:748	266725	1	True				
ANR	266733	AssignmentExpression	data = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		266725	0		=			
ANR	266734	Identifier	data		266725	0					
ANR	266735	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		266725	1					
ANR	266736	CastTarget	wchar_t *		266725	0					
ANR	266737	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		266725	1					
ANR	266738	Callee	malloc		266725	0					
ANR	266739	Identifier	malloc		266725	0					
ANR	266740	ArgumentList	100 * sizeof ( wchar_t )		266725	1					
ANR	266741	Argument	100 * sizeof ( wchar_t )		266725	0					
ANR	266742	MultiplicativeExpression	100 * sizeof ( wchar_t )		266725	0		*			
ANR	266743	PrimaryExpression	100		266725	0					
ANR	266744	SizeofExpression	sizeof ( wchar_t )		266725	1					
ANR	266745	Sizeof	sizeof		266725	0					
ANR	266746	SizeofOperand	wchar_t		266725	1					
ANR	266747	IfStatement	if ( data == NULL )		266725	2					
ANR	266748	Condition	data == NULL	27:8:759:770	266725	0	True				
ANR	266749	EqualityExpression	data == NULL		266725	0		==			
ANR	266750	Identifier	data		266725	0					
ANR	266751	Identifier	NULL		266725	1					
ANR	266752	CompoundStatement		4:22:97:97	266725	1					
ANR	266753	ExpressionStatement	exit ( - 1 )	27:23:774:782	266725	0	True				
ANR	266754	CallExpression	exit ( - 1 )		266725	0					
ANR	266755	Callee	exit		266725	0					
ANR	266756	Identifier	exit		266725	0					
ANR	266757	ArgumentList	- 1		266725	1					
ANR	266758	Argument	- 1		266725	0					
ANR	266759	UnaryOperationExpression	- 1		266725	0					
ANR	266760	UnaryOperator	-		266725	0					
ANR	266761	PrimaryExpression	1		266725	1					
ANR	266762	IfStatement	if ( 5 == 5 )		266725	3					
ANR	266763	Condition	5 == 5	28:7:792:795	266725	0	True				
ANR	266764	EqualityExpression	5 == 5		266725	0		==			
ANR	266765	PrimaryExpression	5		266725	0					
ANR	266766	PrimaryExpression	5		266725	1					
ANR	266767	CompoundStatement		6:4:127:127	266725	1					
ANR	266768	Statement	wmemset	31:8:923:929	266725	0	True				
ANR	266769	Statement	(	31:15:930:930	266725	1	True				
ANR	266770	Statement	data	31:16:931:934	266725	2	True				
ANR	266771	Statement	","	31:20:935:935	266725	3	True				
ANR	266772	Statement	L	31:22:937:937	266725	4	True				
ANR	266773	Statement	'A'	31:23:938:940	266725	5	True				
ANR	266774	Statement	","	31:26:941:941	266725	6	True				
ANR	266775	Statement	100	31:28:943:945	266725	7	True				
ANR	266776	Statement	-	31:31:946:946	266725	8	True				
ANR	266777	Statement	1	31:32:947:947	266725	9	True				
ANR	266778	Statement	)	31:33:948:948	266725	10	True				
ANR	266779	ExpressionStatement		31:34:949:949	266725	11	True				
ANR	266780	Statement	data	32:8:982:985	266725	12	True				
ANR	266781	Statement	[	32:12:986:986	266725	13	True				
ANR	266782	Statement	100	32:13:987:989	266725	14	True				
ANR	266783	Statement	-	32:16:990:990	266725	15	True				
ANR	266784	Statement	1	32:17:991:991	266725	16	True				
ANR	266785	Statement	]	32:18:992:992	266725	17	True				
ANR	266786	Statement	=	32:20:994:994	266725	18	True				
ANR	266787	Statement	L	32:22:996:996	266725	19	True				
ANR	266788	ExpressionStatement	'\\0'	32:23:997:1001	266725	20	True				
ANR	266789	PrimaryExpression	'\\0'		266725	0					
ANR	266790	CompoundStatement		11:4:360:360	266725	4					
ANR	266791	Statement	wchar_t	35:8:1047:1053	266725	0	True				
ANR	266792	Statement	dest	35:16:1055:1058	266725	1	True				
ANR	266793	Statement	[	35:20:1059:1059	266725	2	True				
ANR	266794	Statement	50	35:21:1060:1061	266725	3	True				
ANR	266795	Statement	]	35:23:1062:1062	266725	4	True				
ANR	266796	Statement	=	35:25:1064:1064	266725	5	True				
ANR	266797	Statement	L	35:27:1066:1066	266725	6	True				
ANR	266798	ExpressionStatement	""""""	35:28:1067:1069	266725	7	True				
ANR	266799	PrimaryExpression	""""""		266725	0					
ANR	266800	ExpressionStatement	"memcpy ( dest , data , wcslen ( data ) * sizeof ( wchar_t ) )"	37:8:1164:1212	266725	8	True				
ANR	266801	CallExpression	"memcpy ( dest , data , wcslen ( data ) * sizeof ( wchar_t ) )"		266725	0					
ANR	266802	Callee	memcpy		266725	0					
ANR	266803	Identifier	memcpy		266725	0					
ANR	266804	ArgumentList	dest		266725	1					
ANR	266805	Argument	dest		266725	0					
ANR	266806	Identifier	dest		266725	0					
ANR	266807	Argument	data		266725	1					
ANR	266808	Identifier	data		266725	0					
ANR	266809	Argument	wcslen ( data ) * sizeof ( wchar_t )		266725	2					
ANR	266810	MultiplicativeExpression	wcslen ( data ) * sizeof ( wchar_t )		266725	0		*			
ANR	266811	CallExpression	wcslen ( data )		266725	0					
ANR	266812	Callee	wcslen		266725	0					
ANR	266813	Identifier	wcslen		266725	0					
ANR	266814	ArgumentList	data		266725	1					
ANR	266815	Argument	data		266725	0					
ANR	266816	Identifier	data		266725	0					
