start	end	type	var
272538	272539	IS_AST_PARENT	
272538	272540	IS_AST_PARENT	
272537	272538	IS_AST_PARENT	
272536	272537	IS_AST_PARENT	
272542	272543	IS_AST_PARENT	
272544	272545	IS_AST_PARENT	
272547	272548	IS_AST_PARENT	
272546	272547	IS_AST_PARENT	
272551	272552	IS_AST_PARENT	
272553	272554	IS_AST_PARENT	
272553	272555	IS_AST_PARENT	
272551	272553	IS_AST_PARENT	
272550	272551	IS_AST_PARENT	
272549	272550	IS_AST_PARENT	
272546	272549	IS_AST_PARENT	
272544	272546	IS_AST_PARENT	
272542	272544	IS_AST_PARENT	
272541	272542	IS_AST_PARENT	
272536	272541	IS_AST_PARENT	
272558	272559	IS_AST_PARENT	
272558	272560	IS_AST_PARENT	
272557	272558	IS_AST_PARENT	
272556	272557	IS_AST_PARENT	
272564	272565	IS_AST_PARENT	
272563	272564	IS_AST_PARENT	
272568	272569	IS_AST_PARENT	
272568	272570	IS_AST_PARENT	
272567	272568	IS_AST_PARENT	
272566	272567	IS_AST_PARENT	
272563	272566	IS_AST_PARENT	
272562	272563	IS_AST_PARENT	
272561	272562	IS_AST_PARENT	
272556	272561	IS_AST_PARENT	
272536	272556	IS_AST_PARENT	
272572	272573	IS_AST_PARENT	
272571	272572	IS_AST_PARENT	
272574	272575	IS_AST_PARENT	
272574	272576	IS_AST_PARENT	
272574	272577	IS_AST_PARENT	
272574	272578	IS_AST_PARENT	
272574	272579	IS_AST_PARENT	
272574	272580	IS_AST_PARENT	
272574	272581	IS_AST_PARENT	
272574	272582	IS_AST_PARENT	
272574	272583	IS_AST_PARENT	
272574	272584	IS_AST_PARENT	
272574	272585	IS_AST_PARENT	
272574	272586	IS_AST_PARENT	
272574	272587	IS_AST_PARENT	
272574	272588	IS_AST_PARENT	
272574	272589	IS_AST_PARENT	
272574	272590	IS_AST_PARENT	
272574	272591	IS_AST_PARENT	
272574	272592	IS_AST_PARENT	
272574	272593	IS_AST_PARENT	
272574	272594	IS_AST_PARENT	
272574	272595	IS_AST_PARENT	
272596	272597	IS_AST_PARENT	
272574	272596	IS_AST_PARENT	
272574	272598	IS_AST_PARENT	
272599	272600	IS_AST_PARENT	
272574	272599	IS_AST_PARENT	
272603	272604	IS_AST_PARENT	
272602	272603	IS_AST_PARENT	
272606	272607	IS_AST_PARENT	
272605	272606	IS_AST_PARENT	
272602	272605	IS_AST_PARENT	
272601	272602	IS_AST_PARENT	
272574	272601	IS_AST_PARENT	
272574	272608	IS_AST_PARENT	
272571	272574	IS_AST_PARENT	
272536	272571	IS_AST_PARENT	
272609	272610	IS_AST_PARENT	
272609	272611	IS_AST_PARENT	
272609	272612	IS_AST_PARENT	
272609	272613	IS_AST_PARENT	
272609	272614	IS_AST_PARENT	
272609	272615	IS_AST_PARENT	
