command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	286516	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1400-c/testcases/000/233/729/CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_memmove_32.c								
ANR	286517	Function	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_memmove_32_bad	23:0:640:1596							
ANR	286518	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_memmove_32_bad ()		286517	0					
ANR	286519	CompoundStatement		24:0:715:1596	286517	0					
ANR	286520	IdentifierDeclStatement	wchar_t * data ;	25:4:722:736	286517	0	True				
ANR	286521	IdentifierDecl	* data		286517	0					
ANR	286522	IdentifierDeclType	wchar_t *		286517	0					
ANR	286523	Identifier	data		286517	1					
ANR	286524	IdentifierDeclStatement	wchar_t * * dataPtr1 = & data ;	26:4:743:770	286517	1	True				
ANR	286525	IdentifierDecl	* * dataPtr1 = & data		286517	0					
ANR	286526	IdentifierDeclType	wchar_t * *		286517	0					
ANR	286527	Identifier	dataPtr1		286517	1					
ANR	286528	AssignmentExpression	* * dataPtr1 = & data		286517	2		=			
ANR	286529	Identifier	dataPtr1		286517	0					
ANR	286530	UnaryOperationExpression	& data		286517	1					
ANR	286531	UnaryOperator	&		286517	0					
ANR	286532	Identifier	data		286517	1					
ANR	286533	IdentifierDeclStatement	wchar_t * * dataPtr2 = & data ;	27:4:777:804	286517	2	True				
ANR	286534	IdentifierDecl	* * dataPtr2 = & data		286517	0					
ANR	286535	IdentifierDeclType	wchar_t * *		286517	0					
ANR	286536	Identifier	dataPtr2		286517	1					
ANR	286537	AssignmentExpression	* * dataPtr2 = & data		286517	2		=			
ANR	286538	Identifier	dataPtr2		286517	0					
ANR	286539	UnaryOperationExpression	& data		286517	1					
ANR	286540	UnaryOperator	&		286517	0					
ANR	286541	Identifier	data		286517	1					
ANR	286542	ExpressionStatement	data = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )	28:4:811:856	286517	3	True				
ANR	286543	AssignmentExpression	data = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		286517	0		=			
ANR	286544	Identifier	data		286517	0					
ANR	286545	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		286517	1					
ANR	286546	CastTarget	wchar_t *		286517	0					
ANR	286547	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		286517	1					
ANR	286548	Callee	malloc		286517	0					
ANR	286549	Identifier	malloc		286517	0					
ANR	286550	ArgumentList	100 * sizeof ( wchar_t )		286517	1					
ANR	286551	Argument	100 * sizeof ( wchar_t )		286517	0					
ANR	286552	MultiplicativeExpression	100 * sizeof ( wchar_t )		286517	0		*			
ANR	286553	PrimaryExpression	100		286517	0					
ANR	286554	SizeofExpression	sizeof ( wchar_t )		286517	1					
ANR	286555	Sizeof	sizeof		286517	0					
ANR	286556	SizeofOperand	wchar_t		286517	1					
ANR	286557	IfStatement	if ( data == NULL )		286517	4					
ANR	286558	Condition	data == NULL	29:8:867:878	286517	0	True				
ANR	286559	EqualityExpression	data == NULL		286517	0		==			
ANR	286560	Identifier	data		286517	0					
ANR	286561	Identifier	NULL		286517	1					
ANR	286562	CompoundStatement		6:22:165:165	286517	1					
ANR	286563	ExpressionStatement	exit ( - 1 )	29:23:882:890	286517	0	True				
ANR	286564	CallExpression	exit ( - 1 )		286517	0					
ANR	286565	Callee	exit		286517	0					
ANR	286566	Identifier	exit		286517	0					
ANR	286567	ArgumentList	- 1		286517	1					
ANR	286568	Argument	- 1		286517	0					
ANR	286569	UnaryOperationExpression	- 1		286517	0					
ANR	286570	UnaryOperator	-		286517	0					
ANR	286571	PrimaryExpression	1		286517	1					
ANR	286572	CompoundStatement		8:8:192:218	286517	5					
