command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	302304	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1400-c/testcases/000/233/778/CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_ncpy_06.c								
ANR	302305	DeclStmt									
ANR	302306	Decl							const int	const int	STATIC_CONST_FIVE
ANR	302307	Function	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_ncpy_06_bad	27:0:820:1572							
ANR	302308	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_ncpy_06_bad ()		302307	0					
ANR	302309	CompoundStatement		28:0:892:1572	302307	0					
ANR	302310	IdentifierDeclStatement	wchar_t * data ;	29:4:899:913	302307	0	True				
ANR	302311	IdentifierDecl	* data		302307	0					
ANR	302312	IdentifierDeclType	wchar_t *		302307	0					
ANR	302313	Identifier	data		302307	1					
ANR	302314	ExpressionStatement	data = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )	30:4:920:965	302307	1	True				
ANR	302315	AssignmentExpression	data = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		302307	0		=			
ANR	302316	Identifier	data		302307	0					
ANR	302317	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		302307	1					
ANR	302318	CastTarget	wchar_t *		302307	0					
ANR	302319	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		302307	1					
ANR	302320	Callee	malloc		302307	0					
ANR	302321	Identifier	malloc		302307	0					
ANR	302322	ArgumentList	100 * sizeof ( wchar_t )		302307	1					
ANR	302323	Argument	100 * sizeof ( wchar_t )		302307	0					
ANR	302324	MultiplicativeExpression	100 * sizeof ( wchar_t )		302307	0		*			
ANR	302325	PrimaryExpression	100		302307	0					
ANR	302326	SizeofExpression	sizeof ( wchar_t )		302307	1					
ANR	302327	Sizeof	sizeof		302307	0					
ANR	302328	SizeofOperand	wchar_t		302307	1					
ANR	302329	IfStatement	if ( data == NULL )		302307	2					
ANR	302330	Condition	data == NULL	31:8:976:987	302307	0	True				
ANR	302331	EqualityExpression	data == NULL		302307	0		==			
ANR	302332	Identifier	data		302307	0					
ANR	302333	Identifier	NULL		302307	1					
ANR	302334	CompoundStatement		4:22:97:97	302307	1					
ANR	302335	ExpressionStatement	exit ( - 1 )	31:23:991:999	302307	0	True				
ANR	302336	CallExpression	exit ( - 1 )		302307	0					
ANR	302337	Callee	exit		302307	0					
ANR	302338	Identifier	exit		302307	0					
ANR	302339	ArgumentList	- 1		302307	1					
ANR	302340	Argument	- 1		302307	0					
ANR	302341	UnaryOperationExpression	- 1		302307	0					
ANR	302342	UnaryOperator	-		302307	0					
ANR	302343	PrimaryExpression	1		302307	1					
ANR	302344	IfStatement	if ( STATIC_CONST_FIVE == 5 )		302307	3					
ANR	302345	Condition	STATIC_CONST_FIVE == 5	32:7:1009:1028	302307	0	True				
