command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	319626	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1500-c/testcases/000/233/576/CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_ncat_45.c								
ANR	319627	DeclStmt									
ANR	319628	Decl							char	char *	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_ncat_45_badData
ANR	319629	DeclStmt									
ANR	319630	Decl							char	char *	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_ncat_45_goodG2BData
ANR	319631	Function	badSink	26:0:832:1264							
ANR	319632	FunctionDef	badSink ()		319631	0					
ANR	319633	CompoundStatement		27:0:855:1264	319631	0					
ANR	319634	IdentifierDeclStatement	char * data = CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_ncat_45_badData ;	28:4:862:940	319631	0	True				
ANR	319635	IdentifierDecl	* data = CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_ncat_45_badData		319631	0					
ANR	319636	IdentifierDeclType	char *		319631	0					
ANR	319637	Identifier	data		319631	1					
ANR	319638	AssignmentExpression	* data = CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_ncat_45_badData		319631	2		=			
ANR	319639	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_ncat_45_badData		319631	0					
ANR	319640	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_ncat_45_badData		319631	1					
ANR	319641	CompoundStatement		4:8:102:120	319631	1					
ANR	319642	IdentifierDeclStatement	"char dest [ 50 ] = """" ;"	30:8:958:976	319631	0	True				
ANR	319643	IdentifierDecl	"dest [ 50 ] = """""		319631	0					
ANR	319644	IdentifierDeclType	char [ 50 ]		319631	0					
ANR	319645	Identifier	dest		319631	1					
ANR	319646	PrimaryExpression	50		319631	2					
ANR	319647	AssignmentExpression	"dest [ 50 ] = """""		319631	3		=			
ANR	319648	Identifier	dest		319631	0					
ANR	319649	PrimaryExpression	""""""		319631	1					
ANR	319650	ExpressionStatement	"strncat ( dest , data , strlen ( data ) )"	32:8:1091:1124	319631	1	True				
ANR	319651	CallExpression	"strncat ( dest , data , strlen ( data ) )"		319631	0					
ANR	319652	Callee	strncat		319631	0					
ANR	319653	Identifier	strncat		319631	0					
ANR	319654	ArgumentList	dest		319631	1					
ANR	319655	Argument	dest		319631	0					
ANR	319656	Identifier	dest		319631	0					
ANR	319657	Argument	data		319631	1					
ANR	319658	Identifier	data		319631	0					
ANR	319659	Argument	strlen ( data )		319631	2					
ANR	319660	CallExpression	strlen ( data )		319631	0					
ANR	319661	Callee	strlen		319631	0					
ANR	319662	Identifier	strlen		319631	0					
ANR	319663	ArgumentList	data		319631	1					
ANR	319664	Argument	data		319631	0					
ANR	319665	Identifier	data		319631	0					
ANR	319666	ExpressionStatement	dest [ 50 - 1 ] = '\\0'	33:8:1135:1152	319631	2	True				
ANR	319667	AssignmentExpression	dest [ 50 - 1 ] = '\\0'		319631	0		=			
ANR	319668	ArrayIndexing	dest [ 50 - 1 ]		319631	0					
ANR	319669	Identifier	dest		319631	0					
ANR	319670	AdditiveExpression	50 - 1		319631	1		-			
ANR	319671	PrimaryExpression	50		319631	0					
ANR	319672	PrimaryExpression	1		319631	1					
ANR	319673	PrimaryExpression	'\\0'		319631	1					
ANR	319674	ExpressionStatement	printLine ( data )	34:8:1218:1233	319631	3	True				
ANR	319675	CallExpression	printLine ( data )		319631	0					
ANR	319676	Callee	printLine		319631	0					
ANR	319677	Identifier	printLine		319631	0					
ANR	319678	ArgumentList	data		319631	1					
ANR	319679	Argument	data		319631	0					
ANR	319680	Identifier	data		319631	0					
ANR	319681	ExpressionStatement	free ( data )	35:8:1244:1254	319631	4	True				
ANR	319682	CallExpression	free ( data )		319631	0					
ANR	319683	Callee	free		319631	0					
ANR	319684	Identifier	free		319631	0					
ANR	319685	ArgumentList	data		319631	1					
ANR	319686	Argument	data		319631	0					
ANR	319687	Identifier	data		319631	0					
ANR	319688	ReturnType	static void		319631	1					
ANR	319689	Identifier	badSink		319631	2					
ANR	319690	ParameterList			319631	3					
ANR	319691	CFGEntryNode	ENTRY		319631		True				
ANR	319692	CFGExitNode	EXIT		319631		True				
ANR	319693	Symbol	strlen		319631						
ANR	319694	Symbol	data		319631						
ANR	319695	Symbol	* dest		319631						
ANR	319696	Symbol	dest		319631						
ANR	319697	Symbol	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_ncat_45_badData		319631						
ANR	319698	Function	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_ncat_45_bad	39:0:1269:1736							
ANR	319699	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_ncat_45_bad ()		319698	0					
ANR	319700	CompoundStatement		40:0:1338:1736	319698	0					
ANR	319701	IdentifierDeclStatement	char * data ;	41:4:1345:1356	319698	0	True				
ANR	319702	IdentifierDecl	* data		319698	0					
ANR	319703	IdentifierDeclType	char *		319698	0					
ANR	319704	Identifier	data		319698	1					
ANR	319705	ExpressionStatement	data = ( char * ) malloc ( 100 * sizeof ( char ) )	42:4:1363:1402	319698	1	True				
ANR	319706	AssignmentExpression	data = ( char * ) malloc ( 100 * sizeof ( char ) )		319698	0		=			
ANR	319707	Identifier	data		319698	0					
ANR	319708	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		319698	1					
ANR	319709	CastTarget	char *		319698	0					
ANR	319710	CallExpression	malloc ( 100 * sizeof ( char ) )		319698	1					
ANR	319711	Callee	malloc		319698	0					
ANR	319712	Identifier	malloc		319698	0					
ANR	319713	ArgumentList	100 * sizeof ( char )		319698	1					
ANR	319714	Argument	100 * sizeof ( char )		319698	0					
ANR	319715	MultiplicativeExpression	100 * sizeof ( char )		319698	0		*			
ANR	319716	PrimaryExpression	100		319698	0					
ANR	319717	SizeofExpression	sizeof ( char )		319698	1					
ANR	319718	Sizeof	sizeof		319698	0					
ANR	319719	SizeofOperand	char		319698	1					
ANR	319720	IfStatement	if ( data == NULL )		319698	2					
ANR	319721	Condition	data == NULL	43:8:1413:1424	319698	0	True				
ANR	319722	EqualityExpression	data == NULL		319698	0		==			
ANR	319723	Identifier	data		319698	0					
ANR	319724	Identifier	NULL		319698	1					
ANR	319725	CompoundStatement		4:22:88:88	319698	1					
ANR	319726	ExpressionStatement	exit ( - 1 )	43:23:1428:1436	319698	0	True				
ANR	319727	CallExpression	exit ( - 1 )		319698	0					
ANR	319728	Callee	exit		319698	0					
ANR	319729	Identifier	exit		319698	0					
ANR	319730	ArgumentList	- 1		319698	1					
ANR	319731	Argument	- 1		319698	0					
ANR	319732	UnaryOperationExpression	- 1		319698	0					
ANR	319733	UnaryOperator	-		319698	0					
ANR	319734	PrimaryExpression	1		319698	1					
ANR	319735	ExpressionStatement	"memset ( data , 'A' , 100 - 1 )"	45:4:1548:1572	319698	3	True				
ANR	319736	CallExpression	"memset ( data , 'A' , 100 - 1 )"		319698	0					
ANR	319737	Callee	memset		319698	0					
ANR	319738	Identifier	memset		319698	0					
ANR	319739	ArgumentList	data		319698	1					
ANR	319740	Argument	data		319698	0					
ANR	319741	Identifier	data		319698	0					
ANR	319742	Argument	'A'		319698	1					
ANR	319743	PrimaryExpression	'A'		319698	0					
ANR	319744	Argument	100 - 1		319698	2					
ANR	319745	AdditiveExpression	100 - 1		319698	0		-			
ANR	319746	PrimaryExpression	100		319698	0					
ANR	319747	PrimaryExpression	1		319698	1					
ANR	319748	ExpressionStatement	data [ 100 - 1 ] = '\\0'	46:4:1600:1618	319698	4	True				
ANR	319749	AssignmentExpression	data [ 100 - 1 ] = '\\0'		319698	0		=			
ANR	319750	ArrayIndexing	data [ 100 - 1 ]		319698	0					
ANR	319751	Identifier	data		319698	0					
ANR	319752	AdditiveExpression	100 - 1		319698	1		-			
ANR	319753	PrimaryExpression	100		319698	0					
ANR	319754	PrimaryExpression	1		319698	1					
ANR	319755	PrimaryExpression	'\\0'		319698	1					
ANR	319756	ExpressionStatement	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_ncat_45_badData = data	47:4:1646:1717	319698	5	True				
ANR	319757	AssignmentExpression	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_ncat_45_badData = data		319698	0		=			
ANR	319758	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_ncat_45_badData		319698	0					
ANR	319759	Identifier	data		319698	1					
ANR	319760	ExpressionStatement	badSink ( )	48:4:1724:1733	319698	6	True				
ANR	319761	CallExpression	badSink ( )		319698	0					
ANR	319762	Callee	badSink		319698	0					
ANR	319763	Identifier	badSink		319698	0					
ANR	319764	ArgumentList			319698	1					
ANR	319765	ReturnType	void		319698	1					
ANR	319766	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_ncat_45_bad		319698	2					
ANR	319767	ParameterList			319698	3					
ANR	319768	CFGEntryNode	ENTRY		319698		True				
ANR	319769	CFGExitNode	EXIT		319698		True				
ANR	319770	Symbol	malloc		319698						
ANR	319771	Symbol	NULL		319698						
ANR	319772	Symbol	data		319698						
ANR	319773	Symbol	* data		319698						
ANR	319774	Symbol	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_ncat_45_badData		319698						
ANR	319775	Function	goodG2BSink	56:0:1839:2279							
ANR	319776	FunctionDef	goodG2BSink ()		319775	0					
ANR	319777	CompoundStatement		57:0:1866:2279	319775	0					
ANR	319778	IdentifierDeclStatement	char * data = CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_ncat_45_goodG2BData ;	58:4:1873:1955	319775	0	True				
ANR	319779	IdentifierDecl	* data = CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_ncat_45_goodG2BData		319775	0					
ANR	319780	IdentifierDeclType	char *		319775	0					
ANR	319781	Identifier	data		319775	1					
ANR	319782	AssignmentExpression	* data = CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_ncat_45_goodG2BData		319775	2		=			
ANR	319783	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_ncat_45_goodG2BData		319775	0					
ANR	319784	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_ncat_45_goodG2BData		319775	1					
