command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	323152	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1500-c/testcases/000/233/588/CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_ncpy_08.c								
ANR	323153	Function	staticReturnsTrue	25:0:776:826							
ANR	323154	FunctionDef	staticReturnsTrue ()		323153	0					
ANR	323155	CompoundStatement		26:0:808:826	323153	0					
ANR	323156	ReturnStatement	return 1 ;	27:4:815:823	323153	0	True				
ANR	323157	PrimaryExpression	1		323153	0					
ANR	323158	ReturnType	static int		323153	1					
ANR	323159	Identifier	staticReturnsTrue		323153	2					
ANR	323160	ParameterList			323153	3					
ANR	323161	CFGEntryNode	ENTRY		323153		True				
ANR	323162	CFGExitNode	EXIT		323153		True				
ANR	323163	Function	staticReturnsFalse	30:0:831:882							
ANR	323164	FunctionDef	staticReturnsFalse ()		323163	0					
ANR	323165	CompoundStatement		31:0:864:882	323163	0					
ANR	323166	ReturnStatement	return 0 ;	32:4:871:879	323163	0	True				
ANR	323167	PrimaryExpression	0		323163	0					
ANR	323168	ReturnType	static int		323163	1					
ANR	323169	Identifier	staticReturnsFalse		323163	2					
ANR	323170	ParameterList			323163	3					
ANR	323171	CFGEntryNode	ENTRY		323163		True				
ANR	323172	CFGExitNode	EXIT		323163		True				
ANR	323173	Function	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_ncpy_08_bad	37:0:906:1635							
ANR	323174	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_ncpy_08_bad ()		323173	0					
ANR	323175	CompoundStatement		38:0:975:1635	323173	0					
ANR	323176	IdentifierDeclStatement	char * data ;	39:4:982:993	323173	0	True				
ANR	323177	IdentifierDecl	* data		323173	0					
ANR	323178	IdentifierDeclType	char *		323173	0					
ANR	323179	Identifier	data		323173	1					
ANR	323180	ExpressionStatement	data = ( char * ) malloc ( 100 * sizeof ( char ) )	40:4:1000:1039	323173	1	True				
ANR	323181	AssignmentExpression	data = ( char * ) malloc ( 100 * sizeof ( char ) )		323173	0		=			
ANR	323182	Identifier	data		323173	0					
ANR	323183	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		323173	1					
ANR	323184	CastTarget	char *		323173	0					
ANR	323185	CallExpression	malloc ( 100 * sizeof ( char ) )		323173	1					
ANR	323186	Callee	malloc		323173	0					
ANR	323187	Identifier	malloc		323173	0					
ANR	323188	ArgumentList	100 * sizeof ( char )		323173	1					
ANR	323189	Argument	100 * sizeof ( char )		323173	0					
ANR	323190	MultiplicativeExpression	100 * sizeof ( char )		323173	0		*			
ANR	323191	PrimaryExpression	100		323173	0					
ANR	323192	SizeofExpression	sizeof ( char )		323173	1					
ANR	323193	Sizeof	sizeof		323173	0					
ANR	323194	SizeofOperand	char		323173	1					
ANR	323195	IfStatement	if ( data == NULL )		323173	2					
ANR	323196	Condition	data == NULL	41:8:1050:1061	323173	0	True				
ANR	323197	EqualityExpression	data == NULL		323173	0		==			
ANR	323198	Identifier	data		323173	0					
ANR	323199	Identifier	NULL		323173	1					
ANR	323200	CompoundStatement		4:22:88:88	323173	1					
