command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	332734	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1500-c/testcases/000/233/617/CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_snprintf_05.c								
ANR	332735	DeclStmt									
ANR	332736	Decl							int	int	staticTrue
ANR	332737	DeclStmt									
ANR	332738	Decl							int	int	staticFalse
ANR	332739	Function	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_snprintf_05_bad	36:0:997:1645							
ANR	332740	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_snprintf_05_bad ()		332739	0					
ANR	332741	CompoundStatement		37:0:1070:1645	332739	0					
ANR	332742	IdentifierDeclStatement	char * data ;	38:4:1077:1088	332739	0	True				
ANR	332743	IdentifierDecl	* data		332739	0					
ANR	332744	IdentifierDeclType	char *		332739	0					
ANR	332745	Identifier	data		332739	1					
ANR	332746	ExpressionStatement	data = ( char * ) malloc ( 100 * sizeof ( char ) )	39:4:1095:1134	332739	1	True				
ANR	332747	AssignmentExpression	data = ( char * ) malloc ( 100 * sizeof ( char ) )		332739	0		=			
ANR	332748	Identifier	data		332739	0					
ANR	332749	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		332739	1					
ANR	332750	CastTarget	char *		332739	0					
ANR	332751	CallExpression	malloc ( 100 * sizeof ( char ) )		332739	1					
ANR	332752	Callee	malloc		332739	0					
ANR	332753	Identifier	malloc		332739	0					
ANR	332754	ArgumentList	100 * sizeof ( char )		332739	1					
ANR	332755	Argument	100 * sizeof ( char )		332739	0					
ANR	332756	MultiplicativeExpression	100 * sizeof ( char )		332739	0		*			
ANR	332757	PrimaryExpression	100		332739	0					
ANR	332758	SizeofExpression	sizeof ( char )		332739	1					
ANR	332759	Sizeof	sizeof		332739	0					
ANR	332760	SizeofOperand	char		332739	1					
ANR	332761	IfStatement	if ( data == NULL )		332739	2					
ANR	332762	Condition	data == NULL	40:8:1145:1156	332739	0	True				
ANR	332763	EqualityExpression	data == NULL		332739	0		==			
ANR	332764	Identifier	data		332739	0					
ANR	332765	Identifier	NULL		332739	1					
ANR	332766	CompoundStatement		4:22:88:88	332739	1					
ANR	332767	ExpressionStatement	exit ( - 1 )	40:23:1160:1168	332739	0	True				
ANR	332768	CallExpression	exit ( - 1 )		332739	0					
ANR	332769	Callee	exit		332739	0					
ANR	332770	Identifier	exit		332739	0					
ANR	332771	ArgumentList	- 1		332739	1					
ANR	332772	Argument	- 1		332739	0					
ANR	332773	UnaryOperationExpression	- 1		332739	0					
ANR	332774	UnaryOperator	-		332739	0					
ANR	332775	PrimaryExpression	1		332739	1					
ANR	332776	IfStatement	if ( staticTrue )		332739	3					
ANR	332777	Condition	staticTrue	41:7:1178:1187	332739	0	True				
ANR	332778	Identifier	staticTrue		332739	0					
ANR	332779	CompoundStatement		6:4:124:124	332739	1					
