command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	350169	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1500-c/testcases/000/233/661/CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_loop_17.c								
ANR	350170	Function	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_loop_17_bad	23:0:585:1457							
ANR	350171	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_loop_17_bad ()		350170	0					
ANR	350172	CompoundStatement		24:0:657:1457	350170	0					
ANR	350173	IdentifierDeclStatement	int i ;	25:4:664:669	350170	0	True				
ANR	350174	IdentifierDecl	i		350170	0					
ANR	350175	IdentifierDeclType	int		350170	0					
ANR	350176	Identifier	i		350170	1					
ANR	350177	IdentifierDeclStatement	wchar_t * data ;	26:4:676:690	350170	1	True				
ANR	350178	IdentifierDecl	* data		350170	0					
ANR	350179	IdentifierDeclType	wchar_t *		350170	0					
ANR	350180	Identifier	data		350170	1					
ANR	350181	ExpressionStatement	data = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )	27:4:697:742	350170	2	True				
ANR	350182	AssignmentExpression	data = ( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		350170	0		=			
ANR	350183	Identifier	data		350170	0					
ANR	350184	CastExpression	( wchar_t * ) malloc ( 100 * sizeof ( wchar_t ) )		350170	1					
ANR	350185	CastTarget	wchar_t *		350170	0					
ANR	350186	CallExpression	malloc ( 100 * sizeof ( wchar_t ) )		350170	1					
ANR	350187	Callee	malloc		350170	0					
ANR	350188	Identifier	malloc		350170	0					
ANR	350189	ArgumentList	100 * sizeof ( wchar_t )		350170	1					
ANR	350190	Argument	100 * sizeof ( wchar_t )		350170	0					
ANR	350191	MultiplicativeExpression	100 * sizeof ( wchar_t )		350170	0		*			
ANR	350192	PrimaryExpression	100		350170	0					
ANR	350193	SizeofExpression	sizeof ( wchar_t )		350170	1					
ANR	350194	Sizeof	sizeof		350170	0					
ANR	350195	SizeofOperand	wchar_t		350170	1					
ANR	350196	IfStatement	if ( data == NULL )		350170	3					
ANR	350197	Condition	data == NULL	28:8:753:764	350170	0	True				
ANR	350198	EqualityExpression	data == NULL		350170	0		==			
ANR	350199	Identifier	data		350170	0					
ANR	350200	Identifier	NULL		350170	1					
ANR	350201	CompoundStatement		5:22:109:109	350170	1					
ANR	350202	ExpressionStatement	exit ( - 1 )	28:23:768:776	350170	0	True				
ANR	350203	CallExpression	exit ( - 1 )		350170	0					
ANR	350204	Callee	exit		350170	0					
ANR	350205	Identifier	exit		350170	0					
ANR	350206	ArgumentList	- 1		350170	1					
ANR	350207	Argument	- 1		350170	0					
ANR	350208	UnaryOperationExpression	- 1		350170	0					
ANR	350209	UnaryOperator	-		350170	0					
ANR	350210	PrimaryExpression	1		350170	1					
ANR	350211	ForStatement	for ( i = 0 ; i < 1 ; i ++ )		350170	4					
ANR	350212	ForInit	i = 0 ;	29:8:787:792	350170	0	True				
ANR	350213	AssignmentExpression	i = 0		350170	0		=			
ANR	350214	Identifier	i		350170	0					
ANR	350215	PrimaryExpression	0		350170	1					
ANR	350216	Condition	i < 1	29:15:794:798	350170	1	True				
ANR	350217	RelationalExpression	i < 1		350170	0		<			
ANR	350218	Identifier	i		350170	0					
ANR	350219	PrimaryExpression	1		350170	1					
ANR	350220	PostIncDecOperationExpression	i ++	29:22:801:803	350170	2	True				
ANR	350221	Identifier	i		350170	0					
ANR	350222	IncDec	++		350170	1					
ANR	350223	CompoundStatement		7:4:153:153	350170	3					
ANR	350224	Statement	wmemset	32:8:931:937	350170	0	True				
ANR	350225	Statement	(	32:15:938:938	350170	1	True				
ANR	350226	Statement	data	32:16:939:942	350170	2	True				
ANR	350227	Statement	","	32:20:943:943	350170	3	True				
ANR	350228	Statement	L	32:22:945:945	350170	4	True				
ANR	350229	Statement	'A'	32:23:946:948	350170	5	True				
ANR	350230	Statement	","	32:26:949:949	350170	6	True				
ANR	350231	Statement	100	32:28:951:953	350170	7	True				
ANR	350232	Statement	-	32:31:954:954	350170	8	True				
ANR	350233	Statement	1	32:32:955:955	350170	9	True				
ANR	350234	Statement	)	32:33:956:956	350170	10	True				
ANR	350235	ExpressionStatement		32:34:957:957	350170	11	True				
ANR	350236	Statement	data	33:8:990:993	350170	12	True				
ANR	350237	Statement	[	33:12:994:994	350170	13	True				
ANR	350238	Statement	100	33:13:995:997	350170	14	True				
ANR	350239	Statement	-	33:16:998:998	350170	15	True				
ANR	350240	Statement	1	33:17:999:999	350170	16	True				
ANR	350241	Statement	]	33:18:1000:1000	350170	17	True				
ANR	350242	Statement	=	33:20:1002:1002	350170	18	True				
ANR	350243	Statement	L	33:22:1004:1004	350170	19	True				
ANR	350244	ExpressionStatement	'\\0'	33:23:1005:1009	350170	20	True				
ANR	350245	PrimaryExpression	'\\0'		350170	0					
ANR	350246	CompoundStatement		14:8:430:447	350170	5					
ANR	350247	Statement	wchar_t	36:8:1055:1061	350170	0	True				
ANR	350248	Statement	dest	36:16:1063:1066	350170	1	True				
ANR	350249	Statement	[	36:20:1067:1067	350170	2	True				
ANR	350250	Statement	50	36:21:1068:1069	350170	3	True				
ANR	350251	Statement	]	36:23:1070:1070	350170	4	True				
ANR	350252	Statement	=	36:25:1072:1072	350170	5	True				
ANR	350253	Statement	L	36:27:1074:1074	350170	6	True				
ANR	350254	ExpressionStatement	""""""	36:28:1075:1077	350170	7	True				
ANR	350255	PrimaryExpression	""""""		350170	0					
ANR	350256	IdentifierDeclStatement	"size_t i , dataLen ;"	37:8:1088:1105	350170	8	True				
ANR	350257	IdentifierDecl	i		350170	0					
ANR	350258	IdentifierDeclType	size_t		350170	0					
ANR	350259	Identifier	i		350170	1					
ANR	350260	IdentifierDecl	dataLen		350170	1					
ANR	350261	IdentifierDeclType	size_t		350170	0					
ANR	350262	Identifier	dataLen		350170	1					
ANR	350263	ExpressionStatement	dataLen = wcslen ( data )	38:8:1116:1138	350170	9	True				
ANR	350264	AssignmentExpression	dataLen = wcslen ( data )		350170	0		=			
ANR	350265	Identifier	dataLen		350170	0					
ANR	350266	CallExpression	wcslen ( data )		350170	1					
ANR	350267	Callee	wcslen		350170	0					
ANR	350268	Identifier	wcslen		350170	0					
ANR	350269	ArgumentList	data		350170	1					
ANR	350270	Argument	data		350170	0					
ANR	350271	Identifier	data		350170	0					
ANR	350272	ForStatement	for ( i = 0 ; i < dataLen ; i ++ )		350170	10					
ANR	350273	ForInit	i = 0 ;	40:13:1238:1243	350170	0	True				
ANR	350274	AssignmentExpression	i = 0		350170	0		=			
ANR	350275	Identifier	i		350170	0					
ANR	350276	PrimaryExpression	0		350170	1					
ANR	350277	Condition	i < dataLen	40:20:1245:1255	350170	1	True				
ANR	350278	RelationalExpression	i < dataLen		350170	0		<			
ANR	350279	Identifier	i		350170	0					
ANR	350280	Identifier	dataLen		350170	1					
ANR	350281	PostIncDecOperationExpression	i ++	40:33:1258:1260	350170	2	True				
ANR	350282	Identifier	i		350170	0					
ANR	350283	IncDec	++		350170	1					
ANR	350284	CompoundStatement		18:8:614:614	350170	3					
ANR	350285	ExpressionStatement	dest [ i ] = data [ i ]	42:12:1287:1304	350170	0	True				
ANR	350286	AssignmentExpression	dest [ i ] = data [ i ]		350170	0		=			
ANR	350287	ArrayIndexing	dest [ i ]		350170	0					
ANR	350288	Identifier	dest		350170	0					
ANR	350289	Identifier	i		350170	1					
ANR	350290	ArrayIndexing	data [ i ]		350170	1					
ANR	350291	Identifier	data		350170	0					
ANR	350292	Identifier	i		350170	1					
ANR	350293	Statement	dest	44:8:1326:1329	350170	11	True				
ANR	350294	Statement	[	44:12:1330:1330	350170	12	True				
ANR	350295	Statement	50	44:13:1331:1332	350170	13	True				
ANR	350296	Statement	-	44:15:1333:1333	350170	14	True				
ANR	350297	Statement	1	44:16:1334:1334	350170	15	True				
ANR	350298	Statement	]	44:17:1335:1335	350170	16	True				
ANR	350299	Statement	=	44:19:1337:1337	350170	17	True				
ANR	350300	Statement	L	44:21:1339:1339	350170	18	True				
ANR	350301	ExpressionStatement	'\\0'	44:22:1340:1344	350170	19	True				
ANR	350302	PrimaryExpression	'\\0'		350170	0					
ANR	350303	ExpressionStatement	printWLine ( data )	45:8:1410:1426	350170	20	True				
ANR	350304	CallExpression	printWLine ( data )		350170	0					
ANR	350305	Callee	printWLine		350170	0					
ANR	350306	Identifier	printWLine		350170	0					
ANR	350307	ArgumentList	data		350170	1					
ANR	350308	Argument	data		350170	0					
ANR	350309	Identifier	data		350170	0					
ANR	350310	ExpressionStatement	free ( data )	46:8:1437:1447	350170	21	True				
ANR	350311	CallExpression	free ( data )		350170	0					
ANR	350312	Callee	free		350170	0					
ANR	350313	Identifier	free		350170	0					
ANR	350314	ArgumentList	data		350170	1					
ANR	350315	Argument	data		350170	0					
ANR	350316	Identifier	data		350170	0					
ANR	350317	ReturnType	void		350170	1					
ANR	350318	Identifier	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_wchar_t_loop_17_bad		350170	2					
ANR	350319	ParameterList			350170	3					
ANR	350320	CFGEntryNode	ENTRY		350170		True				
