start	end	type	var
350586	350587	IS_AST_PARENT	
350586	350588	IS_AST_PARENT	
350585	350586	IS_AST_PARENT	
350584	350585	IS_AST_PARENT	
350590	350591	IS_AST_PARENT	
350592	350593	IS_AST_PARENT	
350595	350596	IS_AST_PARENT	
350594	350595	IS_AST_PARENT	
350599	350600	IS_AST_PARENT	
350601	350602	IS_AST_PARENT	
350601	350603	IS_AST_PARENT	
350599	350601	IS_AST_PARENT	
350598	350599	IS_AST_PARENT	
350597	350598	IS_AST_PARENT	
350594	350597	IS_AST_PARENT	
350592	350594	IS_AST_PARENT	
350590	350592	IS_AST_PARENT	
350589	350590	IS_AST_PARENT	
350584	350589	IS_AST_PARENT	
350606	350607	IS_AST_PARENT	
350606	350608	IS_AST_PARENT	
350605	350606	IS_AST_PARENT	
350604	350605	IS_AST_PARENT	
350612	350613	IS_AST_PARENT	
350611	350612	IS_AST_PARENT	
350616	350617	IS_AST_PARENT	
350616	350618	IS_AST_PARENT	
350615	350616	IS_AST_PARENT	
350614	350615	IS_AST_PARENT	
350611	350614	IS_AST_PARENT	
350610	350611	IS_AST_PARENT	
350609	350610	IS_AST_PARENT	
350604	350609	IS_AST_PARENT	
350584	350604	IS_AST_PARENT	
350619	350620	IS_AST_PARENT	
350584	350619	IS_AST_PARENT	
350621	350622	IS_AST_PARENT	
350584	350621	IS_AST_PARENT	
350584	350623	IS_AST_PARENT	
350584	350624	IS_AST_PARENT	
350584	350625	IS_AST_PARENT	
350584	350626	IS_AST_PARENT	
350584	350627	IS_AST_PARENT	
350584	350628	IS_AST_PARENT	
350584	350629	IS_AST_PARENT	
350584	350630	IS_AST_PARENT	
350584	350631	IS_AST_PARENT	
350584	350632	IS_AST_PARENT	
350584	350633	IS_AST_PARENT	
350584	350634	IS_AST_PARENT	
350584	350635	IS_AST_PARENT	
350584	350636	IS_AST_PARENT	
350584	350637	IS_AST_PARENT	
350584	350638	IS_AST_PARENT	
350584	350639	IS_AST_PARENT	
350584	350640	IS_AST_PARENT	
350584	350641	IS_AST_PARENT	
350584	350642	IS_AST_PARENT	
350643	350644	IS_AST_PARENT	
350584	350643	IS_AST_PARENT	
350645	350646	IS_AST_PARENT	
350645	350647	IS_AST_PARENT	
350645	350648	IS_AST_PARENT	
350645	350649	IS_AST_PARENT	
350645	350650	IS_AST_PARENT	
350645	350651	IS_AST_PARENT	
350645	350652	IS_AST_PARENT	
350653	350654	IS_AST_PARENT	
350645	350653	IS_AST_PARENT	
350656	350657	IS_AST_PARENT	
350656	350658	IS_AST_PARENT	
350655	350656	IS_AST_PARENT	
350659	350660	IS_AST_PARENT	
350659	350661	IS_AST_PARENT	
350655	350659	IS_AST_PARENT	
350645	350655	IS_AST_PARENT	
350663	350664	IS_AST_PARENT	
350666	350667	IS_AST_PARENT	
350665	350666	IS_AST_PARENT	
350669	350670	IS_AST_PARENT	
350668	350669	IS_AST_PARENT	
350665	350668	IS_AST_PARENT	
350663	350665	IS_AST_PARENT	
350662	350663	IS_AST_PARENT	
350645	350662	IS_AST_PARENT	
350673	350674	IS_AST_PARENT	
350673	350675	IS_AST_PARENT	
350672	350673	IS_AST_PARENT	
350671	350672	IS_AST_PARENT	
350677	350678	IS_AST_PARENT	
350677	350679	IS_AST_PARENT	
350676	350677	IS_AST_PARENT	
