command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	359420	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1600-c/testcases/000/233/439/CWE122_Heap_Based_Buffer_Overflow__c_CWE805_wchar_t_snprintf_54e.c								
ANR	359421	Function	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_wchar_t_snprintf_54e_badSink	31:0:967:1402							
ANR	359422	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_CWE805_wchar_t_snprintf_54e_badSink (wchar_t * data)		359421	0					
ANR	359423	CompoundStatement		32:0:1062:1402	359421	0					
ANR	359424	CompoundStatement		3:8:17:36	359421	0					
ANR	359425	IdentifierDeclStatement	wchar_t source [ 100 ] ;	34:8:1080:1099	359421	0	True				
ANR	359426	IdentifierDecl	source [ 100 ]		359421	0					
ANR	359427	IdentifierDeclType	wchar_t [ 100 ]		359421	0					
ANR	359428	Identifier	source		359421	1					
ANR	359429	PrimaryExpression	100		359421	2					
ANR	359430	Statement	wmemset	35:8:1110:1116	359421	1	True				
ANR	359431	Statement	(	35:15:1117:1117	359421	2	True				
ANR	359432	Statement	source	35:16:1118:1123	359421	3	True				
ANR	359433	Statement	","	35:22:1124:1124	359421	4	True				
ANR	359434	Statement	L	35:24:1126:1126	359421	5	True				
ANR	359435	Statement	'C'	35:25:1127:1129	359421	6	True				
ANR	359436	Statement	","	35:28:1130:1130	359421	7	True				
ANR	359437	Statement	100	35:30:1132:1134	359421	8	True				
ANR	359438	Statement	-	35:33:1135:1135	359421	9	True				
ANR	359439	Statement	1	35:34:1136:1136	359421	10	True				
ANR	359440	Statement	)	35:35:1137:1137	359421	11	True				
ANR	359441	ExpressionStatement		35:36:1138:1138	359421	12	True				
ANR	359442	Statement	source	36:8:1171:1176	359421	13	True				
ANR	359443	Statement	[	36:14:1177:1177	359421	14	True				
ANR	359444	Statement	100	36:15:1178:1180	359421	15	True				
ANR	359445	Statement	-	36:18:1181:1181	359421	16	True				
