command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	372836	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1600-c/testcases/000/233/475/CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_loop_34.c								
ANR	372837	ClassDef	<unnamed>	21:8:651:778							
ANR	372838	DeclStmt									
ANR	372839	Decl							char	char *	unionFirst
ANR	372840	DeclStmt									
ANR	372841	Decl							char	char *	unionSecond
ANR	372842	DeclStmt									
ANR	372843	Decl									CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_loop_34_unionType
ANR	372844	Function	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_loop_34_bad	29:0:802:1809							
ANR	372845	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_loop_34_bad ()		372844	0					
ANR	372846	CompoundStatement		30:0:871:1809	372844	0					
ANR	372847	IdentifierDeclStatement	char * data ;	31:4:878:889	372844	0	True				
ANR	372848	IdentifierDecl	* data		372844	0					
ANR	372849	IdentifierDeclType	char *		372844	0					
ANR	372850	Identifier	data		372844	1					
ANR	372851	IdentifierDeclStatement	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_loop_34_unionType myUnion ;	32:4:896:970	372844	1	True				
ANR	372852	IdentifierDecl	myUnion		372844	0					
ANR	372853	IdentifierDeclType	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_loop_34_unionType		372844	0					
ANR	372854	Identifier	myUnion		372844	1					
ANR	372855	ExpressionStatement	data = ( char * ) malloc ( 100 * sizeof ( char ) )	33:4:977:1016	372844	2	True				
ANR	372856	AssignmentExpression	data = ( char * ) malloc ( 100 * sizeof ( char ) )		372844	0		=			
ANR	372857	Identifier	data		372844	0					
ANR	372858	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		372844	1					
ANR	372859	CastTarget	char *		372844	0					
ANR	372860	CallExpression	malloc ( 100 * sizeof ( char ) )		372844	1					
ANR	372861	Callee	malloc		372844	0					
ANR	372862	Identifier	malloc		372844	0					
ANR	372863	ArgumentList	100 * sizeof ( char )		372844	1					
ANR	372864	Argument	100 * sizeof ( char )		372844	0					
ANR	372865	MultiplicativeExpression	100 * sizeof ( char )		372844	0		*			
ANR	372866	PrimaryExpression	100		372844	0					
ANR	372867	SizeofExpression	sizeof ( char )		372844	1					
ANR	372868	Sizeof	sizeof		372844	0					
ANR	372869	SizeofOperand	char		372844	1					
ANR	372870	IfStatement	if ( data == NULL )		372844	3					
ANR	372871	Condition	data == NULL	34:8:1027:1038	372844	0	True				
ANR	372872	EqualityExpression	data == NULL		372844	0		==			
ANR	372873	Identifier	data		372844	0					
ANR	372874	Identifier	NULL		372844	1					
ANR	372875	CompoundStatement		5:22:169:169	372844	1					
ANR	372876	ExpressionStatement	exit ( - 1 )	34:23:1042:1050	372844	0	True				
ANR	372877	CallExpression	exit ( - 1 )		372844	0					
ANR	372878	Callee	exit		372844	0					
ANR	372879	Identifier	exit		372844	0					
ANR	372880	ArgumentList	- 1		372844	1					
ANR	372881	Argument	- 1		372844	0					
ANR	372882	UnaryOperationExpression	- 1		372844	0					
ANR	372883	UnaryOperator	-		372844	0					
ANR	372884	PrimaryExpression	1		372844	1					
ANR	372885	ExpressionStatement	"memset ( data , 'A' , 100 - 1 )"	36:4:1162:1186	372844	4	True				
ANR	372886	CallExpression	"memset ( data , 'A' , 100 - 1 )"		372844	0					
ANR	372887	Callee	memset		372844	0					
ANR	372888	Identifier	memset		372844	0					
ANR	372889	ArgumentList	data		372844	1					
ANR	372890	Argument	data		372844	0					
ANR	372891	Identifier	data		372844	0					
ANR	372892	Argument	'A'		372844	1					
ANR	372893	PrimaryExpression	'A'		372844	0					
ANR	372894	Argument	100 - 1		372844	2					
ANR	372895	AdditiveExpression	100 - 1		372844	0		-			
ANR	372896	PrimaryExpression	100		372844	0					
ANR	372897	PrimaryExpression	1		372844	1					
ANR	372898	ExpressionStatement	data [ 100 - 1 ] = '\\0'	37:4:1214:1232	372844	5	True				
ANR	372899	AssignmentExpression	data [ 100 - 1 ] = '\\0'		372844	0		=			
ANR	372900	ArrayIndexing	data [ 100 - 1 ]		372844	0					
ANR	372901	Identifier	data		372844	0					
ANR	372902	AdditiveExpression	100 - 1		372844	1		-			
ANR	372903	PrimaryExpression	100		372844	0					
ANR	372904	PrimaryExpression	1		372844	1					
ANR	372905	PrimaryExpression	'\\0'		372844	1					
ANR	372906	ExpressionStatement	myUnion . unionFirst = data	38:4:1260:1285	372844	6	True				
ANR	372907	AssignmentExpression	myUnion . unionFirst = data		372844	0		=			
ANR	372908	MemberAccess	myUnion . unionFirst		372844	0					
ANR	372909	Identifier	myUnion		372844	0					
ANR	372910	Identifier	unionFirst		372844	1					
ANR	372911	Identifier	data		372844	1					
ANR	372912	CompoundStatement		11:8:431:464	372844	7					
ANR	372913	IdentifierDeclStatement	char * data = myUnion . unionSecond ;	40:8:1303:1336	372844	0	True				
ANR	372914	IdentifierDecl	* data = myUnion . unionSecond		372844	0					
ANR	372915	IdentifierDeclType	char *		372844	0					
ANR	372916	Identifier	data		372844	1					
ANR	372917	AssignmentExpression	* data = myUnion . unionSecond		372844	2		=			
ANR	372918	Identifier	data		372844	0					
ANR	372919	MemberAccess	myUnion . unionSecond		372844	1					
ANR	372920	Identifier	myUnion		372844	0					
ANR	372921	Identifier	unionSecond		372844	1					
ANR	372922	CompoundStatement		14:12:523:540	372844	1					
ANR	372923	IdentifierDeclStatement	"char dest [ 50 ] = """" ;"	42:12:1362:1380	372844	0	True				
ANR	372924	IdentifierDecl	"dest [ 50 ] = """""		372844	0					
ANR	372925	IdentifierDeclType	char [ 50 ]		372844	0					
ANR	372926	Identifier	dest		372844	1					
ANR	372927	PrimaryExpression	50		372844	2					
ANR	372928	AssignmentExpression	"dest [ 50 ] = """""		372844	3		=			
ANR	372929	Identifier	dest		372844	0					
ANR	372930	PrimaryExpression	""""""		372844	1					
ANR	372931	IdentifierDeclStatement	"size_t i , dataLen ;"	43:12:1395:1412	372844	1	True				
ANR	372932	IdentifierDecl	i		372844	0					
ANR	372933	IdentifierDeclType	size_t		372844	0					
ANR	372934	Identifier	i		372844	1					
ANR	372935	IdentifierDecl	dataLen		372844	1					
ANR	372936	IdentifierDeclType	size_t		372844	0					
ANR	372937	Identifier	dataLen		372844	1					
ANR	372938	ExpressionStatement	dataLen = strlen ( data )	44:12:1427:1449	372844	2	True				
ANR	372939	AssignmentExpression	dataLen = strlen ( data )		372844	0		=			
ANR	372940	Identifier	dataLen		372844	0					
ANR	372941	CallExpression	strlen ( data )		372844	1					
ANR	372942	Callee	strlen		372844	0					
ANR	372943	Identifier	strlen		372844	0					
ANR	372944	ArgumentList	data		372844	1					
ANR	372945	Argument	data		372844	0					
ANR	372946	Identifier	data		372844	0					
ANR	372947	ForStatement	for ( i = 0 ; i < dataLen ; i ++ )		372844	3					
ANR	372948	ForInit	i = 0 ;	46:17:1557:1562	372844	0	True				
ANR	372949	AssignmentExpression	i = 0		372844	0		=			
