start	end	type	var
374947	374948	IS_AST_PARENT	
374947	374949	IS_AST_PARENT	
374946	374947	IS_AST_PARENT	
374945	374946	IS_AST_PARENT	
374951	374952	IS_AST_PARENT	
374953	374954	IS_AST_PARENT	
374956	374957	IS_AST_PARENT	
374955	374956	IS_AST_PARENT	
374960	374961	IS_AST_PARENT	
374962	374963	IS_AST_PARENT	
374962	374964	IS_AST_PARENT	
374960	374962	IS_AST_PARENT	
374959	374960	IS_AST_PARENT	
374958	374959	IS_AST_PARENT	
374955	374958	IS_AST_PARENT	
374953	374955	IS_AST_PARENT	
374951	374953	IS_AST_PARENT	
374950	374951	IS_AST_PARENT	
374945	374950	IS_AST_PARENT	
374967	374968	IS_AST_PARENT	
374967	374969	IS_AST_PARENT	
374966	374967	IS_AST_PARENT	
374965	374966	IS_AST_PARENT	
374973	374974	IS_AST_PARENT	
374972	374973	IS_AST_PARENT	
374977	374978	IS_AST_PARENT	
374977	374979	IS_AST_PARENT	
374976	374977	IS_AST_PARENT	
374975	374976	IS_AST_PARENT	
374972	374975	IS_AST_PARENT	
374971	374972	IS_AST_PARENT	
374970	374971	IS_AST_PARENT	
374965	374970	IS_AST_PARENT	
374945	374965	IS_AST_PARENT	
374982	374983	IS_AST_PARENT	
374981	374982	IS_AST_PARENT	
374985	374986	IS_AST_PARENT	
374984	374985	IS_AST_PARENT	
374987	374988	IS_AST_PARENT	
374984	374987	IS_AST_PARENT	
374990	374991	IS_AST_PARENT	
374990	374992	IS_AST_PARENT	
374989	374990	IS_AST_PARENT	
374984	374989	IS_AST_PARENT	
374981	374984	IS_AST_PARENT	
374980	374981	IS_AST_PARENT	
374945	374980	IS_AST_PARENT	
374995	374996	IS_AST_PARENT	
374997	374998	IS_AST_PARENT	
374997	374999	IS_AST_PARENT	
374995	374997	IS_AST_PARENT	
374994	374995	IS_AST_PARENT	
374994	375000	IS_AST_PARENT	
374993	374994	IS_AST_PARENT	
374945	374993	IS_AST_PARENT	
375003	375004	IS_AST_PARENT	
375003	375005	IS_AST_PARENT	
375003	375006	IS_AST_PARENT	
375007	375008	IS_AST_PARENT	
375007	375009	IS_AST_PARENT	
375003	375007	IS_AST_PARENT	
375002	375003	IS_AST_PARENT	
375001	375002	IS_AST_PARENT	
375012	375013	IS_AST_PARENT	
375011	375012	IS_AST_PARENT	
375015	375016	IS_AST_PARENT	
375014	375015	IS_AST_PARENT	
375017	375018	IS_AST_PARENT	
375014	375017	IS_AST_PARENT	
375022	375023	IS_AST_PARENT	
375021	375022	IS_AST_PARENT	
375025	375026	IS_AST_PARENT	
375024	375025	IS_AST_PARENT	
375021	375024	IS_AST_PARENT	
375020	375021	IS_AST_PARENT	
