command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	392343	File	/develop/joernDwkProcess/joern-dev/./output/data/CWE119/source-code/119-1600-c/testcases/000/233/530/CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_memmove_14.c								
ANR	392344	Function	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_memmove_14_bad	23:0:619:1358							
ANR	392345	FunctionDef	CWE122_Heap_Based_Buffer_Overflow__c_CWE806_char_memmove_14_bad ()		392344	0					
ANR	392346	CompoundStatement		24:0:691:1358	392344	0					
ANR	392347	IdentifierDeclStatement	char * data ;	25:4:698:709	392344	0	True				
ANR	392348	IdentifierDecl	* data		392344	0					
ANR	392349	IdentifierDeclType	char *		392344	0					
ANR	392350	Identifier	data		392344	1					
ANR	392351	ExpressionStatement	data = ( char * ) malloc ( 100 * sizeof ( char ) )	26:4:716:755	392344	1	True				
ANR	392352	AssignmentExpression	data = ( char * ) malloc ( 100 * sizeof ( char ) )		392344	0		=			
ANR	392353	Identifier	data		392344	0					
ANR	392354	CastExpression	( char * ) malloc ( 100 * sizeof ( char ) )		392344	1					
ANR	392355	CastTarget	char *		392344	0					
ANR	392356	CallExpression	malloc ( 100 * sizeof ( char ) )		392344	1					
ANR	392357	Callee	malloc		392344	0					
ANR	392358	Identifier	malloc		392344	0					
ANR	392359	ArgumentList	100 * sizeof ( char )		392344	1					
ANR	392360	Argument	100 * sizeof ( char )		392344	0					
ANR	392361	MultiplicativeExpression	100 * sizeof ( char )		392344	0		*			
ANR	392362	PrimaryExpression	100		392344	0					
ANR	392363	SizeofExpression	sizeof ( char )		392344	1					
ANR	392364	Sizeof	sizeof		392344	0					
ANR	392365	SizeofOperand	char		392344	1					
ANR	392366	IfStatement	if ( data == NULL )		392344	2					
ANR	392367	Condition	data == NULL	27:8:766:777	392344	0	True				
ANR	392368	EqualityExpression	data == NULL		392344	0		==			
ANR	392369	Identifier	data		392344	0					
ANR	392370	Identifier	NULL		392344	1					
ANR	392371	CompoundStatement		4:22:88:88	392344	1					
ANR	392372	ExpressionStatement	exit ( - 1 )	27:23:781:789	392344	0	True				
ANR	392373	CallExpression	exit ( - 1 )		392344	0					
ANR	392374	Callee	exit		392344	0					
ANR	392375	Identifier	exit		392344	0					
ANR	392376	ArgumentList	- 1		392344	1					
ANR	392377	Argument	- 1		392344	0					
ANR	392378	UnaryOperationExpression	- 1		392344	0					
ANR	392379	UnaryOperator	-		392344	0					
ANR	392380	PrimaryExpression	1		392344	1					
ANR	392381	IfStatement	if ( globalFive == 5 )		392344	3					
ANR	392382	Condition	globalFive == 5	28:7:799:811	392344	0	True				
ANR	392383	EqualityExpression	globalFive == 5		392344	0		==			
ANR	392384	Identifier	globalFive		392344	0					
ANR	392385	PrimaryExpression	5		392344	1					
